Official Symbol	Accession number and gene name	fold change in SPN vs. normal pancreas	p value
SLITRK2	AY358828        SLIT and NTRK-like family, member 2	2.54	0.000924
PRDX2	NM_005809       Peroxiredoxin 2	2.54	0.00185
FLJ31153	NM_144600       Chromosome 16 open reading frame 63	2.54	0.00596
HDCMA18P	NM_016648       La ribonucleoprotein domain family, member 7	2.54	0.00993
MGC40499	NM_152755       Canopy 4 homolog (zebrafish)	2.54	0.00384
SCRN1	NM_014766       Secernin 1	2.54	0.005
PLCB3	NM_000932       Phospholipase C, beta 3 (phosphatidylinositol-specific)	2.54	0.0082
HSPC268	NM_197964       Chromosome 7 open reading frame 55	2.54	0.00382
ORC4L	NM_002552       Origin recognition complex, subunit 4-like (yeast)	2.54	0.00692
CAMTA1	NM_015215       Calmodulin binding transcription activator 1	2.54	0.00794
SLC3A2	NM_002394       Solute carrier family 3, member 2	2.53	0.0121
SC5DL	NM_001024956    Sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	2.53	0.0108
EVI2A	NM_014210       Ecotropic viral integration site 2A	2.53	0.0111
DTX3	NM_178502       Deltex 3 homolog (Drosophila)	2.52	0.00256
ROBO3	NM_022370       Roundabout, axon guidance receptor, homolog 3 (Drosophila)	2.52	0.0128
MGC17839	NM_174926       Transmembrane protein 136	2.52	0.00443
ZNF567	NM_152603       Zinc finger protein 567	2.52	0.00612
PPP3CC	NM_005605       Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	2.52	0.0148
NCKAP1	NM_205842       NCK-associated protein 1	2.51	0.00663
RB1	NM_000321       Retinoblastoma 1 (including osteosarcoma)	2.51	0.00596
SUMO3	NM_006936       SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	2.51	0.013
STX2	NM_001980       Syntaxin 2	2.51	0.00456
SON	NM_138927       SON DNA binding protein	2.51	0.00379
RBMS1	NM_016836       RNA binding motif, single stranded interacting protein 1	2.51	0.0134
GCM1	NM_003643       Glial cells missing homolog 1 (Drosophila)	2.5	0.000594
