Function	Gene	Affymetrix Probe Set ID	p-Value	Fold Change	Chromosome Location
Unknown	KIAA1553	227920_at	2.49E-08	1.6	6q21
Unknown	KIAA1458	224844_at	5.98E-10	1.6	4p12
Unknown	BHMT2	219902_at	5.01E-04	1.6	5q13
Unknown	FLJ13611	218674_at	4.07E-05	1.6	5q12.3
Unknown	Unknown	232471_at	2.81E-04	1.6
Unknown	MYH14	219946_x_at	1.08E-04	1.6	19q13.33
Unknown	Unknown	227524_at	2.49E-05	1.6
Unknown	ADD3	201753_s_at	8.23E-04	1.6	10q24.2-q24.3
Unknown	MGC51029	235346_at	1.69E-04	1.6	Xp11.4
Unknown	C11ORF30	222806_s_at	1.46E-06	1.6	11q13.3
Unknown	SS18L1	213140_s_at	4.62E-04	1.6	20q13.3
Unknown	FLJ14936	1553709_a_at	2.31E-04	1.6	1p33-p32.1
Unknown	Unknown	224036_s_at	4.85E-07	1.6	7
Unknown	FLJ20432	223267_at	1.98E-08	1.6	3q12.3
Unknown	DKFZP434A0225	224687_at	4.54E-04	1.6	7q21.3
Unknown	MADP-1	225394_s_at	7.91E-06	1.5	12q12
Unknown	Unknown	232790_at	3.17E-05	1.5
Unknown	KIAA1107	1558293_at	8.08E-07	1.5	1p22.1
Unknown	LOC112840	235025_at	4.49E-05	1.5	14q23.2
Unknown	LOC130752	1558077_s_at	5.20E-05	1.5	2q34
Unknown	Unknown	232579_at	5.45E-04	1.5
Unknown	Unknown	1562928_at	2.30E-06	1.5
Unknown	LOC221442	236832_at	2.00E-04	1.5	6p21.1
Unknown	FLJ20160	225325_at	1.71E-04	1.5	2q32.3
Unknown	Unknown	212435_at	6.30E-05	1.5	1
Unknown	IGLJ3	226802_s_at	5.87E-05	1.5	22q11.1-q11.2
Unknown	PRO1914	225517_at	1.36E-05	1.5	15q13.3
Unknown	PURB	225120_at	3.59E-04	1.5	7p13
Unknown	Lrp2bp	227337_at	1.78E-04	1.5	4q35.1
Unknown	DKFZP564B1023	228385_at	1.25E-06	1.5	1q31.3
Unknown	SIP	201381_x_at	2.96E-06	1.5	1q24-q25
Unknown	ARL6IP2	1553603_s_at	2.84E-06	1.5	2p22.3
Unknown	FLJ10890	218972_at	5.35E-07	1.5	11p11.2
Unknown	MGC22014	235542_at	6.37E-05	1.5	2p13.1
Unknown	PUM2	201493_s_at	7.81E-07	1.5	2p22-p21
Unknown	PEN2	218302_at	9.10E-05	1.5	19q13.13
Unknown	APAF1	204859_s_at	4.46E-04	1.5	12q23
Unknown	MGC12538	225356_at	6.16E-04	1.5	1q23.3
Unknown	Unknown	1557081_at	1.34E-05	-1.5
Unknown	MGC16353	221764_at	9.57E-07	-1.5	19p13.3
Unknown	SCAMP-4	213244_at	3.63E-04	-1.5	19p13.3
Unknown	WBP4	203597_s_at	1.12E-06	-1.5	13q13.3
Unknown	FLJ20859	223988_x_at	8.49E-05	-1.5	14q11.2
Unknown	Unknown	240113_at	6.26E-04	-1.5
Unknown	UBE2G2	209042_s_at	5.26E-04	-1.5	21q22.3
Unknown	FLJ12903	218370_s_at	7.24E-05	-1.5	1p34.3
Unknown	Unknown	217142_at	8.48E-04	-1.5
Unknown	RAP140	209285_s_at	8.48E-07	-1.5	3p21.31
Unknown	Unknown	1563512_at	4.80E-05	-1.5
Unknown	Unknown	200099_s_at	4.99E-04	-1.5
Unknown	Unknown	238040_at	6.25E-04	-1.5
Unknown	FLJ20154	202808_at	9.27E-07	-1.5	10q24.33
Unknown	C14orf103	226684_at	1.85E-06	-1.5	14q32.31
Unknown	KIAA0472	229017_s_at	5.84E-05	-1.5	1q32.1
Unknown	PILB	218773_s_at	2.24E-04	-1.5	10p12
Unknown	WTAP	214759_at	4.44E-05	-1.5	6q25-q27
Unknown	BRAP	227853_at	3.41E-04	-1.5	12q24
Unknown	ACP2	202767_at	3.10E-04	-1.5	11p11.2-p11.11
Unknown	Unknown	1561631_at	2.05E-05	-1.5
Unknown	FLJ10707	221806_s_at	1.69E-06	-1.5	3p25.3
Unknown	FLJ12953	225898_at	2.13E-04	-1.5	2p13.1
Unknown	Unknown	215898_at	1.97E-04	-1.5
Unknown	MGC10854	223455_at	1.96E-04	-1.5	12q24.12
Unknown	Unknown	233068_at	5.29E-04	-1.5
Unknown	FLJ11240	218191_s_at	6.93E-07	-1.5	6q13
Unknown	Unknown	1562416_at	2.70E-04	-1.5
Unknown	Unknown	228694_at	5.99E-05	-1.6	15
Unknown	DNCH2	219469_at	3.51E-05	-1.6	11q21-q22.1
Unknown	Unknown	241905_at	6.65E-05	-1.6
Unknown	TTC7	224923_at	1.09E-05	-1.6	2p21
Unknown	FLJ20514	230758_at	3.54E-05	-1.6	Xp22.31
Unknown	Unknown	239815_at	1.48E-05	-1.6
Unknown	PWDMP	220917_s_at	4.87E-05	-1.6	4p14
Unknown	LUC7L	220143_x_at	6.68E-05	-1.6	16p13.3
Unknown	SMAP-5	224953_at	6.84E-05	-1.6	5q32
Unknown	TIGA1	228256_s_at	9.34E-04	-1.6	5q21-q22
Unknown	C11orf15	218065_s_at	8.40E-04	-1.6	11p15.3
Unknown	FBXO9	212987_at	1.64E-06	-1.6	6p12.3-p11.2
Unknown	MGC32124	225804_at	3.80E-06	-1.6	17p13.3
Unknown	MKRN2	242425_at	4.13E-04	-1.6	3p25
Unknown	MGC4368	218130_at	2.13E-04	-1.6	17q25.3
Unknown	RHBDF1	218686_s_at	1.18E-05	-1.6	16p13.3
Unknown	SCA1	203232_s_at	1.80E-04	-1.6	6p23
Unknown	MGC3035	222129_at	9.64E-04	-1.6	2q36.1
Unknown	KIAA1023	204202_at	4.23E-05	-1.6	7p22.3
Unknown	KIAA0368	236368_at	3.48E-06	-1.6	9q32
Unknown	Unknown	244803_at	4.19E-04	-1.6
Unknown	Unknown	229910_at	8.77E-04	-1.6	1q22
Unknown	Unknown	213686_at	3.61E-06	-1.6	9
Unknown	Unknown	243424_at	4.22E-04	-1.6
Unknown	SCOTIN	222986_s_at	8.52E-09	-1.6	3p21.31
Unknown	TDE1	211769_x_at	5.67E-04	-1.6	20q13.1-13.3
Unknown	Unknown	240499_at	4.06E-05	-1.6
Unknown	LOC285002	227969_at	1.89E-05	-1.6	2p13.3
Unknown	Unknown	241962_at	1.01E-04	-1.6
Unknown	BAT1	200041_s_at	2.41E-06	-1.6	6p21.3
Unknown	KIAA1838	226774_at	5.30E-05	-1.6	6q27
Unknown	H326	243318_at	4.38E-05	-1.6	1q22-q23
Unknown	Unknown	208816_x_at	8.21E-04	-1.6
Unknown	GIT2	225558_at	1.84E-04	-1.6	12q24.1
Unknown	MGC15407	235662_at	9.74E-05	-1.6	2p16.2
Unknown	PRO0659	223203_at	2.85E-04	-1.6	Xp11.23
Unknown	Unknown	226671_at	2.23E-05	-1.6
Unknown	AMPD2	212360_at	9.09E-09	-1.6	1p13.3
Unknown	FLJ11220	222788_s_at	2.33E-05	-1.6	1p13.1
Unknown	ULK2	204063_s_at	1.03E-04	-1.6	17p11.2
Unknown	PARVB	37965_at	2.53E-09	-1.6	22q13.2-q13.33
Unknown	MGC4606	231878_at	5.70E-04	-1.6	16p12.1
Unknown	FLJ23018	205583_s_at	2.04E-04	-1.6	Xq23
Unknown	FLJ14888	213031_s_at	1.20E-06	-1.6	15q25.2
Unknown	Unknown	229687_s_at	4.73E-05	-1.6	11
Unknown	SPG20	236600_at	5.99E-04	-1.7	13q13.2
Unknown	RUFY2	219957_at	8.66E-04	-1.7	10q22.1
Unknown	Unknown	237600_at	2.76E-05	-1.7
Unknown	HSRTSBETA	204143_s_at	1.64E-07	-1.7	18p11.32
Unknown	NIFU	209075_s_at	2.76E-05	-1.7	12q24.1
Unknown	Unknown	242865_at	5.69E-04	-1.7
Unknown	Unknown	1557626_at	5.05E-04	-1.7
Unknown	PRNP	201300_s_at	6.05E-05	-1.7	20pter-p12
Unknown	C5orf5	218518_at	4.45E-04	-1.7	5q31
Unknown	Unknown	242117_at	3.36E-08	-1.7
Unknown	Unknown	233106_at	2.03E-05	-1.7
Unknown	FLJ13236	216595_at	1.72E-05	-1.7	12q13.12
Unknown	Unknown	225839_at	3.26E-05	-1.7	7
Unknown	Unknown	244669_at	8.43E-04	-1.7	17
Unknown	Unknown	229101_at	1.05E-05	-1.7	22
Unknown	TRIM4	223384_s_at	6.20E-07	-1.7	7q22-q31.1
Unknown	Unknown	243329_at	4.37E-04	-1.7
Unknown	Unknown	1557539_at	1.63E-07	-1.7
Unknown	FLJ20186	225637_at	3.99E-05	-1.7	16q24.3
Unknown	KIAA0141	227056_at	5.37E-05	-1.7	5q31.3
Unknown	LOC203522	227485_at	1.62E-08	-1.7	Xq26.3
Unknown	Unknown	216614_at	3.76E-05	-1.7
Unknown	Unknown	232441_at	4.33E-04	-1.7
Unknown	FLJ20254	217899_at	2.03E-08	-1.7	2p23.3
Unknown	ATP6V1D	208898_at	6.25E-07	-1.7	14
Unknown	MAP3K12	205448_s_at	1.09E-04	-1.7	12q13
Unknown	Unknown	241824_at	3.22E-05	-1.7
Unknown	Unknown	231225_at	1.32E-04	-1.7
Unknown	Unknown	217482_at	1.31E-07	-1.7	2
Unknown	PILRA	219788_at	9.41E-05	-1.7	7q22.1
Unknown	ZNF42	204139_x_at	8.57E-04	-1.7	19q13.2-q13.4
Unknown	GMPPB	212439_at	3.29E-05	-1.7	3p21.31
Unknown	Unknown	230903_s_at	7.67E-05	-1.7
Unknown	DKFZp564B0769	226412_at	1.90E-05	-1.7	6q16.3
Unknown	DKFZp547O146	219186_at	4.51E-06	-1.7	19p13.3
Unknown	KIAA0399	212601_at	4.53E-07	-1.7	17p13.3
Unknown	Unknown	210136_at	9.65E-05	-1.7	18
Unknown	MGC13033	209688_s_at	2.23E-05	-1.7	2q14.2
Unknown	PNRC1	209034_at	7.31E-05	-1.7	6q16.1
Unknown	Unknown	229014_at	6.15E-06	-1.7	5
Unknown	EFHC1	219833_s_at	1.25E-04	-1.7	6p12.3
Unknown	FTL	213187_x_at	2.76E-04	-1.7	19q13.3-q13.4
Unknown	TACC1	200911_s_at	3.57E-04	-1.7	8p11
Unknown	Unknown	235786_at	4.65E-04	-1.7
Unknown	Unknown	228723_at	8.58E-06	-1.7	15
Unknown	Unknown	238142_at	1.12E-05	-1.7
Unknown	Unknown	244008_at	7.82E-10	-1.7
Unknown	MCFD2	212245_at	4.66E-05	-1.7	2p21
Unknown	NFIA	224975_at	4.86E-04	-1.8	1p31.3-p31.2
Unknown	SMAP	235526_at	4.66E-04	-1.8	11p15.2
Unknown	Unknown	1559232_a_at	9.77E-05	-1.8
Unknown	Unknown	236000_s_at	2.31E-04	-1.8
Unknown	FLJ35936	228557_at	5.85E-05	-1.8	18p11.31-p11.23
Unknown	Unknown	242518_at	6.77E-05	-1.8
Unknown	Unknown	242599_at	4.50E-05	-1.8
Unknown	MEIS3	214077_x_at	3.64E-06	-1.8	17p11.2
Unknown	Unknown	228180_at	6.36E-08	-1.8	9
Unknown	Unknown	240263_at	7.20E-04	-1.8
Unknown	PTPRF	200635_s_at	6.74E-04	-1.8	1p34
Unknown	BLVRB	202201_at	3.16E-06	-1.8	19q13.1-q13.2
Unknown	Unknown	221963_x_at	6.98E-05	-1.8
Unknown	LYPLAL1	226851_at	1.77E-04	-1.8	1q41
Unknown	PABPN1	213046_at	2.38E-09	-1.8	14q11.2-q13
Unknown	MSCP	218136_s_at	3.00E-05	-1.8	8p21.2
Unknown	FLJ32499	1552711_a_at	3.70E-06	-1.8	17p13.2
Unknown	Unknown	1568780_at	1.23E-06	-1.8
Unknown	SKP1A	200718_s_at	1.54E-08	-1.8	5q31
Unknown	Unknown	244457_at	9.66E-04	-1.8
Unknown	Unknown	214180_at	2.17E-04	-1.8	1
Unknown	Unknown	228392_at	1.23E-06	-1.9
Unknown	BOC	225990_at	2.44E-05	-1.9	3q13.2
Unknown	KIAA0557	213639_s_at	1.20E-07	-1.9	16p13.3
Unknown	TM7SF1	204137_at	8.85E-04	-1.9	1q42-q43
Unknown	Unknown	235782_at	2.94E-06	-1.9
Unknown	GOLGA1	203384_s_at	2.05E-10	-1.9	9q34.11
Unknown	Unknown	224588_at	8.40E-06	-1.9
Unknown	Unknown	242920_at	3.61E-04	-1.9
Unknown	TLN1	203254_s_at	1.23E-11	-1.9	9p13
Unknown	Unknown	1556695_a_at	2.48E-04	-1.9	5
Unknown	GABARAPL1	208868_s_at	1.09E-04	-1.9	12p13.31
Unknown	KIAA1049	221495_s_at	9.84E-04	-1.9	16q24.3
Unknown	TRIM56	231876_at	7.81E-05	-1.9	7q22.1
Unknown	FLJ20758	228512_at	3.14E-07	-1.9	2p11.2
Unknown	TNKS1BP1	224792_at	5.45E-05	-1.9	11q12.1
Unknown	C19orf6	225247_at	2.80E-04	-1.9	19p13.3
Unknown	KIAA0563	221740_x_at	3.61E-04	-1.9	17q24.2
Unknown	PRO1073	226675_s_at	1.53E-04	-1.9	11cen-q12.3
Unknown	AGRN	217419_x_at	7.02E-05	-1.9	1p36.33
Unknown	Unknown	229315_at	7.67E-04	-1.9
Unknown	AMOTL2	203002_at	8.28E-04	-1.9	3q21-q22
Unknown	CAV2	203324_s_at	9.12E-04	-1.9	7q31.1
Unknown	Unknown	229765_at	2.34E-07	-1.9
Unknown	Unknown	240120_at	6.57E-04	-1.9
Unknown	ID2	201565_s_at	2.42E-04	-1.9	2p25
Unknown	MGC27171	225334_at	7.32E-09	-1.9	10q24.33
Unknown	NA	217143_s_at	9.31E-04	-2	14q11.2
Unknown	Unknown	221728_x_at	1.34E-04	-2
Unknown	KIAA0657	227573_s_at	5.38E-11	-2	2q36.1
Unknown	DXYS155E	203624_at	1.65E-11	-2	Xp22.32
Unknown	CLECSF13	206682_at	8.28E-04	-2	17p13.2
Unknown	Unknown	229287_at	8.96E-08	-2	14
Unknown	C1QTNF1	220975_s_at	8.45E-05	-2	17q25.3
Unknown	Unknown	232270_at	6.72E-08	-2	19
Unknown	DMD	203881_s_at	1.97E-05	-2	Xp21.2
Unknown	Unknown	244726_at	3.62E-10	-2
Unknown	MGC8721	200847_s_at	5.69E-08	-2	8p12
Unknown	OGT	209240_at	4.00E-07	-2	Xq13
Unknown	Unknown	230918_at	4.37E-04	-2
Unknown	Unknown	237006_at	1.69E-04	-2	4
Unknown	DKFZP564O1863	243619_at	2.14E-05	-2.1	12p12.1
Unknown	CAB56184	229908_s_at	2.05E-05	-2.1	16p13.3
Unknown	Unknown	216565_x_at	8.75E-07	-2.1
Unknown	Unknown	235155_at	1.43E-04	-2.1
Unknown	IL16	209827_s_at	1.32E-06	-2.1	15q26.3
Unknown	FMOD	202709_at	1.14E-05	-2.1	1q32
Unknown	Unknown	217144_at	3.53E-04	-2.1
Unknown	CAST	212586_at	4.43E-06	-2.1	5q15-q21
Unknown	STATIP1	230178_s_at	6.92E-07	-2.1	18q12.2
Unknown	LOC255812	235347_at	2.37E-05	-2.1	3q29
Unknown	Unknown	239946_at	7.09E-05	-2.1
Unknown	Unknown	49111_at	1.61E-06	-2.1	11
Unknown	FLJ20559	1562761_at	1.90E-05	-2.1	9q21.31
Unknown	HNRPM	243593_s_at	3.36E-07	-2.1	19p13.3-p13.2
Unknown	Unknown	244586_x_at	3.23E-04	-2.1
Unknown	Unknown	225996_at	4.83E-04	-2.1
Unknown	FLJ14431	1553693_s_at	2.95E-05	-2.2	4q32.3
Unknown	VIM	201426_s_at	2.86E-05	-2.2	10p13
Unknown	MYL6	214002_at	6.41E-04	-2.2	12q13.13
Unknown	GOSR2	235041_at	9.31E-06	-2.2	17q21
Unknown	Unknown	204538_x_at	3.41E-09	-2.2	16p13.13
Unknown	LOC51255	229932_at	3.41E-04	-2.2	2p11.2
Unknown	FLJ34443	228318_s_at	9.46E-04	-2.2	4p16.3
Unknown	LOC51159	220327_at	5.68E-04	-2.2	3p12.2
Unknown	Unknown	239576_at	3.16E-05	-2.2
Unknown	FLJ21865	220349_s_at	1.35E-04	-2.2	17q25.3
Unknown	KIAA0980	207705_s_at	6.02E-04	-2.2	20p11.22-p11.1
Unknown	SYNGR1	210613_s_at	2.11E-05	-2.3	22q13.1
Unknown	LOC113612	226402_at	1.90E-04	-2.3	4q25
Unknown	LOC339524	215039_at	1.76E-07	-2.3	1p22.3
Unknown	LOC339047	221501_x_at	1.22E-08	-2.3	16p13.12
Unknown	MAP17	1553589_a_at	2.98E-04	-2.3	1p33
Unknown	UBE2D3	240383_at	6.44E-07	-2.3	4q24
Unknown	Unknown	222288_at	1.65E-08	-2.3
Unknown	RNF3	230408_at	1.62E-04	-2.3	4p16.3
Unknown	Unknown	1560296_at	2.18E-04	-2.3
Unknown	Unknown	214870_x_at	5.40E-07	-2.3	16p13.13
Unknown	MGC15875	226519_s_at	2.00E-08	-2.3	5q35.3
Unknown	RPL10	221989_at	3.11E-04	-2.3	Xq28
Unknown	Unknown	227069_at	8.68E-04	-2.3	7
Unknown	CALM2	235190_at	1.18E-06	-2.3	2p21
Unknown	MGC21621	227727_at	6.87E-05	-2.3	11q13.1
Unknown	LRP11	225060_at	2.94E-08	-2.3	6q24.3
Unknown	MONDOA	202519_at	1.57E-06	-2.4	12q21.31
Unknown	FHL1	201540_at	1.64E-04	-2.4	Xq26
Unknown	CRLF3	235803_at	9.38E-06	-2.4	17q11.2
Unknown	Unknown	232726_at	1.71E-06	-2.4
Unknown	MKNK1	1560720_at	2.44E-08	-2.4	1p34.1
Unknown	EFG1	243885_x_at	1.52E-06	-2.4	3q25.1-q26.2
Unknown	LOC147463	238332_at	1.22E-04	-2.4	18q11.2
Unknown	Unknown	1558783_at	9.63E-05	-2.4
Unknown	Unknown	244420_at	5.28E-05	-2.4
Unknown	SULT1A3	209607_x_at	1.07E-04	-2.4	16p11.2
Unknown	ALEX1	218694_at	1.02E-10	-2.4	Xq21.33-q22.2
Unknown	Unknown	1559455_at	5.07E-04	-2.4
Unknown	Unknown	235008_at	4.45E-07	-2.4	13
Unknown	CHST3	32094_at	9.37E-10	-2.4	10q22.2
Unknown	ARHGEF10	216620_s_at	1.65E-04	-2.4	8p23
Unknown	WASF3	204042_at	4.60E-06	-2.4	13q12
Unknown	Unknown	241864_x_at	4.35E-08	-2.4
Unknown	KIAA1536	209002_s_at	2.80E-15	-2.4	12q13.13
Unknown	Unknown	240370_at	1.26E-04	-2.4	4
Unknown	Unknown	229480_at	5.74E-04	-2.4	7
Unknown	TBRG1	226318_at	1.15E-07	-2.5	11q24.2
Unknown	Unknown	229434_at	2.24E-04	-2.5	4
Unknown	HRBL	222126_at	1.25E-06	-2.5	7q22.1
Unknown	Unknown	238712_at	1.98E-09	-2.5
Unknown	CGN	223233_s_at	6.03E-14	-2.5	1q21
Unknown	Unknown	242824_at	3.05E-09	-2.5
Unknown	FLJ14957	225817_at	7.01E-08	-2.6	15q21.2
Unknown	Unknown	227671_at	2.70E-04	-2.6
Unknown	Unknown	216006_at	1.17E-05	-2.6	17
Unknown	Unknown	217436_x_at	4.78E-09	-2.6
Unknown	FLJ11175	229021_at	5.26E-05	-2.6	15q26.1-q26.2
Unknown	Unknown	233036_at	2.25E-06	-2.6
Unknown	TENC1	212494_at	3.44E-04	-2.6	12q13.13
Unknown	Unknown	229581_at	5.07E-04	-2.7	7p22.3
Unknown	PLXNB2	208890_s_at	3.07E-05	-2.7	22q13.33
Unknown	Unknown	1552727_s_at	2.74E-08	-2.7
Unknown	BOMB	218775_s_at	1.08E-04	-2.7	4q35.1
Unknown	SEMA6D	226492_at	2.06E-10	-2.7	15q15.2
Unknown	MGC46719	225793_at	1.02E-05	-2.7	1q21.2
Unknown	MGC3222	233480_at	3.08E-07	-2.7	3p25.1
Unknown	FLJ21044	219550_at	9.81E-04	-2.8	11q24.2
Unknown	Unknown	239370_at	1.20E-05	-2.8	1
Unknown	FLJ38464	1552506_at	2.91E-06	-2.8	9q34.11
Unknown	Unknown	1557242_at	5.44E-05	-2.8
Unknown	Unknown	215299_x_at	3.39E-13	-2.8
Unknown	PLSCR4	218901_at	1.27E-04	-2.8	3q24
Unknown	FLJ22789	229018_at	1.89E-12	-2.8	12q21.31
Unknown	DHRS6	218285_s_at	3.19E-04	-2.9	4q24
Unknown	FLJ32205	226206_at	2.03E-13	-2.9	7p22.3
Unknown	HOM-TES-103	209721_s_at	4.79E-04	-2.9	12p13.3
Unknown	GALNAC4S-6ST	203066_at	2.88E-11	-2.9	10q26
Unknown	CLDN11	228335_at	1.24E-05	-2.9	3q26.2-q26.3
Unknown	KIAA0266	237168_at	1.13E-04	-2.9	13q12.2-q13.3
Unknown	Unknown	225728_at	1.43E-06	-2.9	4
Unknown	MDS009	236649_at	3.41E-04	-2.9	15q15.3
Unknown	Unknown	237330_at	1.18E-10	-3
Unknown	LOC286286	228040_at	2.48E-08	-3	9q21.12
Unknown	LRP15	229085_at	8.13E-11	-3.1	3p24
Unknown	PTRF	208789_at	2.12E-06	-3.1	17q21.31
Unknown	KRT19	201650_at	7.35E-05	-3.1	17q21.2
Unknown	BTN3A3	204821_at	1.04E-06	-3.1	6p21.3
Unknown	TSRC1	226071_at	4.98E-04	-3.2	1q21.3
Unknown	Unknown	232463_at	9.73E-06	-3.2
Unknown	Unknown	1561166_a_at	1.34E-05	-3.2
Unknown	Unknown	239162_at	4.82E-04	-3.3
Unknown	PLCE1	205111_s_at	6.93E-08	-3.3	10q23
Unknown	Unknown	236921_at	8.20E-04	-3.3
Unknown	Unknown	1568892_at	4.32E-11	-3.3
Unknown	M17S2	1568856_at	1.92E-06	-3.3	17q21.1
Unknown	CADPS2	219572_at	3.51E-12	-3.4	7
Unknown	APEG1	205265_s_at	5.03E-04	-3.4	2q36.1
Unknown	Unknown	232459_at	2.27E-10	-3.4
Unknown	DKFZp434K1210	218149_s_at	6.42E-04	-3.5	8p21.1
Unknown	ATP11A	230875_s_at	1.16E-11	-3.5	13q34
Unknown	Unknown	227862_at	6.82E-08	-3.5	1p35.3
Unknown	Unknown	240665_at	3.69E-04	-3.5
Unknown	LOC222171	226961_at	5.57E-05	-3.6	7p15.1
Unknown	Unknown	242358_at	3.02E-04	-3.6	12
Unknown	SERPINB9	1563357_at	1.97E-04	-3.6	6p25
Unknown	Unknown	240824_at	2.93E-17	-3.7
Unknown	Unknown	230206_at	3.58E-07	-3.7	8
Unknown	Unknown	217525_at	4.67E-05	-3.8	11p15.4
Unknown	DKFZP586A0522	207761_s_at	6.89E-13	-3.8	12q13.13
Unknown	Unknown	236118_at	1.04E-12	-3.8	18q11.2
Unknown	CAV1	212097_at	7.50E-04	-3.8	7q31.1
Unknown	Unknown	1559037_a_at	1.82E-04	-3.8
Unknown	MGC15875	226783_at	3.98E-04	-3.8	5q35.3
Unknown	Unknown	227526_at	7.78E-07	-4.1	11
Unknown	LAMA4	202202_s_at	2.00E-05	-4.1	6q21
Unknown	Unknown	213438_at	5.27E-04	-4.2	1
Unknown	COL27A1	225288_at	2.98E-09	-4.2	9q33.1
Unknown	Unknown	242471_at	2.85E-06	-4.2
Unknown	Unknown	230207_s_at	1.41E-15	-4.3	8
Unknown	ZNF145	228854_at	5.54E-04	-4.4	11q23.1
Unknown	SCDGF-B	219304_s_at	2.86E-04	-4.4	11q22.3
Unknown	Unknown	1559410_at	2.31E-04	-4.4
Unknown	Unknown	229380_at	6.41E-04	-4.5	1
Unknown	DPYD	204646_at	2.11E-06	-4.5	1p22
Unknown	MCOLN3	229797_at	8.76E-05	-4.5	1p22.3
Unknown	INMT	224061_at	1.38E-05	-4.6	7p15.3-p15.2
Unknown	KIAA0672	205414_s_at	1.38E-09	-4.7	17p12
Unknown	Unknown	240385_at	1.39E-05	-4.7
Unknown	FLNC	207876_s_at	3.15E-10	-4.7	7q32-q35
Unknown	LOC152573	229485_x_at	3.70E-05	-4.8	4p14
Unknown	REC8L1	218599_at	6.04E-04	-4.8	14q11.2-q12
Unknown	Unknown	242340_at	4.73E-07	-4.8
Unknown	MGC24103	232568_at	3.26E-10	-4.9	9p22.2
Unknown	Unknown	239178_at	2.25E-05	-4.9
Unknown	Unknown	230263_s_at	1.28E-09	-4.9	8
Unknown	Unknown	242710_at	5.28E-05	-5
Unknown	DISPA	228184_at	7.99E-04	-5	1q42.12
Unknown	MST4	218499_at	4.32E-05	-5.2	Xq26.2
Unknown	PP2135	225373_at	4.91E-04	-5.3	10q22.3
Unknown	SLICK	234103_at	1.64E-04	-5.6	1q31.2
Unknown	FLJ33516	229160_at	1.39E-07	-5.9	Xq22.3
Unknown	Unknown	1556935_at	6.67E-04	-7.1
Unknown	Unknown	238512_at	1.62E-04	-7.6	1
Unknown	Unknown	236123_at	9.70E-09	-7.8
Unknown	Unknown	231181_at	1.34E-04	-8.1
Unknown	C20orf75	1553171_x_at	5.95E-11	-8.2	20p13
Unknown	C11orf9	204073_s_at	1.49E-07	-8.5	11q12-q13.1
Unknown	RPESP	230661_at	2.70E-12	-8.8	8q13.3
Unknown	FLJ13110	204364_s_at	2.46E-05	-9.8	2p11.2
Unknown	Unknown	1562736_at	4.04E-04	-11
Unknown	my048	211276_at	4.94E-05	-12.8	Xq22.1-q22.3
Unknown	FLJ30594	1553797_a_at	8.49E-04	-14	2p25.3
Unknown	Unknown	241672_at	7.07E-06	-14.6
Unknown	CD209L	207995_s_at	3.66E-05	-23.7	19p13
Unknown	NY-REN-7	214945_at	9.34E-20	-27.5	5q35.3
Unknown	UPK3B	206658_at	4.67E-15	-40.1	7q11.2
Unknown	ITLN1	223597_at	3.12E-06	-43.7	1
Unknown	CALB2	205428_s_at	2.19E-13	-57.8	16q22.2
