GI	Gene Symbol	GenBank Accession	BG01ES	BG01EB
GI_17017989-S	COL4A1	NM_001845.2	1930	6686.9
GI_7656882-S	ALP	NM_014476.1	166	575.6
GI_30387616-S	APCDD1	NM_153000.3	109.2	378.9
GI_10800411-S	MAPRE3	NM_012326.2	45.7	158.6
GI_7662355-S	RHOBTB3	NM_014899.1	169.4	588.3
GI_33598936-A	SCARF2	NM_182895.1	62.4	217.4
GI_7706642-S	PLEK2	NM_016445.1	34.6	121.1
GI_22062495-S	DKFZp762C1	XM_170658.1	127.5	447.5
GI_33285005-S	C9orf9	NM_018956.3	35.1	123.3
GI_4885590-S	SEPP1	NM_005410.1	138	485.8
GI_19923322-S	MADH6	NM_005585.2	185.9	655.2
GI_22779872-S	MTVR1	NM_152832.1	136.9	482.6
GI_30089955-S	KRT7	NM_005556.2	111.9	395.2
GI_31343532-S	SLC13A5	NM_177550.2	40.4	142.9
GI_4826869-S	NUCB2	NM_005013.1	194.3	687.4
GI_23065568-S	GSTA4	NM_001512.2	230.4	822.1
GI_34147546-S	CTHRC1	NM_138455.2	54.4	194.5
GI_26667229-A	EYA2	NM_172110.1	48.1	172.3
GI_8051610-I	KDELR3	NM_016657.1	54.8	196.7
GI_10947033-S	MXD4	NM_006454.2	508.9	1827.3
GI_21536416-A	BIN1	NM_139351.1	122	439.7
GI_22027608-A	COL13A1	NM_080815.2	143.5	517.3
GI_21361457-S	ARHGEF17	NM_014786.2	111	400.4
GI_31542721-S	FLJ21127	NM_024549.3	118.5	427.7
GI_4502010-S	AK1	NM_000476.1	125.3	452.3
GI_21361092-S	TPST1	NM_003596.2	148.8	537.2
GI_4507474-S	TGM1	NM_000359.1	29.8	107.6
GI_12232446-S	FLJ21868	NM_022769.1	152.7	551.7
GI_36054052-S	FABP7	NM_001446.3	170.1	617.9
GI_21361107-S	ELF3	NM_004433.2	30.1	109.6
GI_32490558-S	LRP10	NM_014045.2	147.8	538.4
GI_8922203-S	LIMS2	NM_017980.1	76.5	279.2
GI_31543211-S	MST1	NM_020998.2	110	401.6
GI_7706340-S	CGI-127	NM_016061.1	235.5	860.5
GI_31982893-S	LOC92691	NM_138390.2	44.6	163
GI_31982882-S	NKD1	NM_033119.3	33.8	123.7
GI_12232392-S	FLJ14153	NM_022736.1	77.3	282.9
GI_29745993-S	KIAA0830	XM_290546.1	46	169
GI_41281980-I	TRIF	NM_182919.1	48.3	177.7
GI_34147679-S	TGFB1I1	NM_015927.3	45.1	166
GI_9945331-S	GADD45B	NM_015675.1	37.4	138.3
GI_9790904-S	GADD45A	NM_001924.2	173.3	640.9
GI_4557394-S	CA2	NM_000067.1	134.4	498.4
GI_29540530-A	SULT1A1	NM_001055.2	288.4	1071.2
GI_37542672-S	LOC284207	XM_209073.3	87.8	327.2
GI_10864008-I	CTDSP1	NM_021198.1	157.8	589.6
GI_18765710-S	FJX1	NM_014344.2	84.9	317.4
GI_34222115-S	TDE2	NM_020755.2	77.2	288.8
GI_4758719-S	MLLT3	NM_004529.1	83.7	313.3
GI_21361461-S	EHD2	NM_014601.2	187.4	703.9
GI_4504918-S	KRT8	NM_002273.1	2540.4	9591.8
GI_18496982-S	CLIPR-59	NM_015526.1	675.6	2552.2
GI_17402874-I	COL6A2	NM_001849.2	1688.1	6384.5
GI_28827773-S	DYRK4	NM_003845.1	118.8	451.2
GI_23397535-S	SLC29A4	NM_153247.1	202.6	770.8
GI_13929461-S	B4GALT1	NM_001497.2	47.4	180.6
GI_20270306-S	LOC90557	NM_138770.1	48.3	184.1
GI_24308068-S	EHZF	NM_015461.1	140.3	537.9
GI_21361520-S	LOC51063	NM_015916.2	33.4	128.3
GI_19923320-S	KIFC3	NM_005550.2	115.9	445.4
GI_30181235-S	CPNE2	NM_152727.4	94.4	363.6
GI_18641351-S	COL16A1	NM_001856.2	66.9	257.7
GI_39930384-S	KIAA1217	NM_019590.1	27.8	107.2
GI_33354254-I	LRRC1	NM_018214.2	84.9	327.5
GI_41149356-S	LOC387640	XM_370534.1	249.9	964.1
GI_42661209-S	LOC400610	XM_375478.1	76.4	295.2
GI_24432025-S	FLJ14360	NM_032775.2	140.2	542.7
GI_31982914-S	DKFZP761F2	NM_031455.2	110.8	429.5
GI_31377588-S	SYT11	NM_152280.2	27.9	108.2
GI_14042973-S	NCALD	NM_032041.1	80.2	312.4
GI_5730086-S	TCTE1L	NM_006520.1	95	370.6
GI_42658564-S	LOC402578	XM_380135.1	60.3	235.3
GI_34222243-S	ARHC	NM_175744.3	644.3	2518.9
GI_9506556-S	DSCR6	NM_018962.1	71.5	281
GI_14670372-A	PCBP4	NM_033010.1	112	440.9
GI_21264582-S	TM4SF9	NM_005723.2	75.9	299.3
GI_8922262-S	FLJ10159	NM_018013.1	89.9	355.3
GI_10047091-S	NP25	NM_013259.1	115	455
GI_4503412-S	DTR	NM_001945.1	55.7	221.2
GI_34147657-S	DDIT3	NM_004083.3	43.5	172.8
GI_27485586-S	KIAA1442	XM_044921.4	54.7	218.2
GI_33356540-A	PLTP	NM_182676.1	528.4	2109.2
GI_38201616-A	RHOBTB1	NM_198225.1	41.6	166.1
GI_4826835-S	MMP9	NM_004994.1	58.3	234.4
GI_34147394-S	MXD3	NM_031300.2	54	217.2
GI_13376724-S	FLJ22471	NM_025140.1	44.6	179.8
GI_33636739-S	HT008	NM_018469.2	51.2	206.6
GI_22165423-A	DCTN3	NM_007234.3	398.7	1610.1
GI_14249307-S	MGC13047	NM_032709.1	88.2	356.8
GI_17511208-S	TENS1	NM_022748.6	342.2	1386.5
GI_5901897-A	B7	NM_006992.1	68.5	277.7
GI_34147659-S	PPP3CC	NM_005605.3	53.6	217.3
GI_29570781-S	ASXL1	NM_015338.3	98.1	397.8
GI_21361572-S	CHN1	NM_001822.2	339.8	1379.2
GI_27804306-S	SDC2	NM_002998.1	35.9	146.3
GI_34147328-S	DKFZP564O2	NM_015407.3	80.6	328.8
GI_19913411-A	MVP	NM_005115.3	26.7	109
GI_4505952-S	PON2	NM_000305.1	619.9	2531.1
GI_31341349-S	C14orf79	NM_174891.2	29.7	121.6
GI_34222205-S	MGC33486	NM_153266.2	42	172.8
GI_34222307-S	TPBG	NM_006670.3	422.7	1741.2
GI_9945387-S	GP1BB	NM_000407.3	53	219.1
GI_4759133-S	SLC4A8	NM_004858.1	38.5	159.3
GI_31982934-S	EPM2AIP1	NM_014805.2	110.4	457.3
GI_28373079-S	SIAT9	NM_003896.2	39.9	165.3
GI_18765693-S	DPP4	NM_001935.2	81.7	338.6
GI_32483396-S	DRD4	NM_000797.2	30.9	128.2
GI_4507170-S	SPARC	NM_003118.1	7996.3	33182.4
GI_33286441-S	FLJ11362	NM_021946.2	76.4	317.8
GI_31543542-S	RAI17	NM_020338.1	607.9	2529.1
GI_24432101-I	HS6ST2	NM_147175.2	48.4	201.5
GI_8051610-A	KDELR3	NM_016657.1	99.8	416.1
GI_20127508-S	RAB32	NM_006834.2	99.2	414.3
GI_11038653-S	ADAMTS1	NM_006988.2	358.9	1499.8
GI_18105053-S	KIFAP3	NM_014970.2	51.6	215.9
GI_4504950-S	LAMB1	NM_002291.1	79.6	333.2
GI_32307180-S	MGC24039	NM_144973.2	30.5	128
GI_35249735-I	ZNF226	NM_015919.2	60.1	253
GI_21314639-S	SRPX	NM_006307.2	184.1	775.6
GI_4758085-S	CSRP1	NM_004078.1	473.3	1995.8
GI_23503314-S	FLJ90798	NM_153367.1	171.5	727.7
GI_19913425-S	ATP6V1B1	NM_001692.2	32.3	137.2
GI_4557009-S	ACP2	NM_001610.1	31.8	135.1
GI_5901917-S	CART1	NM_006982.1	36.9	157.3
GI_21327712-S	PRSS11	NM_002775.2	100.7	429.8
GI_21389446-S	C20orf140	NM_144628.1	32.4	138.4
GI_19913391-A	RGS3	NM_134427.1	423.1	1809.3
GI_31543966-S	XPA	NM_000380.2	62.7	268.3
GI_4507822-S	UGT2B11	NM_001073.1	33.1	141.8
GI_42766423-S	LOC389119	NM_203370.1	57.1	244.8
GI_37550526-S	KIAA1237	XM_087386.5	35	150.6
GI_8922566-S	FLJ10647	NM_018166.1	346.5	1494.9
GI_37704380-S	B2M	NM_004048.2	753.6	3251.7
GI_19923342-S	CITED2	NM_006079.2	249.3	1077.8
GI_19923815-S	PARVA	NM_018222.2	50.4	218.2
GI_21362109-S	TPK1	NM_022445.2	64.5	279.6
GI_27478738-S	LOC286343	XM_210019.1	35.7	155.2
GI_28559012-A	SSX4	NM_175729.1	56.9	247.5
GI_17511204-S	GPR124	NM_032777.6	74.6	324.9
GI_16306581-S	FBXL2	NM_012157.2	32.3	141
GI_31341108-S	LOC170261	NM_173798.2	33.8	147.6
GI_5902121-S	SPTBN2	NM_006946.1	320.1	1399.3
GI_21359840-S	TTC3	NM_003316.2	490.8	2146.8
GI_11342665-S	MMP2	NM_004530.1	328.1	1435.6
GI_31542700-S	AHI1	NM_017651.3	55.6	244.4
GI_22202618-A	CTSL	NM_145918.1	554.6	2438.3
GI_34304340-A	PDCD4	NM_014456.3	91.5	402.3
GI_17402876-A	COL6A2	NM_058174.1	47.7	209.9
GI_5803150-S	GLIPR1	NM_006851.1	31.4	138.9
GI_42662032-S	LOC401896	XM_377511.1	27.6	122.5
GI_41281936-I	NCAM1	NM_181351.1	35.3	156.9
GI_37622352-S	NME5	NM_003551.2	46.9	208.6
GI_41151626-S	LOC389887	XM_372247.1	71.2	317.8
GI_30911096-S	PUNC	NM_004884.1	145.4	649.1
GI_16933541-I	FN1	NM_002026.1	980.8	4394
GI_21536467-A	AXL	NM_001699.3	238.6	1073.8
GI_45237199-S	SIPA1L2	NM_020808.1	106.8	481.3
GI_11612654-S	FXYD6	NM_022003.1	154.3	695.9
GI_16306549-S	SELENBP1	NM_003944.2	65.9	298.7
GI_24308084-S	MOXD1	NM_015529.1	53.6	243.4
GI_42660245-S	KIAA1305	XM_370756.2	153	696.5
GI_21361548-S	SFTPD	NM_003019.2	27.7	126.4
GI_19923138-S	ID4	NM_001546.2	34.4	157.1
GI_4507508-S	TIMP1	NM_003254.1	508.2	2324
GI_6382069-S	CRABP2	NM_001878.2	933.3	4284.3
GI_16751922-S	WFIKKN	NM_053284.1	56.2	258
GI_9951925-S	CA4	NM_000717.2	39.4	181.1
GI_34147596-S	PPIC	NM_000943.3	259.3	1193
GI_17986276-S	COL4A2	NM_001846.1	690.2	3176.1
GI_32964824-S	C6orf206	NM_152732.2	33.1	152.6
GI_30794495-S	DKFZP434J2	NM_015508.1	60.7	280.1
GI_32483385-A	PKIA	NM_181839.1	132.4	611
GI_14042963-S	FAM14A	NM_032036.1	61.9	286.2
GI_39930520-S	LOC114990	NM_138440.1	259.1	1199.1
GI_7661885-S	DAZAP2	NM_014764.1	41.8	193.7
GI_31543932-S	VGLL1	NM_016267.2	40.1	186.1
GI_24850110-S	PSTPIP2	NM_024430.2	43.8	204.6
GI_4505010-S	LOXL2	NM_002318.1	842.2	3935
GI_4503024-S	CPZ	NM_003652.1	69.5	326
GI_15451873-I	B3GALT3	NM_003781.2	64.8	305.8
GI_12408645-S	CAPN2	NM_001748.3	672	3175.9
GI_20070229-S	ENPP2	NM_006209.2	106.3	504.3
GI_44917616-S	N2N	NM_203458.1	81.5	387.2
GI_4505460-S	ENC1	NM_003633.1	56.9	271.7
GI_6806897-A	SNCA	NM_007308.1	421.3	2019.9
GI_21264352-S	SMARCD3	NM_003078.2	91.6	440.7
GI_19115957-A	SLC39A4	NM_130849.1	74.8	360.9
GI_13775237-S	PLVAP	NM_031310.1	42	203
GI_20127455-S	GNG11	NM_004126.2	143.2	693.5
GI_42714610-S	UNQ2541	NM_203347.1	36.9	178.8
GI_18201908-A	VCAM1	NM_080682.1	34.6	167.8
GI_38201712-S	EFNB3	NM_001406.3	227.3	1107.9
GI_4758867-S	P4HA2	NM_004199.1	141.6	692.2
GI_4504548-S	TNC	NM_002160.1	102.5	504
GI_7661691-S	DKFZP586N0	NM_015400.1	135.9	670.5
GI_21614516-A	GYPC	NM_016815.2	96.2	475.2
GI_5901943-S	EMILIN1	NM_007046.1	61.3	304.1
GI_7262388-S	PCOLCE	NM_002593.2	730.2	3624.6
GI_34304351-S	BGN	NM_001711.3	130.7	648.8
GI_15451924-S	SPOCK	NM_004598.2	201.1	1002.8
GI_15011912-S	COL6A1	NM_001848.1	409.5	2045.3
GI_24308056-S	DKFZP586H2	NM_015430.1	166.5	838.6
GI_5453655-S	GAC1	NM_006338.1	44.7	225.2
GI_5174484-S	MRC2	NM_006039.1	106.2	535.6
GI_38348363-S	FLJ46603	NM_198530.1	129	650.6
GI_29734032-S	LOC347265	XM_294590.1	115.5	583.5
GI_21389380-S	MGC27171	NM_144591.1	39.6	200.3
GI_27894377-S	CLIC6	NM_053277.1	40.5	205.2
GI_13518031-S	GLI3	NM_000168.2	139.1	705.8
GI_33359679-A	EFNA1	NM_182685.1	45.6	233.5
GI_19743802-S	FBLN5	NM_006329.2	37.4	191.6
GI_23308520-S	FLJ30634	NM_153014.1	66.9	343
GI_19747277-S	ARHU	NM_021205.3	225.6	1156.9
GI_11863155-S	RECK	NM_021111.1	34.8	178.8
GI_6912533-S	NMA	NM_012342.1	551.4	2835.6
GI_32490578-A	CRA	NM_181873.1	50.4	259.7
GI_21614539-S	SPUVE	NM_007173.2	226.7	1171.5
GI_9951924-S	CA12	NM_001218.2	51.6	267.4
GI_37059785-S	LRRN3	NM_018334.3	34.1	176.8
GI_5031864-S	LHFP	NM_005780.1	51	264.7
GI_31543930-S	VAMP5	NM_006634.2	56.9	296.8
GI_39777598-I	TGM2	NM_198951.1	38.3	199.8
GI_22779931-A	SYNE1	NM_133650.1	63	329.4
GI_17978472-S	BART1	NM_012106.2	194.1	1021.1
GI_37595556-S	ATP1B1	NM_001677.2	244.9	1292.2
GI_22748822-S	DKFZp762I1	NM_152384.1	32.9	174.5
GI_17978496-A	CDKN1A	NM_000389.2	435.4	2320.7
GI_22748614-S	MGC17943	NM_152261.1	341.3	1822.5
GI_22212920-I	IL11RA	NM_004512.3	55.5	297.9
GI_13929472-S	CDC10	NM_001788.2	32.3	173.5
GI_22218338-S	MGC39325	NM_147189.1	54.1	290.7
GI_14702166-A	PLAT	NM_000931.2	81.5	438.9
GI_13518038-A	MATN2	NM_030583.1	266	1436.8
GI_27886683-S	KCNIP1	NM_014592.2	37.3	202.4
GI_31083125-S	COL9A2	NM_001852.3	29.8	161.8
GI_17402917-S	WNT5A	NM_003392.2	57.7	314.6
GI_7656842-A	GRCA	NM_014449.1	181.8	991.7
GI_21361081-S	CRLF1	NM_004750.2	67.9	370.8
GI_34147321-S	ASM3A	NM_006714.2	38.7	211.4
GI_31342226-S	MGC45594	NM_175907.2	26.7	145.9
GI_32469516-S	AMIGO2	NM_181847.1	57.4	314.3
GI_34147557-S	LYL1	NM_005583.3	40.1	220.8
GI_15718674-S	ALOX5AP	NM_001629.2	34.5	190.6
GI_21361259-S	APLP1	NM_005166.2	63.6	351.8
GI_10518496-S	DLL1	NM_005618.2	35.9	199.7
GI_31542322-S	CRIP2	NM_001312.2	49.5	275.4
GI_4503298-S	BHLHB2	NM_003670.1	68.9	384.3
GI_8400726-S	RBP1	NM_002899.2	695.4	3883.9
GI_33359689-S	EFNB2	NM_004093.2	548.9	3067.6
GI_5730054-S	SNK	NM_006622.1	72.3	409.4
GI_38202220-A	FLRT3	NM_013281.2	170.2	966.4
GI_21361675-S	FEZL	NM_018008.2	38.8	220.6
GI_21314625-S	GPM6A	NM_005277.2	30.2	172.4
GI_21703351-A	MR-1	NM_022572.1	95.6	546
GI_31343533-S	LOC143903	NM_178834.2	39.5	225.9
GI_17017978-S	WNT3A	NM_033131.2	39.8	227.8
GI_9966792-S	LZTFL1	NM_020347.1	55.6	318.3
GI_4755135-S	FBN2	NM_001999.2	476.5	2736
GI_21314699-S	FLJ12541	NM_022369.2	301.4	1735.2
GI_17921996-S	MYL4	NM_002476.2	147.5	849.2
GI_8051612-I	KDELR3	NM_006855.2	87	501.1
GI_4503250-S	DAB2	NM_001343.1	83	478.4
GI_6806896-I	SNCA	NM_000345.2	54.5	314.6
GI_34147537-S	SDS-RS1	NM_138432.2	46.8	270.7
GI_38201676-S	SDCCAG33	NM_005786.3	47.6	277.5
GI_24475740-S	HTRA3	NM_053044.2	122.6	716.4
GI_5902003-S	MMP23B	NM_006983.1	166.4	972.6
GI_27765086-A	CAST	NM_173061.1	54.5	318.7
GI_19923769-S	HLX1	NM_021958.2	30.9	180.7
GI_19882253-S	CST3	NM_000099.2	462	2714
GI_4557041-S	PALM	NM_002579.1	196.6	1160.4
GI_37546892-S	LOC91461	XM_038576.6	90.3	535
GI_24797136-A	HOXB6	NM_156037.1	45.4	269.4
GI_4755145-S	AEBP1	NM_001129.2	100.5	599.8
GI_5031700-S	FSTL3	NM_005860.1	33.4	200.6
GI_4505454-S	NRIP1	NM_003489.1	71.3	431.9
GI_4503562-S	EMP3	NM_001425.1	183.2	1112.1
GI_24850114-I	CSE-C	NM_170601.1	33.4	202.8
GI_17975596-S	SELM	NM_080430.1	146	892.2
GI_19111149-S	AMOT	NM_133265.1	111.8	685
GI_7657497-S	RAGE	NM_014226.1	47.1	290.8
GI_24430140-S	FBN1	NM_000138.2	63.9	395.7
GI_33946335-S	ID2	NM_002166.4	193.8	1217
GI_20127596-S	Hes4	NM_021170.2	206.1	1297.3
GI_13325059-S	CYP1B1	NM_000104.2	112.4	708.5
GI_8923041-S	C6orf37	NM_017633.1	57	361.2
GI_14589930-I	PCDH7	NM_002589.2	45	286.7
GI_24430187-S	PIGH	NM_004569.2	105.2	670.4
GI_21361451-S	GLS	NM_014905.2	69.9	446.2
GI_13899304-S	CD99L2	NM_031462.1	36.4	234.3
GI_5453735-S	MAF	NM_005360.2	43.1	278.6
GI_21389412-S	FLJ32499	NM_144607.1	479.4	3104.2
GI_22095346-S	IGSF4	NM_014333.2	56.3	366.9
GI_16357500-A	COL4A6	NM_001847.1	85.3	559.4
GI_38454323-S	CYGB	NM_134268.3	43.1	283
GI_27735138-S	FLJ31349	NM_173515.1	34.3	226.4
GI_13375978-S	FLJ23058	NM_024696.1	51.6	342.6
GI_17939340-S	SILV	NM_006928.2	449	3002.3
GI_18201877-S	C20orf108	NM_080821.1	99.2	667.2
GI_31652256-S	MAFB	NM_005461.3	35.1	240.8
GI_31343330-S	RAB37	NM_175738.2	134.3	921.7
GI_9994186-S	PDGFC	NM_016205.1	33.1	229.4
GI_38348389-S	MGC15887	NM_198552.1	46.4	322.1
GI_4557868-S	TEK	NM_000459.1	62.3	433
GI_22538429-A	CTSB	NM_001908.2	133.8	930.4
GI_7019334-S	C11orf9	NM_013279.1	67.2	467.9
GI_4758153-S	DFNA5	NM_004403.1	136.5	951.2
GI_14589934-I	PCDH7	NM_032457.1	47.9	335.4
GI_4755138-S	INPP1	NM_002194.2	28	199.1
GI_21362035-S	FLJ23191	NM_024574.2	30.5	217.3
GI_37577171-A	RNASE4	NM_194431.1	34.9	251.7
GI_24430217-S	IL11	NM_000641.2	39	281.9
GI_8393298-S	EFEMP2	NM_016938.1	100.7	738.4
GI_21536289-S	COL1A2	NM_000089.2	1103.8	8199.6
GI_37595529-A	PHC2	NM_004427.2	65.9	489.7
GI_5902809-I	BMP1	NM_006129.2	129.6	964.7
GI_21536348-A	ACCN2	NM_001095.2	38.5	287.5
GI_6715569-S	TFPI	NM_006287.2	167	1248.5
GI_34222346-S	HATH6	NM_032827.3	53.7	401.6
GI_6912277-S	C10orf8	NM_012071.1	132.5	1002.9
GI_13376815-S	IDAX	NM_025212.1	38	287.7
GI_24308230-S	KIAA1474	NM_020856.1	35.5	271
GI_7669488-S	ECGF1	NM_001953.2	99.9	766.5
GI_34577067-S	ANGPTL2	NM_012098.2	105.5	817.8
GI_31542152-S	NPY	NM_000905.2	39.4	306.6
GI_26638649-S	KCNMA1	NM_002247.2	35.8	279.2
GI_21361562-S	SLC7A7	NM_003982.2	62.3	486.5
GI_20336245-S	PCSK5	NM_006200.2	135.6	1059.2
GI_34147599-S	CD99	NM_002414.3	514.2	4032.1
GI_9845517-S	S100A6	NM_014624.2	253.7	2007.5
GI_34147349-S	MGC2601	NM_024042.2	32.1	255.3
GI_21450654-S	FLJ25461	NM_144966.1	28.5	228.7
GI_14149666-S	SARM1	NM_015077.1	38.9	312.4
GI_24307966-S	SRGAP2	NM_014850.1	53.3	432.5
GI_4507466-S	TGFBI	NM_000358.1	465.6	3785.9
GI_20070301-S	DOK4	NM_018110.2	97.7	796.4
GI_7019576-S	TAC3	NM_013251.1	148.7	1213.3
GI_16554580-S	COL5A2	NM_000393.2	557.5	4619.1
GI_32189386-S	FLJ20701	NM_017933.2	33.2	276
GI_4885348-S	GPRK5	NM_005308.1	53.5	449
GI_21361584-S	KIAA0992	NM_016081.2	126	1065.9
GI_13112058-A	GPRC5C	NM_022036.1	150.9	1284.2
GI_13129033-S	MGC5395	NM_024060.1	30	257.6
GI_34098937-S	SERPINF1	NM_002615.2	67.7	582.5
GI_28872797-S	CEBPD	NM_005195.2	122.6	1057.9
GI_24234710-A	PITX2	NM_153427.1	168	1455.6
GI_14249657-S	MGC14376	NM_032895.1	35.5	311.1
GI_19923658-S	LOXL4	NM_032211.5	46.1	406
GI_4504618-S	IGFBP7	NM_001553.1	77.9	687.2
GI_4505088-S	MAGP2	NM_003480.1	44.9	396.2
GI_4759139-S	SLC9A3R1	NM_004252.1	287.6	2545.1
GI_5730050-S	SLC2A1	NM_006516.1	103	914.6
GI_5453813-S	DDR2	NM_006182.1	30.6	272.7
GI_22538812-S	CCL2	NM_002982.2	579.6	5199.5
GI_14719826-S	COL1A1	NM_000088.2	51.6	465.1
GI_17981693-A	CDKN2B	NM_004936.2	64	577.6
GI_24475896-S	THBS3	NM_007112.2	37.9	346.9
GI_28302132-S	HBG2	NM_000184.2	64.5	591.1
GI_20149602-S	HEY1	NM_012258.2	90.1	829.7
GI_13375849-S	B7-H4	NM_024626.1	36.2	333.6
GI_21464124-I	MBNL2	NM_144778.1	82.1	757.7
GI_27597081-A	HS6ST2	NM_147174.2	40.1	371.9
GI_31543448-S	PTN	NM_002825.4	525.7	4877.9
GI_42659614-S	LOC399959	XM_378316.1	31.6	294.3
GI_38373694-S	WASPIP	NM_003387.3	63.2	589.2
GI_4502672-S	CD47	NM_001777.1	60.1	564.2
GI_36951057-S	GATA6	NM_005257.2	123.1	1163.9
GI_13259551-A	G1P3	NM_002038.2	102.5	978.3
GI_4557440-S	CDKN1C	NM_000076.1	303.5	2907.9
GI_4759111-S	SLC16A3	NM_004207.1	134.5	1298.5
GI_21040367-A	BACE	NM_138973.1	40.8	406.6
GI_34996516-S	C6orf145	NM_183373.1	46.8	475
GI_9506400-S	ARHGEF3	NM_019555.1	93.2	955.4
GI_16936523-S	WNT1	NM_005430.2	37	382.5
GI_29789063-S	SULF1	NM_015170.1	68.8	727.7
GI_15451788-S	PDGFRB	NM_002609.2	89.7	951.4
GI_37655182-S	NDRG1	NM_006096.2	43.2	459.4
GI_14277673-S	LMCD1	NM_014583.2	171.9	1831.4
GI_32698697-S	DAAM2	NM_015345.1	43.5	464.3
GI_23111010-I	RAI1	NM_017574.1	45.9	492.1
GI_42661042-S	LOC400621	XM_378706.1	31.7	340
GI_4504584-S	IFIT1	NM_001548.1	57.4	620.7
GI_37543286-S	LOC374765	XM_351093.1	173.2	1884.9
GI_23397486-S	RPESP	NM_153225.1	30.4	331.2
GI_20127535-S	RGL	NM_015149.2	66.6	736.1
GI_22212916-A	CNTFR	NM_001842.3	40.4	446.6
GI_31083343-S	RDC1	NM_020311.1	175	1950.9
GI_7110718-S	DKK1	NM_012242.1	61.5	686.8
GI_18390318-S	DKFZp564I1	NM_015419.1	57	637.3
GI_27894383-S	FLRT2	NM_013231.2	172.4	1930.5
GI_5031882-S	LOXL1	NM_005576.1	29	327.1
GI_19718758-A	FER1L3	NM_133337.1	71.2	807.6
GI_28466988-S	ATP10D	NM_020453.2	30	345.6
GI_24371259-S	FRCP2	NM_153756.1	44.3	517.9
GI_38372928-S	BOC	NM_033254.2	37.6	439.9
GI_15011911-S	CDH6	NM_004932.2	50.2	587.5
GI_21362027-S	FLJ11565	NM_024657.2	57.1	675.3
GI_34147386-S	FLJ13612	NM_025202.2	133.8	1598.4
GI_7662427-S	KIAA0977	NM_014900.1	113.3	1360.3
GI_4826763-S	HS3ST1	NM_005114.1	27.4	329.8
GI_15834622-S	SLPI	NM_003064.2	39	475.2
GI_24234701-S	PITX1	NM_002653.3	30.1	381
GI_4503754-S	FMO1	NM_002021.1	34.5	437
GI_4557320-S	APOA1	NM_000039.1	372	4773.1
GI_34222201-S	MGC2555	NM_032772.3	61.8	852.7
GI_21264358-I	MASP1	NM_139125.1	31	432.2
GI_22060692-S	LOC201484	XM_117100.2	49.5	727.7
GI_34850060-S	STMN2	NM_007029.2	128.1	1904.9
GI_24430164-A	PMP22	NM_153322.1	61.8	926.1
GI_37595562-S	OLR1	NM_002543.2	34.2	513.3
GI_33624895-I	ADAMTS9	NM_182920.1	61.5	936.2
GI_18375521-A	COL11A1	NM_080630.1	100.1	1551.9
GI_19528651-A	BMP4	NM_130851.1	119.4	1858.9
GI_15451905-S	NAALAD2	NM_005467.2	50	780.3
GI_18201910-S	VTN	NM_000638.2	30.8	480.7
GI_4502322-S	ATP7B	NM_000053.1	70.2	1099.6
GI_30089965-S	CDC42EP5	NM_145057.2	87.3	1403.7
GI_13027635-S	EDG1	NM_001400.2	41	713
GI_21264344-S	PRPH	NM_006262.2	40.6	710.7
GI_18641359-A	COLEC12	NM_130386.1	97.9	1791.1
GI_23463327-S	C20orf58	NM_152864.1	92.7	1706.3
GI_4503008-S	CPE	NM_001873.1	76.5	1412.4
GI_6042201-A	MME	NM_007288.1	56.4	1041.7
GI_25121964-S	HOXB8	NM_024016.2	29.7	566.4
GI_31542744-S	FLJ23091	NM_024911.3	121.1	2360.6
GI_4759145-S	SLIT2	NM_004787.1	36	712
GI_6031161-A	CALB2	NM_007088.1	51.6	1100.9
GI_23503296-S	C6orf158	NM_153362.1	32.9	702.8
GI_23199988-S	CXCL14	NM_004887.3	132.7	2872.8
GI_33469936-A	FLJ39155	NM_182801.1	51.2	1122.5
GI_21536431-S	TIMP3	NM_000362.3	73.8	1663
GI_4503056-S	CRYAB	NM_001885.1	43	977.4
GI_31341888-S	MGC52117	NM_178507.2	32.5	752.7
GI_35493905-S	RIN2	NM_018993.2	31.7	735.1
GI_38455387-S	FRZB	NM_001463.2	164.5	3888.2
GI_31652245-I	TNFRSF19	NM_148957.2	27.2	648.7
GI_34147651-S	DLK1	NM_003836.3	167.1	4090.1
GI_4503918-S	GAS1	NM_002048.1	79.9	1962.3
GI_38201693-S	RGS4	NM_005613.3	61.2	1536.1
GI_4502148-S	APOA2	NM_001643.1	83.1	2092.4
GI_9966884-S	CD164L1	NM_020404.1	40.5	1042.4
GI_31342176-S	URB	NM_178274.2	36.9	991.5
GI_4502100-S	ANXA1	NM_000700.1	76.8	2079.7
GI_16554578-S	COL5A1	NM_000093.2	205.2	5570.5
GI_5453789-S	NNMT	NM_006169.1	77.9	2243
GI_44662812-S	LOC92162	NM_203411.1	82.4	2515.7
GI_38045914-S	PAPPA	NM_002581.3	41.8	1313.7
GI_15149478-A	COL2A1	NM_033150.1	76.8	2625.9
GI_10835001-S	ARHGDIB	NM_001175.1	55.1	2109
GI_6912681-S	SPON2	NM_012445.1	40.1	1793.7
GI_4501882-S	ACTA2	NM_001613.1	119.2	5358
GI_4505178-S	MGP	NM_000900.1	93.1	5613.4
GI_19923110-S	IGFBP3	NM_000598.2	140.6	8647.2
GI_4501988-S	AFP	NM_001134.1	101.1	6516.8
GI_4505266-S	MSX1	NM_002448.1	37.6	2799.4
