Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophag	CSF2RA	NM_006140 /// NM_172245 /// NM_172246 /// NM_172247 /// NM_172248 /// NM_172249	3.13E-08	6.23E-08	1.25215	1.64E-08	1.45838
spermidine/spermine N1-acetyltransferase	SAT	NM_002970	4.50E-09	4.25E-09	1.2547	4.13E-09	1.25867
Similar to 60S ribosomal protein L35	RPL35	NM_007209	1.75E-09	3.49E-09	1.25494	9.33E-10	1.45594
STEAP family member 3	STEAP3	NM_001008410 /// NM_018234 /// NM_182915	1.75E-06	5.32E-06	1.25594	7.28E-07	1.5916
collagen, type V, alpha 1	COL5A1	NM_000093	8.40E-08	6.90E-08	1.25683	8.72E-08	1.22346
pleckstrin homology-like domain, family A, member 1	PHLDA1	NM_007350	2.88E-08	1.53E-08	1.26636	5.57E-08	1.09284
epithelial membrane protein 2	EMP2	NM_001424	4.18E-11	6.40E-10	1.27709	1.22E-11	1.98939
transforming growth factor, alpha	TGFA	NM_003236	1.73E-11	4.18E-11	1.27734	8.41E-12	1.52774
pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	PLEKHH2	NM_172069	9.44E-06	4.91E-06	1.2785	1.67E-05	1.10069
Transcribed locus, weakly similar to XP_517655.1 PREDICTED: similar to KIAA0825	NA	NA	6.07E-08	2.63E-07	1.2794	2.29E-08	1.69336
colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophag	CSF2RA	NM_006140 /// NM_172245 /// NM_172246 /// NM_172247 /// NM_172248 /// NM_172249	6.34E-09	1.18E-08	1.28425	3.49E-09	1.47423
dual specificity phosphatase 6	DUSP6	NM_001946 /// NM_022652	4.50E-06	6.16E-06	1.28496	2.80E-06	1.41322
Transcribed locus	NA	NA	7.55E-06	3.97E-06	1.28673	1.32E-05	1.11134
Ras association (RalGDS/AF-6) domain family 2	RASSF2	NM_014737 /// NM_170773 /// NM_170774	1.84E-07	2.29E-07	1.29246	1.29E-07	1.38077
UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer	GALNT12	NM_024642	1.03E-08	1.02E-08	1.29611	9.06E-09	1.31353
C1q domain containing 1	C1QDC1	NM_001002259 /// NM_023925 /// NM_032156	8.38E-12	1.62E-11	1.29697	4.58E-12	1.49384
proline-rich protein PRP2	PRP2	NM_173490	1.52E-07	1.18E-07	1.29748	1.66E-07	1.24725
KDEL (Lys-Asp-Glu-Leu) containing 2	KDELC2	NM_153705	5.94E-08	1.45E-07	1.30211	2.80E-08	1.5719
solute carrier family 22 (organic cation transporter), member 4	SLC22A4	NM_003059	2.31E-08	1.85E-08	1.30467	2.50E-08	1.26035
transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	TFAP2C	NM_003222	9.19E-08	1.65E-07	1.30471	5.06E-08	1.49483
collagen, type XII, alpha 1	COL12A1	NM_004370 /// NM_080645	0.000355421	0.000195224	1.30868	0.000468136	1.15907
integrin, alpha 6	ITGA6	NM_000210	5.71E-09	2.32E-09	1.30931	2.05E-08	1.02289
rabaptin, RAB GTPase binding effector protein 2	RABEP2	NM_024816	5.65E-08	3.53E-08	1.31398	8.35E-08	1.19084
zinc finger protein 680	ZNF680	NM_178558	1.27E-06	5.86E-07	1.3147	3.02E-06	1.08261
ATPase, Class VI, type 11C	ATP11C	NM_001010986 /// NM_173694	4.28E-10	7.35E-10	1.31495	2.49E-10	1.48453
solute carrier family 11 (proton-coupled divalent metal ion transporters), membe	SLC11A2	NM_000617	1.24E-07	5.41E-08	1.31564	3.55E-07	1.05908
RasGEF domain family, member 1A	RASGEF1A	NM_145313	3.71E-09	2.83E-08	1.31679	1.22E-09	1.88038
Eukaryotic translation initiation factor 2C, 2	EIF2C2	NM_012154	2.03E-10	7.38E-10	1.32077	8.25E-11	1.68861
chromosome 16 open reading frame 45	C16orf45	NM_033201	1.74E-09	7.17E-10	1.32669	6.06E-09	1.04285
putative insulin-like growth factor II associated protein	LOC492304	NM_001007139	0.000482833	0.000494135	1.32995	0.000312429	1.41863
lysyl oxidase-like 2	LOXL2	NM_002318	8.47E-10	9.21E-10	1.33353	6.89E-10	1.37778
cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	NM_000777	5.31E-06	4.30E-06	1.33747	5.17E-06	1.30816
Dedicator of cytokinesis 2	DOCK2	NM_004946	8.11E-09	7.17E-09	1.33849	7.93E-09	1.3234
CDNA clone IMAGE:4794726	NA	NA	0.000327509	0.000175583	1.34209	0.000451038	1.17794
GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	NM_000161 /// NM_001024024 /// NM_001024070 /// NM_001024071	9.02E-07	3.36E-07	1.34539	3.81E-06	1.01003
dual specificity phosphatase 6	DUSP6	NM_001946 /// NM_022652	8.77E-06	6.47E-06	1.34783	9.36E-06	1.28846
NHS-like 1	NHSL1	XM_496826	1.67E-07	1.72E-07	1.3512	1.37E-07	1.3868
CDNA clone IMAGE:5276760	NA	NA	6.53E-05	0.000187488	1.35705	2.60E-05	1.75491
aldehyde dehydrogenase 3 family, memberA1	ALDH3A1	NM_000691	4.84E-10	1.02E-09	1.3582	2.51E-10	1.58883
metallothionein 1F (functional)	MT1F	NM_005949	1.99E-09	2.90E-09	1.36165	1.28E-09	1.49258
brain expressed X-linked 2 /// brain expressed X-linked 2	BEX2	NM_032621	4.84E-07	6.59E-07	1.36439	3.13E-07	1.48847
phospholipase C-like 2	PLCL2	NM_015184	1.07E-05	5.45E-06	1.36544	1.95E-05	1.16757
SAR1 gene homolog B (S. cerevisiae)	SAR1B	NM_001033503 /// NM_016103	1.09E-09	5.63E-09	1.36634	3.94E-10	1.84366
tetraspanin 5 /// tetraspanin 5	TSPAN5	NM_005723	1.80E-08	2.00E-08	1.3684	1.41E-08	1.42342
metallothionein 2A	MT2A	NM_005953	4.01E-10	7.57E-10	1.36989	2.20E-10	1.57344
Transcribed locus	NA	NA	4.23E-06	1.98E-06	1.37108	9.44E-06	1.13576
Transcribed locus	NA	NA	2.76E-06	3.12E-06	1.37421	2.00E-06	1.44925
prickle-like 1 (Drosophila)	PRICKLE1	NM_153026	1.11E-06	2.11E-06	1.37447	5.75E-07	1.60252
decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	NM_000574	1.27E-10	1.51E-10	1.3753	9.67E-11	1.44585
transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	TFAP2C	NM_003222	3.31E-09	5.92E-09	1.37588	1.86E-09	1.56784
collagen, type V, alpha 1	COL5A1	NM_000093	6.63E-06	5.17E-06	1.37921	6.70E-06	1.33671
hepatic leukemia factor	HLF	NM_002126	1.74E-08	1.19E-08	1.38105	2.28E-08	1.28308
SAR1 gene homolog B (S. cerevisiae)	SAR1B	NM_001033503 /// NM_016103	1.79E-07	1.91E-06	1.38394	5.45E-08	2.09354
sodium channel, voltage-gated, type I, beta	SCN1B	NM_001037 /// NM_199037	1.36E-08	1.85E-08	1.38401	9.17E-09	1.49852
chromosome 6 open reading frame 141	C6orf141	NM_153344	4.81E-07	3.19E-07	1.38465	6.35E-07	1.27766
hypothetical protein LOC150759	LOC150759	XM_498456 /// XM_499585	2.54E-08	3.53E-08	1.38519	1.67E-08	1.50892
Eukaryotic translation initiation factor 2C, 2	EIF2C2	NM_012154	4.43E-07	2.31E-06	1.38574	1.56E-07	1.89993
tetraspanin 5	TSPAN5	NM_005723	1.05E-07	4.02E-08	1.38668	4.32E-07	1.05454
NA	NA	NA	2.61E-05	8.95E-06	1.3888	0.000127846	0.990585
decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	NM_000574	2.81E-10	3.10E-10	1.39347	2.26E-10	1.44402
decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	NM_000574	8.43E-09	1.07E-08	1.39529	5.99E-09	1.48938
influenza virus NS1A binding protein	IVNS1ABP	NM_006469 /// NM_016389	1.73E-09	9.22E-09	1.39653	6.21E-10	1.89317
chromosome X open reading frame 45	CXorf45	NM_024810	1.81E-07	5.34E-07	1.3967	7.78E-08	1.7457
epithelial protein lost in neoplasm beta	EPLIN	NM_016357	2.10E-06	7.57E-07	1.39713	9.73E-06	1.02924
dedicator of cytokinesis 9	DOCK9	NM_015296	1.11E-08	7.28E-08	1.39817	3.76E-09	1.95882
Ras-like without CAAX 1	RIT1	NM_006912	2.43E-09	3.97E-09	1.40255	1.45E-09	1.57103
SH3-domain GRB2-like pseudogene 2	SH3GLP2	NA	1.33E-09	7.10E-10	1.40354	2.61E-09	1.21209
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta poly	YWHAH	NM_003405	1.71E-09	1.03E-08	1.40468	5.92E-10	1.9389
lysosomal trafficking regulator	LYST	NM_000081 /// NM_001005736	2.60E-07	1.41E-07	1.41121	4.69E-07	1.22787
5-nucleotidase, ecto (CD73)	NT5E	NM_002526	3.06E-07	1.20E-07	1.41146	1.15E-06	1.08431
influenza virus NS1A binding protein	IVNS1ABP	NM_006469 /// NM_016389	4.80E-09	9.36E-09	1.41799	2.57E-09	1.64085
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DDX3Y	NM_004660	9.86E-09	6.68E-09	1.41808	1.32E-08	1.31213
insulin-like growth factor binding protein 1	IGFBP1	NM_000596 /// NM_001013029	2.36E-07	1.42E-07	1.4228	3.60E-07	1.27792
secretory carrier membrane protein 1	SCAMP1	NM_004866 /// NM_052822	1.12E-09	2.00E-08	1.4246	3.20E-10	2.27245
hexokinase 1	HK1	NM_000188 /// NM_033496 /// NM_033497 /// NM_033498 /// NM_033500	1.28E-06	8.66E-07	1.42672	1.62E-06	1.32526
solute carrier family 25, member 37	SLC25A37	NM_016612 /// NM_018579	4.67E-08	5.01E-08	1.43722	3.75E-08	1.48589
dihydropyrimidinase-like 4	DPYSL4	NM_006426	1.23E-06	7.54E-07	1.43891	1.79E-06	1.29909
KIAA1946	KIAA1946	NM_177454	1.71E-07	1.02E-06	1.44438	5.84E-08	2.01384
claudin 3	CLDN3	NM_001306	4.22E-07	7.18E-07	1.45395	2.36E-07	1.65495
zinc finger, DHHC-type containing 20	ZDHHC20	NM_153251	1.95E-08	2.92E-08	1.45875	1.22E-08	1.61091
KIAA1462	KIAA1462	XM_166132	1.32E-07	4.55E-08	1.45919	7.62E-07	1.05316
GLI pathogenesis-related 1 (glioma)	GLIPR1	NM_006851	2.52E-06	8.56E-07	1.46088	1.45E-05	1.0397
superoxide dismutase 2, mitochondrial	SOD2	NM_000636 /// NM_001024465 /// NM_001024466	1.58E-08	6.51E-09	1.47238	5.42E-08	1.15685
keratin 19	KRT19	NM_002276	4.65E-09	5.84E-09	1.47357	3.33E-09	1.57039
nanos homolog 1 (Drosophila)	NANOS1	NM_001009553 /// NM_199461	6.61E-08	1.26E-07	1.49326	3.52E-08	1.72905
Transcribed locus	NA	NA	3.94E-07	2.76E-07	1.49496	4.84E-07	1.40039
solute carrier family 16 (monocarboxylic acid transporters), member 2	SLC16A2	NM_006517	1.75E-08	1.22E-08	1.4961	2.25E-08	1.39506
cathepsin S	CTSS	NM_004079	0.00115034	0.000523381	1.50489	0.00190222	1.24001
NA	NA	NA	9.09E-09	1.19E-08	1.50628	6.30E-09	1.61833
Hypothetical protein FLJ14681	FLJ14681	NM_032824	4.38E-10	4.31E-09	1.50824	1.37E-10	2.22286
sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	SPOCK	NM_004598	6.20E-08	7.17E-08	1.50944	4.66E-08	1.58568
CUB domain containing protein 1	CDCP1	NM_022842 /// NM_178181	7.83E-07	4.76E-07	1.50953	1.16E-06	1.36027
zinc finger CCCH-type containing 12C	ZC3H12C	XM_370654	2.34E-06	7.92E-07	1.51581	1.37E-05	1.07624
KIAA1462	KIAA1462	XM_166132	2.30E-11	1.06E-11	1.51663	6.16E-11	1.24612
ADP-ribosylation factor-like 7	ARL7	NM_005737	3.07E-11	9.06E-12	1.51891	4.42E-10	0.98322
hypothetical gene supported by BX647608	LOC399959	XM_378316	8.81E-07	4.81E-07	1.51939	1.54E-06	1.32458
diacylglycerol kinase, alpha 80kDa	DGKA	NM_001345 /// NM_201444 /// NM_201445 /// NM_201554	2.45E-07	3.44E-07	1.523	1.57E-07	1.66798
FERM domain containing 6	FRMD6	NM_152330	2.63E-08	2.36E-08	1.52377	2.50E-08	1.51404
hect domain and RLD 4	HERC4	NM_001017972 /// NM_015601 /// NM_022079	3.84E-09	1.43E-08	1.52411	1.54E-09	1.95988
collagen, type VI, alpha 1	COL6A1	NM_001848	2.51E-08	1.71E-08	1.52867	3.34E-08	1.41584
KIAA1462	KIAA1462	XM_166132	2.75E-05	1.13E-05	1.53097	7.55E-05	1.20475
metallothionein 1X	MT1X	NM_005952	4.97E-11	9.05E-11	1.5405	2.80E-11	1.75616
Spermidine/spermine N1-acetyltransferase	SAT	NM_002970	1.13E-11	8.06E-12	1.54978	1.45E-11	1.45119
keratin 15	KRT15	NM_002275	3.72E-09	2.99E-09	1.55268	4.07E-09	1.49973
epithelial membrane protein 2	EMP2	NM_001424	2.11E-09	1.67E-08	1.55441	6.86E-10	2.22991
membrane-associated ring finger (C3HC4) 4	MAR5	NM_020814	0.000101334	3.36E-05	1.55568	0.000519702	1.07838
Similar to hypothetical protein LOC231503	NA	XM_496707	1.49E-05	9.41E-06	1.55606	1.90E-05	1.42646
mucin 5, subtype B, tracheobronchial	MUC5B	XM_039877	0.000370837	0.000516179	1.5586	0.000196349	1.78309
reversion-inducing-cysteine-rich protein with kazal motifs	RECK	NM_021111	1.19E-06	3.85E-07	1.56018	8.76E-06	1.07561
GLI pathogenesis-related 1 (glioma)	GLIPR1	NM_006851	8.94E-08	3.59E-08	1.56349	3.19E-07	1.21564
potassium large conductance calcium-activated channel, subfamily M, alpha member	KCNMA1	NM_001014797 /// NM_002247	6.95E-09	4.23E-09	1.56393	1.09E-08	1.40467
EGF-like-domain, multiple 3	EGFL3	XM_031401	2.37E-08	3.21E-08	1.56433	1.59E-08	1.69414
latent transforming growth factor beta binding protein 4	LTBP4	NM_003573	2.33E-06	2.46E-06	1.56732	1.80E-06	1.62672
collagen, type XII, alpha 1	COL12A1	NM_004370 /// NM_080645	8.38E-06	6.97E-06	1.5769	7.84E-06	1.55436
A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	AKAP2 /// PALM2	NM_001004065 /// NM_007203 /// NM_147150	5.33E-07	4.73E-07	1.59286	4.96E-07	1.58398
spermidine/spermine N1-acetyltransferase	SAT	NM_002970	3.34E-10	3.79E-10	1.59332	2.62E-10	1.66103
butyrophilin-like 9	BTNL9	NM_152547	8.61E-08	1.16E-07	1.60656	5.73E-08	1.74249
PALM2-AKAP2 protein	PALM2-AKAP2	NM_007203 /// NM_147150	1.30E-08	1.07E-08	1.60875	1.38E-08	1.56251
lipoma HMGIC fusion partner	LHFP	NM_005780	1.09E-06	3.34E-07	1.61089	1.02E-05	1.07285
aquaporin 3	AQP3	NM_004925	9.68E-10	1.13E-09	1.61112	7.39E-10	1.69032
suppressor of cytokine signaling 3	SOCS3	NM_003955	4.84E-05	1.64E-05	1.614	0.000238049	1.14071
UL16 binding protein 2	ULBP2	NM_025217	2.79E-08	4.09E-08	1.61618	1.77E-08	1.77809
forkhead box Q1	FOXQ1	NM_033260	2.39E-08	1.36E-08	1.63008	4.10E-08	1.438
EGF-like repeats and discoidin I-like domains 3	EDIL3	NM_005711	1.86E-08	3.27E-08	1.63128	1.05E-08	1.85563
FERM domain containing 6	FRMD6	NM_152330	8.45E-07	6.67E-07	1.63664	8.86E-07	1.58299
quaking homolog, KH domain RNA binding (mouse)	QKI	NM_006775 /// NM_206853 /// NM_206854 /// NM_206855	8.49E-09	1.83E-08	1.63701	4.29E-09	1.92987
sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cyt	SEMA4B	NM_020210 /// NM_198925	1.86E-08	9.16E-09	1.63863	4.21E-08	1.37735
Transcribed locus	NA	NA	5.92E-08	8.70E-07	1.64081	1.72E-08	2.57971
chromosome 6 open reading frame 141	C6orf141	NM_153344	4.46E-07	2.16E-07	1.64749	9.91E-07	1.37917
serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type	SERPINE2	NM_006216	3.74E-11	4.03E-11	1.65718	3.09E-11	1.70686
four and a half LIM domains 1	FHL1	NM_001449	3.49E-07	4.50E-07	1.66356	2.36E-07	1.79362
Family with sequence similarity 20, member C	ITPR2	NM_002223	5.97E-10	2.28E-10	1.66639	2.61E-09	1.26675
neuron navigator 3	NAV3	NM_014903	1.20E-08	4.57E-09	1.66889	5.23E-08	1.26489
alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal	ANPEP	NM_001150	3.21E-06	6.84E-06	1.67009	1.54E-06	1.99677
coagulation factor II (thrombin) receptor	F2R	NM_001992	2.13E-08	3.44E-08	1.67341	1.26E-08	1.87578
ELOVL family member 7, elongation of long chain fatty acids (yeast)	ELOVL7	NM_024930	5.94E-10	2.34E-09	1.67608	2.35E-10	2.16988
CUB domain containing protein 1	CDCP1	NM_022842 /// NM_178181	3.88E-06	2.84E-06	1.68811	4.29E-06	1.60659
hyaluronan synthase 3	HAS3	NM_005329 /// NM_138612	5.18E-09	1.57E-09	1.71061	5.99E-08	1.13131
solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter	SLC1A1	NM_004170	3.75E-07	3.16E-07	1.71198	3.71E-07	1.68053
Full-length cDNA clone CS0DM011YC22 of Fetal liver of Homo sapiens (human)	NA	NA	1.08E-10	2.36E-10	1.71206	5.54E-11	2.01317
integrin, beta 4	ITGB4	NM_000213 /// NM_001005619 /// NM_001005731	3.84E-08	7.76E-08	1.71945	1.99E-08	2.00869
aldehyde oxidase 1	AOX1	NM_001159	2.95E-07	2.33E-07	1.73381	3.13E-07	1.67583
delta-notch-like EGF repeat-containing transmembrane	DNER	NM_139072	2.44E-07	1.00E-07	1.73451	7.96E-07	1.36376
CDNA clone IMAGE:5531727	NA	NA	1.48E-10	8.45E-11	1.7364	2.64E-10	1.52819
PALM2-AKAP2 protein	PALM2-AKAP2	NM_007203 /// NM_147150	6.03E-08	4.25E-08	1.74924	7.57E-08	1.63711
follistatin-like 1	FSTL1	NM_007085	8.34E-11	6.63E-11	1.7642	9.39E-11	1.69684
Xanthine dehydrogenase	XDH	NM_000379	2.69E-10	2.36E-10	1.76817	2.70E-10	1.74144
stanniocalcin 1	STC1	NM_003155	3.56E-06	1.05E-06	1.76834	4.11E-05	1.13127
interferon epsilon 1	IFNE1	NM_176891	9.99E-09	7.76E-09	1.76904	1.13E-08	1.69578
