probe set	gene	fold change
1568633_a_at	CDNA clone IMAGE:3878708, partial cds	-1.74
202688_at	tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor (ligand) superfamily, member 10	-1.75
202761_s_at	spectrin repeat containing, nuclear envelope 2	-1.75
206354_at	solute carrier organic anion transporter family, member 1B3	-1.75
213212_x_at	hypothetical protein LOC161527	-1.75
223510_at	neuropilin 2	-1.75
225436_at	hypothetical protein from EUROIMAGE 588495	-1.75
227051_at	Homo sapiens, clone IMAGE:4393354, mRNA	-1.75
236922_at	CDNA FLJ38215 fis, clone FCBBF2000291	-1.75
244726_at	Phospholipase C, beta 1 (phosphoinositide-specific)	-1.75
210413_x_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	-1.76
211383_s_at	WD repeat domain 37	-1.76
212171_x_at	vascular endothelial growth factor	-1.76
213194_at	roundabout, axon guidance receptor, homolog 1 (Drosophila)	-1.76
213700_s_at	Pyruvate kinase, muscle	-1.76
221582_at	histone 3, H2a	-1.76
225230_at	hypothetical protein MGC54289	-1.76
227558_at	chromobox homolog 4 (Pc class homolog, Drosophila)	-1.76
227952_at	Hypothetical protein FLJ90036	-1.76
237626_at	RB1-inducible coiled-coil 1	-1.76
201859_at	proteoglycan 1, secretory granule	-1.77
201942_s_at	carboxypeptidase D	-1.77
203041_s_at	lysosomal-associated membrane protein 2	-1.77
212496_s_at	jumonji domain containing 2B	-1.77
212501_at	CCAAT/enhancer binding protein (C/EBP), beta	-1.77
226374_at	Full-length cDNA clone CS0DF012YG01 of Fetal brain of Homo sapiens (human)	-1.77
235108_at	Potassium channel, subfamily K, member 3	-1.77
235912_at	Chr2 synaptotagmin	-1.77
240165_at	Transcribed locus, weakly similar to XP_209041.2 similar to KIAA1503 protein [Homo sapiens]	-1.77
205372_at	pleiomorphic adenoma gene 1	-1.78
217107_at	gb:AL035603 /DB_XREF=gi:4775596 /FEA=DNA /CNT=1 /TID=Hs.247869.0 /TIER=ConsEnd /STK=0 /UG=Hs.247869 /UG_TITLE=Human DNA sequence from clone 179E13 on chromosome 6q22.1-22.33. Contains an RPS4 (40S Ribosomal protein S4) pseudogene, ESTS, an STS and GSSs /DEF=Human DNA sequence from clone 179E13 on chromosome 6q22.1-22.33. Contains an RPS4 (40S Ribosomal protein S4) pseudogene, ESTS, an STS and GSSs	-1.78
225107_at	Heterogeneous nuclear ribonucleoprotein A2/B1	-1.78
225786_at	Family with sequence similarity 36, member A	-1.78
230333_at	Spermidine/spermine N1-acetyltransferase	-1.78
201753_s_at	adducin 3 (gamma)	-1.79
212531_at	lipocalin 2 (oncogene 24p3)	-1.79
213428_s_at	collagen, type VI, alpha 1	-1.79
225001_at	RAB3D, member RAS oncogene family	-1.79
229590_at	Ribosomal protein L13	-1.79
233037_at	CDNA clone IMAGE:4801089, partial cds	-1.79
236685_at	Transcribed locus	-1.79
238875_at	Plasminogen-like	-1.79
1556035_s_at	zinc finger protein 207	-1.79
202743_at	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	-1.8
202820_at	aryl hydrocarbon receptor	-1.8
213664_at	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	-1.8
214718_at	ocular development-associated gene	-1.8
221524_s_at	Ras-related GTP binding D	-1.8
221726_at	ribosomal protein L22	-1.8
224812_at	3-hydroxyisobutyrate dehydrogenase	-1.8
229053_at	Transcribed locus	-1.8
229720_at	CDNA clone IMAGE:5756190, partial cds	-1.8
232925_at	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	-1.8
233300_at	CDNA FLJ11548 fis, clone HEMBA1002944	-1.8
205052_at	AU RNA binding protein/enoyl-Coenzyme A hydratase	-1.81
217467_at	similar to Transcription factor BTF3 homolog 3	-1.81
219313_at	hypothetical protein DKFZp434C0328	-1.81
225573_at	putative acyl-CoA dehydrogenase	-1.81
226119_at	similar to hypothetical protein FLJ10883	-1.81
226403_at	transmembrane channel-like 4	-1.81
226558_at	hypothetical gene supported by AK096952; AK126241; BC068588	-1.81
235138_at	Vacuolar protein sorting 35 (yeast)	-1.81
201041_s_at	dual specificity phosphatase 1	-1.82
202986_at	aryl-hydrocarbon receptor nuclear translocator 2	-1.82
209357_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	-1.82
210561_s_at	WD repeat and SOCS box-containing 1	-1.82
213110_s_at	collagen, type IV, alpha 5 (Alport syndrome)	-1.82
219911_s_at	solute carrier organic anion transporter family, member 4A1	-1.82
223437_at	peroxisome proliferative activated receptor, alpha	-1.82
224602_at	HCV F-transactivated protein 1	-1.82
226809_at	CDNA FLJ30428 fis, clone BRACE2008941	-1.82
227384_s_at	Similar to KIAA0454 protein	-1.82
228390_at	Homo sapiens, clone IMAGE:5259272, mRNA	-1.82
235432_at	nephronophthisis 3 (adolescent)	-1.82
235716_at	gb:AW157450 /DB_XREF=gi:6228851 /DB_XREF=au95g02.x1 /CLONE=IMAGE:2784050 /FEA=EST /CNT=10 /TID=Hs.194258.0 /TIER=ConsEnd /STK=7 /UG=Hs.194258 /UG_TITLE=ESTs, Moderately similar to ALU5_HUMAN ALU SUBFAMILY SC SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)	-1.82
240383_at	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	-1.82
201294_s_at	WD repeat and SOCS box-containing 1	-1.83
203854_at	I factor (complement)	-1.83
204194_at	BTB and CNC homology 1, basic leucine zipper transcription factor 1	-1.83
211063_s_at	NCK adaptor protein 1 /// NCK adaptor protein 1	-1.83
218149_s_at	zinc finger protein 395	-1.83
219580_s_at	transmembrane channel-like 5	-1.83
223046_at	egl nine homolog 1 (C. elegans)	-1.83
225344_at	nuclear receptor coactivator 7	-1.83
234665_x_at	HERV-H LTR-associating 3	-1.83
239586_at	hypothetical protein MGC14128	-1.83
202336_s_at	peptidylglycine alpha-amidating monooxygenase	-1.84
202499_s_at	solute carrier family 2 (facilitated glucose transporter), member 3	-1.84
207735_at	ring finger protein 125	-1.84
215071_s_at	gb:AL353759 /DB_XREF=gi:8745068 /FEA=DNA_18 /CNT=7 /TID=Hs.28777.3 /TIER=ConsEnd /STK=0 /UG=Hs.28777 /LL=8334 /UG_GENE=H2AFL /UG_TITLE=H2A histone family, member L /DEF=Human DNA sequence from clone RP1-221C16 on chromosome 6. Contains two genes for novel histone 4 family members, two genes for novel histone 1 family members, three genes for novel histone 2B family members, a gene for a novel histone 2A family me...	-1.84
219001_s_at	WD repeat domain 32	-1.84
222303_at	gb:AV700891 /DB_XREF=gi:10302862 /DB_XREF=AV700891 /CLONE=GKCBQD03 /FEA=EST /CNT=7 /TID=Hs.292477.0 /TIER=ConsEnd /STK=0 /UG=Hs.292477 /UG_TITLE=ESTs	-1.84
45288_at	abhydrolase domain containing 6	-1.84
228291_s_at	chromosome 20 open reading frame 19	-1.84
201200_at	cellular repressor of E1A-stimulated genes 1	-1.85
203574_at	nuclear factor, interleukin 3 regulated	-1.85
221748_s_at	tensin /// tensin	-1.85
207543_s_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	-1.86
208796_s_at	cyclin G1	-1.86
211596_s_at	leucine-rich repeats and immunoglobulin-like domains 1 /// leucine-rich repeats and immunoglobulin-like domains 1	-1.86
224990_at	hypothetical protein LOC201895	-1.86
1553407_at	microtubule-actin crosslinking factor 1	-1.86
200664_s_at	DnaJ (Hsp40) homolog, subfamily B, member 1	-1.87
203708_at	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	-1.87
210424_s_at	golgin-67	-1.87
232500_at	KIAA1272 protein	-1.87
1559391_s_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	-1.87
1561418_at	Homo sapiens, clone IMAGE:5403381, mRNA	-1.87
212725_s_at	hypothetical protein TI-227H	-1.88
205328_at	claudin 10	-1.89
209784_s_at	jagged 2	-1.89
215599_at	SMA4	-1.89
217168_s_at	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	-1.89
226725_at	Transcribed locus	-1.89
227314_at	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	-1.89
227697_at	suppressor of cytokine signaling 3	-1.89
228397_at	Zinc finger, CW type with coiled-coil domain 1	-1.89
241285_at	Calmodulin binding transcription activator 1	-1.89
1557238_s_at	Hypothetical protein FLJ10707	-1.89
202211_at	ADP-ribosylation factor GTPase activating protein 3	-1.9
202375_at	SEC24 related gene family, member D (S. cerevisiae)	-1.9
203021_at	secretory leukocyte protease inhibitor (antileukoproteinase)	-1.9
209656_s_at	transmembrane 4 superfamily member 10	-1.9
217527_s_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	-1.9
223454_at	chemokine (C-X-C motif) ligand 16	-1.9
235252_at	Kinase suppressor of ras	-1.9
201940_at	carboxypeptidase D	-1.91
209212_s_at	Kruppel-like factor 5 (intestinal)	-1.91
209911_x_at	histone 1, H2bd	-1.91
213792_s_at	Insulin receptor	-1.91
237483_at	Pleckstrin homology domain containing, family A member 5	-1.91
241716_at	heat shock 60kDa protein 1 (chaperonin)	-1.91
243561_at	YY1 associated factor 2	-1.91
203513_at	hypothetical protein FLJ21439	-1.92
209048_s_at	protein kinase C binding protein 1	-1.92
222149_x_at	hypothetical protein DKFZp434P162	-1.92
223216_x_at	zinc finger protein 395 /// F-box protein 16	-1.92
227623_at	MRNA; cDNA DKFZp313C0240 (from clone DKFZp313C0240)	-1.92
201131_s_at	cadherin 1, type 1, E-cadherin (epithelial)	-1.93
204875_s_at	GDP-mannose 4,6-dehydratase	-1.93
207170_s_at	LETM1 domain containing 1	-1.93
212689_s_at	jumonji domain containing 1A	-1.93
212992_at	chromosome 14 open reading frame 78	-1.93
217738_at	pre-B-cell colony enhancing factor 1	-1.93
218589_at	purinergic receptor P2Y, G-protein coupled, 5	-1.93
204547_at	RAB40B, member RAS oncogene family	-1.94
204596_s_at	stanniocalcin 1	-1.94
32137_at	jagged 2	-1.94
51146_at	phosphatidylinositol glycan, class V	-1.94
223194_s_at	chromosome 6 open reading frame 85	-1.94
209028_s_at	abl-interactor 1	-1.95
41469_at	protease inhibitor 3, skin-derived (SKALP)	-1.95
222453_at	cytochrome b reductase 1	-1.95
226863_at	Full-length cDNA clone CS0DJ001YJ05 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human)	-1.95
235493_at	gb:AI927329 /DB_XREF=gi:5663293 /DB_XREF=wo89f12.x1 /CLONE=IMAGE:2462543 /FEA=EST /CNT=10 /TID=Hs.292471.0 /TIER=ConsEnd /STK=5 /UG=Hs.292471 /UG_TITLE=ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)	-1.95
239448_at	gb:AI475033 /DB_XREF=gi:4328078 /DB_XREF=tm62d04.x1 /CLONE=IMAGE:2162695 /FEA=EST /CNT=5 /TID=Hs.36915.0 /TIER=ConsEnd /STK=4 /UG=Hs.36915 /UG_TITLE=ESTs	-1.95
242403_at	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	-1.95
200648_s_at	glutamate-ammonia ligase (glutamine synthase)	-1.96
201860_s_at	plasminogen activator, tissue	-1.96
203865_s_at	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	-1.96
211002_s_at	tripartite motif-containing 29	-1.96
213260_at	Forkhead box C1	-1.96
221123_x_at	zinc finger protein 395	-1.96
241990_at	ras homolog gene family, member V	-1.96
212775_at	KIAA0657 protein	-1.97
240861_at	gb:BF433219 /DB_XREF=gi:11445382 /DB_XREF=7q59e10.x1 /CLONE=IMAGE:3702642 /FEA=EST /CNT=4 /TID=Hs.200802.0 /TIER=ConsEnd /STK=4 /UG=Hs.200802 /UG_TITLE=ESTs	-1.97
201943_s_at	carboxypeptidase D	-1.98
208890_s_at	plexin B2	-1.98
221024_s_at	solute carrier family 2 (facilitated glucose transporter), member 10 /// solute carrier family 2 (facilitated glucose transporter), member 10	-1.98
222628_s_at	REV1-like (yeast)	-1.98
225859_at	baculoviral IAP repeat-containing 4	-1.98
227052_at	Hypothetical protein LOC201895	-1.98
227510_x_at	gb:AL037917 /DB_XREF=gi:5928292 /DB_XREF=DKFZp564M117_r1 /CLONE=DKFZp564M117 /FEA=EST /CNT=25 /TID=Hs.279789.7 /TIER=Stack /STK=15 /UG=Hs.279789 /LL=8841 /UG_GENE=HDAC3 /UG_TITLE=histone deacetylase 3	-1.98
232746_at	Chemokine orphan receptor 1	-1.98
234970_at	membrane targeting (tandem) C2 domain containing 1	-1.98
244387_at	Transcribed locus	-1.98
207847_s_at	mucin 1, transmembrane	-1.99
218880_at	FOS-like antigen 2	-1.99
225626_at	phosphoprotein associated with glycosphingolipid-enriched microdomains	-1.99
234725_s_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	-1.99
202241_at	tribbles homolog 1 (Drosophila)	-2
202934_at	hexokinase 2	-2
203747_at	aquaporin 3	-2
218280_x_at	histone 2, H2aa	-2
225016_at	adenomatosis polyposis coli down-regulated 1	-2
226899_at	unc-5 homolog B (C. elegans)	-2
1556331_a_at	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-2
202345_s_at	fatty acid binding protein 5 (psoriasis-associated)	-2.01
205626_s_at	calbindin 1, 28kDa	-2.02
210426_x_at	RAR-related orphan receptor A	-2.02
218963_s_at	keratin 23 (histone deacetylase inducible)	-2.02
221725_at	WAS protein family, member 2	-2.02
203917_at	coxsackie virus and adenovirus receptor	-2.03
202769_at	Cyclin G2	-2.04
210645_s_at	tetratricopeptide repeat domain 3	-2.04
223268_at	PTD012 protein	-2.04
229761_at	gb:AI818652 /DB_XREF=gi:5437731 /DB_XREF=wk89c01.x1 /CLONE=IMAGE:2422560 /FEA=EST /CNT=12 /TID=Hs.127361.0 /TIER=Stack /STK=9 /UG=Hs.127361 /UG_TITLE=ESTs	-2.04
231726_at	protocadherin beta 14	-2.04
1569540_at	gb:BC035958.1 /DB_XREF=gi:23271162 /TID=Hs2.397505.1 /CNT=3 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.397505 /UG_TITLE=Homo sapiens, clone IMAGE:4722681, mRNA /DEF=Homo sapiens, clone IMAGE:4722681, mRNA.	-2.04
206059_at	zinc finger protein 91 (HPF7, HTF10)	-2.05
214620_x_at	peptidylglycine alpha-amidating monooxygenase	-2.05
218205_s_at	MAP kinase interacting serine/threonine kinase 2	-2.05
39249_at	aquaporin 3	-2.05
229145_at	chromosome 10 open reading frame 104	-2.05
236610_at	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-2.05
239243_at	Zinc finger protein 638	-2.05
1569181_x_at	gb:BC017896.1 /DB_XREF=gi:22450843 /TID=Hs2.249303.1 /CNT=9 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.249303 /UG_TITLE=Homo sapiens, clone IMAGE:4250282, mRNA /DEF=Homo sapiens, clone IMAGE:4250282, mRNA.	-2.05
226452_at	pyruvate dehydrogenase kinase, isoenzyme 1	-2.06
242868_at	Endothelial PAS domain protein 1	-2.06
243016_at	RTS beta protein	-2.06
200737_at	phosphoglycerate kinase 1	-2.07
209034_at	proline-rich nuclear receptor coactivator 1	-2.07
212368_at	zinc finger protein 292	-2.07
242239_at	NOL1/NOP2/Sun domain family, member 6	-2.07
223199_at	MAP kinase interacting serine/threonine kinase 2	-2.08
226121_at	hypothetical protein MGC23280	-2.08
226869_at	Full length insert cDNA clone ZD77F06	-2.08
239937_at	Zinc finger protein 207	-2.08
207935_s_at	keratin 13	-2.09
225202_at	Rho-related BTB domain containing 3	-2.09
225239_at	CDNA FLJ26120 fis, clone SYN00419	-2.09
203140_at	B-cell CLL/lymphoma 6 (zinc finger protein 51) /// B-cell CLL/lymphoma 6 (zinc finger protein 51)	-2.1
208798_x_at	golgin-67	-2.1
223449_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	-2.1
223542_at	ankyrin repeat domain 32	-2.1
227074_at	Down-regulator of transcription 1, TBP-binding (negative cofactor 2)	-2.1
232012_at	calpain 1, (mu/I) large subunit	-2.1
243046_at	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	-2.1
207526_s_at	interleukin 1 receptor-like 1	-2.11
213164_at	solute carrier family 5 (inositol transporters), member 3	-2.11
213695_at	paraoxonase 3	-2.11
215223_s_at	superoxide dismutase 2, mitochondrial	-2.11
232541_at	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	-2.11
232889_at	hypothetical protein LOC153561	-2.11
213812_s_at	calcium/calmodulin-dependent protein kinase kinase 2, beta	-2.13
217767_at	complement component 3	-2.13
228575_at	hypothetical protein MGC34923	-2.13
203881_s_at	dystrophin (muscular dystrophy, Duchenne and Becker types)	-2.14
223541_at	hyaluronan synthase 3	-2.14
236322_at	Hypothetical protein FLJ31951	-2.14
200632_s_at	N-myc downstream regulated gene 1	-2.15
204725_s_at	NCK adaptor protein 1	-2.15
205207_at	interleukin 6 (interferon, beta 2)	-2.15
211906_s_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4 /// serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	-2.15
226140_s_at	OTU domain containing 1	-2.15
1555372_at	BCL2-like 11 (apoptosis facilitator)	-2.15
221523_s_at	Ras-related GTP binding D	-2.16
227295_at	IKK interacting protein	-2.16
1563364_at	Homo sapiens, clone IMAGE:4272847, mRNA	-2.16
229574_at	Transformer-2 alpha	-2.17
243586_at	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-2.17
203330_s_at	syntaxin 5A	-2.18
215425_at	BTG family, member 3	-2.18
235028_at	CDNA FLJ42313 fis, clone TRACH2019425	-2.18
242358_at	CDNA FLJ35666 fis, clone SPLEN2017781	-2.18
202504_at	tripartite motif-containing 29	-2.19
204389_at	monoamine oxidase A	-2.19
218486_at	Kruppel-like factor 11	-2.2
202973_x_at	family with sequence similarity 13, member A1	-2.21
212268_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	-2.21
212944_at	Mitochondrial ribosomal protein S6	-2.21
214211_at	ferritin, heavy polypeptide 1	-2.21
217047_s_at	family with sequence similarity 13, member A1	-2.21
225660_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	-2.21
217729_s_at	amino-terminal enhancer of split	-2.23
1568983_a_at	CDNA FLJ13266 fis, clone OVARC1000960	-2.23
209189_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	-2.24
225530_at	MOB1, Mps One Binder kinase activator-like 2A (yeast)	-2.24
235803_at	Cytokine receptor-like factor 3	-2.25
238883_at	Thyroid hormone receptor associated protein 2	-2.25
239227_at	Exostoses (multiple) 1	-2.25
224967_at	UDP-glucose ceramide glucosyltransferase	-2.26
225606_at	BCL2-like 11 (apoptosis facilitator)	-2.26
227318_at	MRNA; cDNA DKFZp547G036 (from clone DKFZp547G036)	-2.26
238460_at	hypothetical protein MGC14128	-2.26
1566342_at	gb:R34841 /DB_XREF=gi:791742 /DB_XREF=yh86b05.s1 /CLONE=IMAGE:136593 /TID=Hs2.384944.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.384944 /UG_TITLE=Human HepG2 3 region MboI cDNA, clone hmd2a08m3.	-2.26
209050_s_at	ral guanine nucleotide dissociation stimulator	-2.27
228483_s_at	Phosphoglycerate kinase 1	-2.27
244026_at	Elongation factor, RNA polymerase II, 2	-2.27
1560271_at	Polypyrimidine tract binding protein 2	-2.27
202363_at	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	-2.28
203408_s_at	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	-2.28
205302_at	insulin-like growth factor binding protein 1	-2.28
222646_s_at	ERO1-like (S. cerevisiae)	-2.28
237330_at	Likely ortholog of mouse TORC2-specific protein AVO3 (S. cerevisiae)	-2.29
216248_s_at	nuclear receptor subfamily 4, group A, member 2	-2.3
224604_at	gb:AL571684 /DB_XREF=gi:12929224 /DB_XREF=AL571684 /CLONE=CS0DI031YP04 (3 prime) /FEA=mRNA /CNT=316 /TID=Hs.173705.0 /TIER=Stack /STK=8 /UG=Hs.173705 /UG_TITLE=Homo sapiens cDNA: FLJ22050 fis, clone HEP09454	-2.3
230710_at	CDNA FLJ41489 fis, clone BRTHA2004582	-2.3
218983_at	complement component 1, r subcomponent-like	-2.31
223854_at	protocadherin beta 10	-2.31
227758_at	RAS-like, estrogen-regulated, growth inhibitor	-2.31
207110_at	potassium inwardly-rectifying channel, subfamily J, member 12	-2.33
57588_at	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	-2.33
219410_at	transmembrane protein 45A	-2.34
209732_at	C-type lectin domain family 2, member B	-2.35
219232_s_at	egl nine homolog 3 (C. elegans)	-2.35
235274_at	Transcribed locus, weakly similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	-2.35
236278_at	Histone 1, H3e	-2.35
201848_s_at	BCL2/adenovirus E1B 19kDa interacting protein 3	-2.39
213843_x_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-2.39
230211_at	Transcribed locus	-2.4
201313_at	enolase 2 (gamma, neuronal)	-2.41
242476_at	Transcribed locus, strongly similar to NP_777610.1 hypothetical protein FLJ30435 [Homo sapiens]	-2.41
201010_s_at	thioredoxin interacting protein	-2.43
228072_at	synaptotagmin XII	-2.43
226302_at	ATPase, Class I, type 8B, member 1	-2.44
236193_at	Transcribed locus	-2.44
224558_s_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	-2.45
226325_at	adenylosuccinate synthase like 1	-2.46
239155_at	Coxsackie virus and adenovirus receptor	-2.46
202364_at	MAX interactor 1 /// MAX interactor 1	-2.47
210854_x_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-2.47
205199_at	carbonic anhydrase IX	-2.48
204621_s_at	nuclear receptor subfamily 4, group A, member 2	-2.49
215388_s_at	complement factor H /// complement factor H-related 1	-2.49
228640_at	BH-protocadherin (brain-heart)	-2.49
242725_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	-2.49
215812_s_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8 /// similar to sodium- and chloride-dependent creatine transporter	-2.5
207076_s_at	argininosuccinate synthetase	-2.52
218506_x_at	gb:NM_018459.1 /DB_XREF=gi:8922103 /GEN=BM045 /FEA=FLmRNA /CNT=115 /TID=Hs.8750.0 /TIER=FL+Stack /STK=64 /UG=Hs.8750 /LL=55842 /DEF=Homo sapiens uncharacterized bone marrow protein BM045 (BM045), mRNA. /PROD=uncharacterized bone marrow protein BM045 /FL=gb:AF217521.1 gb:NM_018459.1	-2.52
205825_at	proprotein convertase subtilisin/kexin type 1	-2.55
219511_s_at	synuclein, alpha interacting protein (synphilin)	-2.55
226560_at	Sphingosine-1-phosphate phosphotase 2	-2.58
1554741_s_at	fibroblast growth factor 7 (keratinocyte growth factor) /// hypothetical protein FLJ30435	-2.58
203304_at	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	-2.6
203892_at	WAP four-disulfide core domain 2	-2.62
224797_at	arrestin domain containing 3	-2.63
201849_at	BCL2/adenovirus E1B 19kDa interacting protein 3	-2.64
228115_at	Transcribed locus	-2.64
206504_at	cytochrome P450, family 24, subfamily A, polypeptide 1	-2.65
217110_s_at	mucin 4, tracheobronchial	-2.66
224565_at	trophoblast-derived noncoding RNA	-2.66
237310_at	Exostoses (multiple) 1	-2.66
221478_at	BCL2/adenovirus E1B 19kDa interacting protein 3-like /// BCL2/adenovirus E1B 19kDa interacting protein 3-like	-2.67
224826_at	hypothetical protein KIAA1434	-2.67
225645_at	Ets homologous factor	-2.67
227702_at	cytochrome P450, family 4, subfamily X, polypeptide 1	-2.67
203066_at	B cell RAG associated protein	-2.68
227099_s_at	hypothetical LOC387763	-2.68
244780_at	sphingosine-1-phosphate phosphotase 2	-2.68
211959_at	insulin-like growth factor binding protein 5	-2.69
208153_s_at	FAT tumor suppressor homolog 2 (Drosophila) /// FAT tumor suppressor homolog 2 (Drosophila)	-2.71
228754_at	gb:BG150485 /DB_XREF=gi:12662515 /DB_XREF=7k01g03.x1 /CLONE=IMAGE:3443140 /FEA=mRNA /CNT=23 /TID=Hs.296770.0 /TIER=Stack /STK=17 /UG=Hs.296770 /LL=80852 /UG_GENE=KIAA1719 /UG_TITLE=KIAA1719 protein	-2.72
238029_s_at	solute carrier family 16 (monocarboxylic acid transporters), member 14	-2.72
215446_s_at	lysyl oxidase	-2.73
222847_s_at	egl nine homolog 3 (C. elegans)	-2.75
203691_at	protease inhibitor 3, skin-derived (SKALP) /// protease inhibitor 3, skin-derived (SKALP)	-2.76
204249_s_at	LIM domain only 2 (rhombotin-like 1)	-2.76
203535_at	S100 calcium binding protein A9 (calgranulin B)	-2.78
204748_at	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	-2.8
204388_s_at	monoamine oxidase A	-2.81
200962_at	ribosomal protein L31	-2.82
211121_s_at	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	-2.82
224566_at	trophoblast-derived noncoding RNA	-2.82
240304_s_at	Transmembrane channel-like 5	-2.85
204457_s_at	growth arrest-specific 1	-2.86
204379_s_at	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	-2.92
209122_at	adipose differentiation-related protein	-2.99
219429_at	fatty acid 2-hydroxylase	-3
202998_s_at	lysyl oxidase-like 2	-3.02
242822_at	Hypothetical gene supported by BC029568	-3.04
204920_at	carbamoyl-phosphate synthetase 1, mitochondrial	-3.05
218872_at	hypothetical protein FLJ20607	-3.08
213418_at	heat shock 70kDa protein 6 (HSP70B)	-3.12
217564_s_at	carbamoyl-phosphate synthetase 1, mitochondrial	-3.14
201117_s_at	carboxypeptidase E	-3.18
204684_at	neuronal pentraxin I	-3.2
221477_s_at	FLJ43505 protein	-3.2
226682_at	hypothetical protein LOC283666	-3.21
208470_s_at	haptoglobin /// haptoglobin-related protein	-3.22
228143_at	ceruloplasmin (ferroxidase)	-3.27
204846_at	ceruloplasmin (ferroxidase)	-3.33
201744_s_at	lumican	-3.4
204734_at	keratin 15	-3.42
214370_at	gb:AW238654 /DB_XREF=gi:6571043 /DB_XREF=xp29f06.x1 /CLONE=IMAGE:2741795 /FEA=EST /CNT=29 /TID=Hs.100000.1 /TIER=Stack /STK=26 /UG=Hs.100000 /LL=6279 /UG_GENE=S100A8 /UG_TITLE=S100 calcium-binding protein A8 (calgranulin A)	-3.44
218729_at	latexin	-3.5
212942_s_at	KIAA1199	-3.54
202219_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	-3.57
225987_at	tumor necrosis factor, alpha-induced protein 9	-3.63
219764_at	frizzled homolog 10 (Drosophila)	-3.65
214657_s_at	Trophoblast-derived noncoding RNA	-3.79
218625_at	neuritin 1	-3.88
1569344_a_at	Homo sapiens, clone IMAGE:4044872, mRNA	-3.89
240991_at	N-myc downstream regulated gene 1	-3.96
204298_s_at	lysyl oxidase	-3.98
210095_s_at	insulin-like growth factor binding protein 3	-4
227253_at	Ceruloplasmin (ferroxidase)	-4.01
213693_s_at	Mucin 1, transmembrane	-4.06
222830_at	transcription factor CP2-like 2	-4.13
204637_at	glycoprotein hormones, alpha polypeptide	-4.23
