Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.173464	FKBP8	FK506 binding protein 8, 38kDa (FKBP8), mRNA.	19p12	2.314814815
Hs.498143	TBCE	tubulin-specific chaperone e (TBCE), mRNA.	1q42.3	2.314814815
Hs.521969	NDUFB11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa	Xp11.3	2.320185615
Hs.13155	ITGB5	integrin, beta 5 (ITGB5), mRNA.	3q21.2	2.320185615
Hs.476231	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2 (IMPDH2), mRNA.	3p21.2	2.320185615
Hs.125116	CACNA1I	Calcium channel, voltage-dependent, alpha 1I subunit	22q13.1	2.325581395
Hs.546492	LOC149351	Hypothetical protein LOC149351	1p22.2	2.325581395
Hs.527861	OS-9	amplified in osteosarcoma (OS-9), mRNA.	12q13	2.325581395
Hs.153357	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (PLOD3), mRNA.	7q22	2.325581395
Hs.535224	KIAA0117	KIAA0117 protein (KIAA0117), mRNA.	1q42.3	2.325581395
Hs.37616	STRA13	stimulated by retinoic acid 13 homolog (mouse) (STRA13), mRNA.	17q25.3	2.325581395
Hs.325846	FLJ11806	nuclear protein UKp68 (FLJ11806), transcript variant 4, mRNA.	14q31.3	2.325581395
Hs.61142	FLJ10661	hypothetical protein FLJ10661 (FLJ10661), mRNA.	11q13.4	2.331002331
Hs.533273	UBE1	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing) (UBE1), transcript variant 2, mRNA.	Xp11.23	2.336448598
Hs.466507	LISCH7	liver-specific bHLH-Zip transcription factor (LISCH7), transcript variant 3, mRNA.	19q13.12	2.336448598
Hs.75361	C22orf19	Chromosome 22 open reading frame 19	22q12.2	2.336448598
Hs.372295	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1 (PITPNM1), mRNA.	11q13	2.341920375
Hs.495605	CD99	CD99 antigen (CD99), mRNA.	Yp11.3	2.341920375
Hs.414579	SCOTIN	scotin (SCOTIN), mRNA.	3p21.31	2.34741784
Hs.514211	MGC4251	hypothetical protein MGC4251 (MGC4251), mRNA.	17q21.31	2.34741784
Hs.458367	MRP63	mitochondrial ribosomal protein 63 (MRP63), nuclear gene encoding mitochondrial protein, mRNA.	13p11.1-q11	2.34741784
Hs.355867	MARS	methionine-tRNA synthetase (MARS), mRNA.	12q13.2	2.34741784
Hs.152475	ASCL2	achaete-scute complex-like 2 (Drosophila) (ASCL2), mRNA.	11p15.5	2.34741784
Hs.509264	KLHDC2	kelch domain containing 2 (KLHDC2), mRNA.	14q21.3	2.352941176
Hs.549350		Similar to C10orf94 protein	16q23.1	2.352941176
Hs.75486	FBXL8	F-box and leucine-rich repeat protein 8 (FBXL8), mRNA.	16q22.1	2.352941176
Hs.30965	SHC2	PREDICTED: SHC (Src homology 2 domain containing) transforming protein 2 (SHC2), mRNA.	19	2.358490566
		Human DNA sequence from PAC 30P20 on chromosome Xq21.1-Xq21.3. Contains set pseudogene, ESTs and STS		2.358490566
Hs.550567	GATS	opposite strand transcription unit to STAG3 (GATS), mRNA.	7q22.1	2.364066194
Hs.500526	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae) (BTAF1), mRNA.	10q22-q23	2.364066194
Hs.433668	C21orf4	Chromosome 21 open reading frame 4	21q22.11	2.375296912
Hs.30345	TRAP1	TNF receptor-associated protein 1 (TRAP1), mRNA.	16p13.3	2.375296912
Hs.455316		Hypothetical gene supported by AK131029; BC002886	9q12	2.375296912
Hs.30792	HOOK2	hook homolog 2 (Drosophila) (HOOK2), mRNA.	19p13.13	2.375296912
Hs.519366		Similar to SMA5 protein	5q13.2	2.375296912
Hs.147472	DNAI2	dynein, axonemal, intermediate polypeptide 2 (DNAI2), mRNA.	17q25	2.375296912
Hs.369285	DKFZP434B168	DKFZP434B168 protein (DKFZP434B168), mRNA.	1p36.13-q42.3	2.380952381
Hs.75668	FLJ14490	Hypothetical protein FLJ14490	1p34.2	2.380952381
Hs.410197	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma (IDH3G), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	Xq28	2.392344498
Hs.287433	ZNF556	zinc finger protein 556 (ZNF556), mRNA.	19p13.3	2.392344498
Hs.516076	SNRPG	Small nuclear ribonucleoprotein polypeptide G	2p13.3	2.398081535
Hs.5120	DNCL1	dynein, cytoplasmic, light polypeptide 1 (DNCL1), mRNA.	12q24.23	2.403846154
Hs.485877	SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	6q14-q15	2.403846154
		Human DNA sequence from clone RP1-158P9 on chromosome 1. Contains a putative novel gene, a laminin r		2.403846154
Hs.400876		Hypothetical LOC388796	20q11.23	2.403846154
Hs.512833	MGC14289	similar to RIKEN cDNA 1200014N16 gene (MGC14289), mRNA.	7q34	2.403846154
Hs.184727	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5 (MFI2), transcript variant 1, mRNA.	3q28-q29	2.403846154
Hs.502823	PRDX5	peroxiredoxin 5 (PRDX5), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	11q13	2.403846154
Hs.77873	B7H3	B7 homolog 3 (B7H3), mRNA.	15q23-q24	2.409638554
Hs.65377	38785	membrane-associated ring finger (C3HC4) 9 (MARCH9), mRNA.	12q14.1	2.409638554
Hs.189772	CCT2	chaperonin containing TCP1, subunit 2 (beta) (CCT2), mRNA.	12q15	2.409638554
Hs.442337	S100A7L1	S100 calcium binding protein A7-like 1 (S100A7L1), mRNA.	1q21.3	2.409638554
Hs.448294		CDNA FLJ32264 fis, clone PROST1000383	6	2.409638554
Hs.496487	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67) (ATF4), transcript variant 2, mRNA.	22q13.1	2.409638554
	FLJ21459	Hypothetical protein FLJ21459		2.415458937
Hs.151761	KIAA0100	KIAA0100 gene product	17q11.2	2.415458937
Hs.126221	TMEM1	transmembrane protein 1 (TMEM1), transcript variant 1, mRNA.	21q22.3	2.421307506
Hs.529475	HSPC111	hypothetical protein HSPC111 (HSPC111), mRNA.	5q35.2	2.421307506
Hs.435136	TXN	Thioredoxin	9q31	2.421307506
Hs.258576	CLDN12	claudin 12 (CLDN12), mRNA.	7q21	2.421307506
Hs.1361	CYP1A2	cytochrome P450, family 1, subfamily A, polypeptide 2 (CYP1A2), mRNA.	15q22-qter	2.421307506
Hs.36473	PEPD	Peptidase D	19q12-q13.2	2.421307506
	ANXA2P3	annexin A2 pseudogene 3 (ANXA2P3) on chromosome 10.	10q21-q22	2.421307506
Hs.501497	TNFSF7	tumor necrosis factor (ligand) superfamily, member 7 (TNFSF7), mRNA.	19p13	2.427184466
Hs.524899	SAP18	sin3-associated polypeptide, 18kDa (SAP18), mRNA.	13q12.11	2.427184466
Hs.370255	ITGB4	integrin, beta 4 (ITGB4), transcript variant 1, mRNA.	17q25	2.427184466
Hs.475018	TCF20	transcription factor 20 (AR1) (TCF20), transcript variant 2, mRNA.	22q13.3	2.427184466
Hs.333579	HSPC152	hypothetical protein HSPC152 (HSPC152), mRNA.	11q13.1	2.433090024
Hs.100426	BRMS1	breast cancer metastasis suppressor 1 (BRMS1), mRNA.	11q13-q13.2	2.433090024
Hs.444664	FLJ21816	hypothetical protein FLJ21816 (FLJ21816), mRNA.	16p12.1	2.433090024
Hs.93659	PDIA4	protein disulfide isomerase-associated 4 (PDIA4), mRNA.	7q35	2.433090024
Hs.532265	Gm83	gene model 83 (Gm83), mRNA.	8q22.3	2.433090024
Hs.312098	ADAM15	a disintegrin and metalloproteinase domain 15 (metargidin) (ADAM15), transcript variant 2, mRNA.	1q21.3	2.433090024
Hs.55016	EPS8L2	EPS8-like 2 (EPS8L2), mRNA.	11p15.5	2.43902439
Hs.43666	PTP4A3	protein tyrosine phosphatase type IVA, member 3 (PTP4A3), transcript variant 2, mRNA.	8q24.3	2.43902439
Hs.131017	SPATA13	Spermatogenesis associated 13	13q12.12	2.43902439
Hs.408061	FABP5	fatty acid binding protein 5 (psoriasis-associated) (FABP5), mRNA.	8q21.13	2.43902439
Hs.350806	UBXD2	UBX domain containing 2 (UBXD2), mRNA.	2q21.3	2.444987775
Hs.492516	PFDN2	prefoldin 2 (PFDN2), mRNA.	1q23.3	2.444987775
Hs.530687	RNH	ribonuclease/angiogenin inhibitor (RNH), transcript variant 7, mRNA.	11p15.5	2.444987775
Hs.77510	RFWD3	Ring finger and WD repeat domain 3	16q22.3	2.444987775
Hs.50098	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4), nuclear gene encoding mitochondrial protein, mRNA.	7p21.3	2.444987775
Hs.116479	LOXL2	lysyl oxidase-like 2 (LOXL2), mRNA.	8p21.3-p21.2	2.444987775
Hs.278857	HNRPH2	heterogeneous nuclear ribonucleoprotein H2 (H) (HNRPH2), mRNA.	Xq22	2.444987775
Hs.170422	MCF2L	MCF.2 cell line derived transforming sequence-like	13q34	2.444987775
Hs.524219	TPI1	triosephosphate isomerase 1 (TPI1), mRNA.	12p13	2.450980392
Hs.531330	CBWD2	COBW domain containing 2 (CBWD2), mRNA.	2q14.1	2.450980392
Hs.529577	SR140	U2-associated SR140 protein	3q23	2.450980392
Hs.436178	LOC89944	hypothetical protein BC008326 (LOC89944), mRNA.	11q25	2.450980392
Hs.222510	DAZAP1	DAZ associated protein 1 (DAZAP1), transcript variant 2, mRNA.	19p13.3	2.457002457
		Human DNA sequence from clone 522P13 on chromosome 6p21.31-22.3. Contains a 60S Ribosomal Protein L2		2.457002457
Hs.493202	CPSF1	cleavage and polyadenylation specific factor 1, 160kDa (CPSF1), mRNA.	8q24.23	2.457002457
Hs.516439	IVL	involucrin (IVL), mRNA.	1q21	2.457002457
Hs.209113	NOMO1	NODAL modulator 1 (NOMO1), mRNA.	16p13.11	2.457002457
Hs.136947	RALY	RNA binding protein (autoantigenic, hnRNP-associated with lethal yellow) (RALY), transcript variant 1, mRNA.	20q11.21-q11.23	2.457002457
Hs.98370	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1 (CYP2S1), mRNA.	19q13.1	2.457002457
Hs.530084	PILRB	paired immunoglobin-like type 2 receptor beta (PILRB), transcript variant 3, mRNA.	7q22.1	2.457002457
Hs.549075	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3 (XRCC3), mRNA.	14q32.3	2.463054187
Hs.515155	MGC2803	hypothetical protein MGC2803 (MGC2803), mRNA.	19p13.13	2.463054187
Hs.490415	ZYX	zyxin (ZYX), transcript variant 1, mRNA.	7q32	2.463054187
Hs.17987	DKFZp451J0118	taxilin (DKFZp451J0118), mRNA.	1p35.1	2.463054187
Hs.548151		CDNA clone IMAGE:3931942, partial cds	8	2.463054187
Hs.314359	EIF3S12	eukaryotic translation initiation factor 3, subunit 12 (EIF3S12), mRNA.	19q13.2	2.475247525
Hs.516218	MGC41816	hypothetical protein MGC41816 (MGC41816), mRNA.	2q11.2	2.475247525
Hs.155839	RTN4IP1	reticulon 4 interacting protein 1 (RTN4IP1), nuclear gene encoding mitochondrial protein, mRNA.	6q21	2.475247525
Hs.472409	POFUT1	protein O-fucosyltransferase 1 (POFUT1), transcript variant 1, mRNA.	20q11	2.475247525
		Human DNA sequence from clone RP1-6P5 on chromosome 6 Contains a pseudogene similar to EEF1D (eukary		2.475247525
Hs.523836	GSTP1	glutathione S-transferase pi (GSTP1), mRNA.	11q13	2.481389578
Hs.381172	RPL41	Ribosomal protein L41	12q13	2.481389578
Hs.446373	HSGT1	suppressor of S. cerevisiae gcr2 (HSGT1), mRNA.	10q22.1	2.481389578
Hs.148584	LOC51333	Mesenchymal stem cell protein DSC43	16p11.2	2.481389578
Hs.68714	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) (SFRS1), mRNA.	17q21.3-q22	2.487562189
Hs.291212	TBCA	tubulin-specific chaperone a (TBCA), mRNA.	5q14.1	2.487562189
Hs.469309	MRPS5	mitochondrial ribosomal protein S5 (MRPS5), nuclear gene encoding mitochondrial protein, mRNA.	2p11.2-q11.2	2.493765586
Hs.74564	SSR2	signal sequence receptor, beta (translocon-associated protein beta) (SSR2), mRNA.	1q21-q23	2.493765586
Hs.521869	KAL1	Kallmann syndrome 1 sequence	Xp22.32	2.493765586
Hs.515545	TBC1D17	TBC1 domain family, member 17 (TBC1D17), mRNA.	19q13.33	2.5
Hs.495473	NOTCH1	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA.	9q34.3	2.5
Hs.235782	SLCO4A1	solute carrier organic anion transporter family, member 4A1 (SLCO4A1), mRNA.	20q13.33	2.5
Hs.534388	SSSCA1	Sjogrens syndrome/scleroderma autoantigen 1 (SSSCA1), mRNA.	11q13.1	2.506265664
Hs.237825	SRP72	signal recognition particle 72kDa (SRP72), mRNA.	4q11	2.506265664
Hs.447132	LOC132556	PREDICTED: similar to Transcription factor BTF3 homolog 3 (LOC132556), mRNA.	4	2.506265664
Hs.12084	TUFM	Tu translation elongation factor, mitochondrial (TUFM), mRNA.	16p11.2	2.512562814
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.512562814
Hs.501890	AMPD3	adenosine monophosphate deaminase (isoform E) (AMPD3), mRNA.	11p15	2.512562814
Hs.102558	MGC5352	Bcl-XL-binding protein v68 (MGC5352), mRNA.	12q24.33	2.518891688
Hs.412842	C10orf7	chromosome 10 open reading frame 7 (C10orf7), mRNA.	10p13	2.518891688
Hs.467192	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform (PPP2R1A), mRNA.	19q13.41	2.525252525
Hs.184233	HSPA9B	heat shock 70kDa protein 9B (mortalin-2) (HSPA9B), nuclear gene encoding mitochondrial protein, mRNA.	5q31.1	2.525252525
Hs.534326	ITGB4BP	integrin beta 4 binding protein (ITGB4BP), transcript variant 5, mRNA.	20q12	2.525252525
Hs.112610	C20orf89	Active Ig mu-chain mRNA V-region (VDJ), 5 end, clone mu-11-8.	2	2.525252525
Hs.520459	GTF2I	general transcription factor II, i (GTF2I), transcript variant 4, mRNA.	7q11.23	2.525252525
Hs.278426	PDAP1	PDGFA associated protein 1 (PDAP1), mRNA.	7q22.1	2.53164557
Hs.495984	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family) (CASK), mRNA.	Xp11.4	2.53164557
Hs.96633	LOC392666	PREDICTED: similar to KIAA0363 (LOC392666), mRNA.	7	2.538071066
		Human DNA sequence from clone RP1-9E21 on chromosome 1q24-25 Contains a pseudogene similar to calpon		2.538071066
Hs.516155	CAPG	capping protein (actin filament), gelsolin-like (CAPG), mRNA.	2cen-q24	2.538071066
Hs.381072	PPIF	peptidylprolyl isomerase F (cyclophilin F) (PPIF), nuclear gene encoding mitochondrial protein, mRNA.	10q22-q23	2.544529262
Hs.308709	PDIA3	protein disulfide isomerase-associated 3 (PDIA3), mRNA.	15q15	2.544529262
Hs.482526	TINP1	TGF beta-inducible nuclear protein 1 (TINP1), mRNA.	5q13.3	2.551020408
Hs.125348	C4orf8	chromosome 4 open reading frame 8 (C4orf8), mRNA.	4p16.3	2.551020408
Hs.522394	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (HSPA5), mRNA.	9q33-q34.1	2.551020408
Hs.518073		Similar to beta-1,4-mannosyltransferase; beta-1,4 mannosyltransferase	3p12.3	2.551020408
Hs.516846	ZNF343	zinc finger protein 343 (ZNF343), mRNA.	20p13	2.551020408
Hs.433879	POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene (POLR2J2), transcript variant 3, mRNA.	7q11.22	2.557544757
Hs.436023	PRDM1	PR domain containing 1, with ZNF domain (PRDM1), transcript variant 2, mRNA.	6q21-q22.1	2.557544757
Hs.514009	C17orf35	chromosome 17 open reading frame 35 (C17orf35), mRNA.	17p11.2	2.557544757
Hs.517830	BTD	biotinidase (BTD), mRNA.	3p25	2.557544757
	MGC10764	Hypothetical protein MGC10764		2.557544757
Hs.404321	GARS	glycyl-tRNA synthetase (GARS), mRNA.	7p15	2.564102564
Hs.65234	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 (DDX27), mRNA.	20q13.13	2.564102564
Hs.469925	FLJ14346	hypothetical protein FLJ14346 (FLJ14346), mRNA.	2q21.1	2.564102564
Hs.524399	TROAP	trophinin associated protein (tastin) (TROAP), mRNA.	12q13.12	2.570694087
Hs.165328	LOC283970	Hypothetical protein LOC283970	16q22.1	2.570694087
Hs.529038	FSTL3	follistatin-like 3 (secreted glycoprotein) (FSTL3), mRNA.	19p13	2.577319588
Hs.476179	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 (SMARCC1), mRNA.	3p23-p21	2.577319588
Hs.169900	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA.	1p32-p36	2.577319588
Hs.520623	C7orf27	Chromosome 7 open reading frame 27	7p22.3	2.577319588
Hs.2764	NFKBIL1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1 (NFKBIL1), mRNA.	6p21.3	2.577319588
Hs.502814	LRP16	LRP16 protein	11q11	2.577319588
Hs.549421	PLXNA1	plexin A1 (PLXNA1), mRNA.	3q21.3	2.577319588
Hs.248746	HNRPAB	heterogeneous nuclear ribonucleoprotein A/B (HNRPAB), transcript variant 2, mRNA.	5q35.3	2.583979328
Hs.289828	ANKRD16	Ankyrin repeat domain 16	10p15.1	2.583979328
Hs.75117	ILF2	interleukin enhancer binding factor 2, 45kDa (ILF2), mRNA.	1q21.3	2.583979328
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.583979328
Hs.194121	RCL1	RNA terminal phosphate cyclase-like 1 (RCL1), mRNA.	9p24.1-p23	2.583979328
Hs.546917		CDNA: FLJ23438 fis, clone HRC13275	17|	2.583979328
Hs.91531	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (MLLT6), mRNA.	17q21	2.590673575
Hs.534585	C6orf206	Chromosome 6 open reading frame 206	6p21.1	2.590673575
Hs.329989	PLK1	polo-like kinase 1 (Drosophila) (PLK1), mRNA.	16p12.1	2.590673575
Hs.82927	AMPD2	adenosine monophosphate deaminase 2 (isoform L) (AMPD2), transcript variant 2, mRNA.	1p13.3	2.597402597
Hs.546502	BTNL9	butyrophilin-like 9 (BTNL9), mRNA.	5q35.3	2.597402597
Hs.515146	SITPEC	likely ortholog of mouse signaling intermediate in Toll pathway-evolutionarily conserved (SITPEC), mRNA.	19p13.2	2.604166667
Hs.438720	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae) (MCM7), transcript variant 1, mRNA.	7q21.3-q22.1	2.604166667
Hs.188859	GPR20	G protein-coupled receptor 20 (GPR20), mRNA.	8q24.2-q24.3	2.604166667
Hs.546301	SSB	Sjogren syndrome antigen B (autoantigen La) (SSB), mRNA.	2q31.1	2.604166667
Hs.503692	YAP1	Yes-associated protein 1, 65kDa (YAP1), mRNA.	11q13	2.604166667
Hs.249600	DLGAP4	discs, large (Drosophila) homolog-associated protein 4 (DLGAP4), transcript variant 2, mRNA.	20q11.23	2.604166667
Hs.355570	FLJ30656	hypothetical protein FLJ30656 (FLJ30656), mRNA.	17q21.31	2.604166667
Hs.490795	CHR2SYT	Chr2 synaptotagmin	7q36.3	2.604166667
Hs.444535	FLJ12476	hypothetical protein FLJ12476 (FLJ12476), mRNA.	15q23	2.610966057
Hs.511897	38961	septin 1 (SEPT1), mRNA.	16p11.1	2.610966057
Hs.695	CSTB	cystatin B (stefin B) (CSTB), mRNA.	21q22.3	2.610966057
Hs.122523	SND1	staphylococcal nuclease domain containing 1 (SND1), mRNA.	7q31.3	2.610966057
Hs.112423	DKFZp586I1420	Hypothetical protein DKFZp586I1420	7p15.1	2.610966057
Hs.516543	AGPS	Alkylglycerone phosphate synthase	2q31	2.610966057
Hs.379858	DDAH1	dimethylarginine dimethylaminohydrolase 1 (DDAH1), mRNA.	1p22	2.610966057
Hs.6891	SFRS6	splicing factor, arginine/serine-rich 6 (SFRS6), mRNA.	20q12-q13.1	2.617801047
Hs.480465	SCYE1	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating) (SCYE1), mRNA.	4q24	2.617801047
Hs.479766	TPARL	TPA regulated locus (TPARL), mRNA.	4q12	2.617801047
Hs.191887	SEC61B	Sec61 beta subunit (SEC61B), mRNA.	9q22.32-q31.3	2.617801047
Hs.515112	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa (NDUFA7), mRNA.	19p13.2	2.624671916
Hs.465506	PPAP2C	phosphatidic acid phosphatase type 2C (PPAP2C), transcript variant 2, mRNA.	19p13	2.624671916
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.631578947
Hs.326387	MORF4L2	mortality factor 4 like 2 (MORF4L2), mRNA.	Xq22	2.631578947
Hs.421576	MAGOH	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH), mRNA.	1p34-p33	2.631578947
Hs.137367	RPS26	ribosomal protein S26 (RPS26), mRNA.	12q13	2.631578947
Hs.224764	C20orf155	chromosome 20 open reading frame 155 (C20orf155), mRNA.	20p13-p12.3	2.638522427
Hs.524947	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae) (CDC20), mRNA.	1p34.1	2.638522427
Hs.191518	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9 (DHX9), transcript variant 2, mRNA.	1q25	2.638522427
Hs.206500	CTTN	Cortactin	11q13	2.645502646
Hs.435512	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha) (PPP3CA), mRNA.	4q21-q24	2.645502646
Hs.324830	DPH2L2	DPH2-like 2 (S. cerevisiae) (DPH2L2), transcript variant 2, mRNA.	1p34	2.645502646
Hs.343828	ZNF598	zinc finger protein 598 (ZNF598), mRNA.	16p13.3	2.652519894
Hs.525589	MEG3	Maternally expressed 3	14q32	2.652519894
Hs.420757	GPATC2	G patch domain containing 2 (GPATC2), mRNA.	1q41	2.652519894
Hs.512640	PRKCSH	protein kinase C substrate 80K-H (PRKCSH), transcript variant 2, mRNA.	19p13.2	2.659574468
Hs.437388	PIGT	phosphatidylinositol glycan, class T (PIGT), mRNA.	20q12-q13.12	2.659574468
Hs.546418	ZNF339	Zinc finger protein 339	20pter-q11.23	2.659574468
Hs.370937	TAPBP	TAP binding protein (tapasin) (TAPBP), transcript variant 1, mRNA.	6p21.3	2.659574468
Hs.433951	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase) (GPX4), mRNA.	19p13.3	2.666666667
Hs.165950	FGFR4	fibroblast growth factor receptor 4 (FGFR4), transcript variant 2, mRNA.	5q35.1-qter	2.666666667
Hs.446438	GPRC5C	G protein-coupled receptor, family C, group 5, member C (GPRC5C), transcript variant 1, mRNA.	17q25	2.666666667
Hs.513128	IFP38	IFP38 (IFP38), mRNA.	13p13	2.673796791
		Human DNA sequence from clone 38C16 on chromosome 6q22.33-24.1. Contains GAPD (glyceraldehyde 3-phos		2.673796791
Hs.533986	ZNF258	Zinc finger protein 258	1p34.2	2.673796791
Hs.518236	SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae) (SEC61A1), mRNA.	3q21.3	2.688172043
Hs.433759	BANF1	barrier to autointegration factor 1 (BANF1), mRNA.	11q13.1	2.688172043
Hs.481860	TARS	threonyl-tRNA synthetase (TARS), mRNA.	5p13.2	2.688172043
	HMG4L	High-mobility group (nonhistone chromosomal) protein 4-like		2.688172043
Hs.134470	MSI2	musashi homolog 2 (Drosophila) (MSI2), transcript variant 1, mRNA.	17q23.2	2.69541779
Hs.102696	MCTS1	malignant T cell amplified sequence 1 (MCTS1), mRNA.	Xq22-q24	2.69541779
Hs.167531	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta) (MCCC2), mRNA.	5q12-q13	2.69541779
Hs.115903	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase (MGAT5), mRNA.	2q21	2.69541779
Hs.356331	PPIA	peptidylprolyl isomerase A (cyclophilin A) (PPIA), transcript variant 1, mRNA.	7p13-p11.2	2.702702703
Hs.102798	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1 (PSMA1), transcript variant 2, mRNA.	11p15.1	2.7100271
Hs.432121	PRDX2	Peroxiredoxin 2	19p13.2	2.7100271
Hs.497967	HSPC129	hypothetical protein HSPC129 (HSPC129), mRNA.	15q15.3-q21.1	2.7100271
Hs.357901	SOX4	SRY (sex determining region Y)-box 4 (SOX4), mRNA.	6p22.3	2.7100271
Hs.231616	HSPC023	HSPC023 protein (HSPC023), mRNA.	19p13.13	2.717391304
Hs.3781	LRRN3	leucine rich repeat neuronal 3 (LRRN3), mRNA.	7q31.1	2.717391304
Hs.357901	SOX4	SRY (sex determining region Y)-box 4 (SOX4), mRNA.	6p22.3	2.717391304
Hs.302634	FZD8	frizzled homolog 8 (Drosophila) (FZD8), mRNA.	10p11.21	2.717391304
Hs.156527	AXIN2	axin 2 (conductin, axil) (AXIN2), mRNA.	17q23-q24	2.717391304
Hs.172772	TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA.	16p12.3	2.72479564
Hs.405410	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) (OGT), transcript variant 3, mRNA.	Xq13	2.72479564
Hs.97887	RCN1	reticulocalbin 1, EF-hand calcium binding domain (RCN1), mRNA.	11p13	2.72479564
Hs.472558	SDBCAG84	serologically defined breast cancer antigen 84 (SDBCAG84), transcript variant 2, mRNA.	20pter-q12	2.732240437
Hs.507074	KIAA0152	KIAA0152 (KIAA0152), mRNA.	12q24.31	2.732240437
Hs.431668	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous) (COX6B1), mRNA.	19q13.1	2.732240437
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.732240437
Hs.520898	CTSB	cathepsin B (CTSB), transcript variant 1, mRNA.	8p22	2.732240437
Hs.2795	LDHA	lactate dehydrogenase A (LDHA), mRNA.	11p15.4	2.732240437
Hs.190544	PXK	PX domain containing serine/threonine kinase (PXK), mRNA.	3p14.3	2.732240437
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.739726027
Hs.509791	ERH	enhancer of rudimentary homolog (Drosophila) (ERH), mRNA.	14q24.1	2.739726027
Hs.531664	LOC23117	KIAA0220-like protein	16p12.2	2.739726027
Hs.789	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA.	4q21	2.739726027
Hs.434937	PPIB	peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.	15q21-q22	2.747252747
Hs.292078	LARP	Likely ortholog of mouse la related protein	5q33.2	2.747252747
Hs.512461	GPR107	G protein-coupled receptor 107	9q34.11	2.747252747
Hs.529059	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa (EIF3S4), mRNA.	19p13.2	2.754820937
Hs.229641	PC4	activated RNA polymerase II transcription cofactor 4 (PC4), mRNA.	5p13.3	2.754820937
Hs.93534	STXBP5	syntaxin binding protein 5 (tomosyn) (STXBP5), mRNA.	6q24.3	2.754820937
