HGNC ID	Name	Fold change MK/EB	Ensembl ID
PFKP	6-phosphofructokinase, type C (EC 2.7.1.11) (Phosphofructokinase 1) (Phosphohexokinase) (Phosphofructo-1-kinase isozyme C) (PFK-C) (6-phosphofructokinase, platelet type). [Source:SWISSPROT;Acc:Q01813]	2.678331902	ENSG00000067057
SEPT4	Septin-4 (Peanut-like protein 2) (Brain protein H5) (Cell division control-related protein 2) (hCDCREL-2) (Bradeion beta) (CE5B3 beta) (Cerebral protein 7).	2.669613454	ENSG00000108387
C1orf75	No description	2.664373305	ENSG00000065600
NR1H3	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear orphan receptor LXR-alpha). [Source:SWISSPROT;Acc:Q13133]	2.650342813	ENSG00000025434
CGRRF1	cell growth regulator with ring finger domain 1. [Source:RefSeq;Acc:NM_006568]	2.650023285	ENSG00000100532
PDIA4	Protein disulfide isomerase A4 precursor (EC 5.3.4.1) (Protein ERp-72) (ERp72). [Source:SWISSPROT;Acc:P13667]	2.64988703	ENSG00000155660
SPATA20	sperm protein SSP411	2.640397983	ENSG00000006282
PPIB	Peptidyl-prolyl cis-trans isomerase B precursor (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin B) (S-cyclophilin) (SCYLP) (CYP-S1). [Source:SWISSPROT;Acc:P23284]	2.637072054	ENSG00000166794
TRPM4	transient receptor potential cation channel, subfamily M, member 4. [Source:RefSeq;Acc:NM_017636]	2.636963445	ENSG00000130529
TSPAN9	Tetraspan NET-5. [Source:SWISSPROT;Acc:O75954]	2.623908489	ENSG00000011105
TSNAX	Translin-associated protein X (Translin-associated factor X). [Source:SWISSPROT;Acc:Q99598]	2.623765198	ENSG00000116918
NP_079117.2	No description	2.617320982	ENSG00000135362
RRN3	RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA).	2.616428121	ENSG00000085721
PYCARD	Apoptosis-associated speck-like protein containing a CARD (hASC) (PYCARD) (Target of methylation-induced silencing 1) (Caspase recruitment domain protein 5). [Source:SWISSPROT;Acc:Q9ULZ3]	2.614474294	ENSG00000103490
CSRP1	Cysteine-rich protein 1 (CRP1) (CRP). [Source:SWISSPROT;Acc:P21291]	2.613920234	ENSG00000159176
CAP1	Adenylyl cyclase-associated protein 1 (CAP 1). [Source:SWISSPROT;Acc:Q01518]	2.597898563	ENSG00000131236
IL21R	Interleukin 21 receptor precursor (IL-21R) (Novel interleukin receptor). [Source:SWISSPROT;Acc:Q9HBE5]	2.593662311	ENSG00000103522
RAB8A	Ras-related protein Rab-8 (Rab-8A) (Oncogene c-mel). [Source:SWISSPROT;Acc:P24407]	2.589117106	ENSG00000167461
PDE6G	Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase gamma-subunit (EC 3.1.4.17) (GMP-PDE gamma). [Source:SWISSPROT;Acc:P18545]	2.583029633	ENSG00000185527
C7orf25	C7orf25	2.57407525	ENSG00000136197
ICAM2	Intercellular adhesion molecule-2 precursor (ICAM-2) (CD102 antigen). [Source:SWISSPROT;Acc:P13598]	2.560644487	ENSG00000108622
CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta 3 subunit; calcium channel alpha2-delta3 subunit. [Source:RefSeq;Acc:NM_018398]	2.560348507	ENSG00000157445
C15orf39	C15orf39	2.547550415	ENSG00000167173
C9orf125	C9orf125	2.547537604	ENSG00000165152
CASP7	Caspase-7 precursor (EC 3.4.22.-) (ICE-like apoptotic protease 3) (ICE-LAP3) (Apoptotic protease Mch-3) (CMH-1). [Source:SWISSPROT;Acc:P55210]	2.544595205	ENSG00000165806
MSRB2	Methionine-R-sulfoxide reductase B2 (EC 1.8.4.-). [Source:Uniprot/SWISSPROT;Acc:Q9Y3D2]	2.537533364	ENSG00000148450
SLC20A2	solute carrier family 20, member 2; gibbon ape leukemia virus receptor 2; murine leukemia virus, amphotropic, receptor for. [Source:RefSeq;Acc:NM_006749]	2.537021628	ENSG00000168575
TCEAL4	Transcription elongation factor A protein-like 4 (TCEA-like protein 4) (Transcription elongation factor S-II protein-like 4). [Source:Uniprot/SWISSPROT;Acc:Q96EI5]	2.534246728	ENSG00000133142
ARF3	ADP-ribosylation factor 3. [Source:SWISSPROT;Acc:P16587]	2.526667147	ENSG00000134287
PRDM4	PR-domain zinc finger protein 4. [Source:SWISSPROT;Acc:Q9UKN5]	2.521941565	ENSG00000110851
NP_060143.3	NP_060143.3	2.513857463	ENSG00000116668
AP1S2	Adapter-related protein complex 1 sigma 1B subunit (Sigma-adaptin 1B) (Adaptor protein complex AP-1 sigma-1B subunit) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Clathrin assembly protein complex 1 sigma- 1B small chain) (Sigma 1B subunit of AP-1 clathrin) (DC22). [Source:SWISSPROT;Acc:P56377]	2.512580089	ENSG00000182287
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily B member 1 (Integrase interactor 1 protein) (hSNF5) (BAF47). [Source:SWISSPROT;Acc:Q12824]	2.511947614	ENSG00000099956
MLRM	Myosin regulatory light chain 2, nonsarcomeric (Myosin RLC). [Source:SWISSPROT;Acc:P19105]	2.511932513	ENSG00000101608
DAD1	Defender against cell death 1 (DAD-1). [Source:SWISSPROT;Acc:P46966]	2.510386131	ENSG00000129562
ING2	inhibitor of growth family, member 1-like; inhibitor of growth 1-like. [Source:RefSeq;Acc:NM_001564]	2.507483329	ENSG00000168556
SNAPC3	snRNA activating protein complex 50 kDa subunit (SNAPc 50 kDa subunit) (Proximal sequence element-binding transcription factor beta subunit) (PSE-binding factor beta subunit) (PTF beta subunit). [Source:SWISSPROT;Acc:Q92966]	2.506543446	ENSG00000164975
ZNF175	Zinc finger protein 175 (Zinc finger protein OTK18). [Source:SWISSPROT;Acc:Q9Y473]	2.498102202	ENSG00000105497
ARHGAP18	Rho GTPase activating protein 18; MacGAP protein. [Source:RefSeq;Acc:NM_033515]	2.489235905	ENSG00000146376
Q2M238_HUMAN	similar to RNA polymerase I transcription factor RRN3. [Source:RefSeq;Acc:NM_145237]	2.480264024	ENSG00000179038
ADAM10	ADAM 10 precursor (EC 3.4.24.81) (A disintegrin and metalloproteinase domain 10) (Mammalian disintegrin-metalloprotease) (Kuzbanian protein homolog). [Source:SWISSPROT;Acc:O14672]	2.478552836	ENSG00000137845
ACTR3	Actin-like protein 3 (Actin-related protein 3) (Actin-2). [Source:SWISSPROT;Acc:P32391]	2.477581169	ENSG00000115091
NP_001026883.1	No description	2.468445579	GENSCAN00000032170
AKR1B1	Aldose reductase (EC 1.1.1.21) (AR) (Aldehyde reductase). [Source:SWISSPROT;Acc:P15121]	2.466336842	ENSG00000085662
TNRC5	trinucleotide repeat containing 5; CAG repeat containing; expanded repeat domain, CAG/CTG 5. [Source:RefSeq;Acc:NM_006586]	2.46381641	ENSG00000137161
NPR3	Atrial natriuretic peptide clearance receptor precursor (ANP-C) (ANPRC) (NPR-C) (Atrial natriuretic peptide C-type receptor). [Source:SWISSPROT;Acc:P17342]	2.461616609	ENSG00000113389
RAMP1	Receptor activity-modifying protein 1 precursor (CRLR activity- modifying-protein 1) (Calcitonin-receptor-like receptor-activity- modifying-protein 1). [Source:SWISSPROT;Acc:O60894]	2.450972851	ENSG00000132329
PLXNB2	Plexin-B2 precursor (MM1). [Source:Uniprot/SWISSPROT;Acc:O15031]	2.449345419	ENSG00000196576
BTBD2	BTB/POZ domain containing protein 2. [Source:SWISSPROT;Acc:Q9BX70]	2.428872536	ENSG00000133243
KRT15	Keratin, type I cytoskeletal 15 (Cytokeratin 15) (K15) (CK 15). [Source:SWISSPROT;Acc:P19012]	2.426918605	ENSG00000171346
MAFG	Transcription factor MafG (V-maf musculoaponeurotic fibrosarcoma oncogene homolog G) (hMAF). [Source:SWISSPROT;Acc:O15525]	2.420178998	ENSG00000197063
TCEAL8	Transcription elongation factor A protein-like 8 (TCEA-like protein 8) (Transcription elongation factor S-II protein-like 8). [Source:Uniprot/SWISSPROT;Acc:Q8IYN2]	2.416961983	ENSG00000180964
C14orf173	C14orf173	2.409849672	ENSG00000130241
TCEAL2	my048 protein. [Source:RefSeq;Acc:NM_080390]	2.406220406	ENSG00000184905
COMT	Catechol O-methyltransferase, membrane-bound form (EC 2.1.1.6) (MB-COMT) [Contains: Catechol O-methyltransferase, soluble form (S-COMT)]. [Source:SWISSPROT;Acc:P21964]	2.402807136	ENSG00000093010
SNRPN	Small nuclear ribonucleoprotein associated protein N (snRNP-N) (Sm protein N) (Sm-N) (SmN) (Sm-D) (Tissue-specific splicing protein). [Source:SWISSPROT;Acc:P14648]	2.402522341	ENSG00000128739
SDF2L1	Stromal cell-derived factor 2-like protein 1 precursor (SDF2 like protein 1) (PWP1-interacting protein 8). [Source:SWISSPROT;Acc:Q9HCN8]	2.392340881	ENSG00000128228
DLGAP4	Disks large-associated protein 4 (DAP-4) (SAP90/PSD-95-associated protein 4) (SAPAP4) (PSD-95/SAP90 binding protein 4). [Source:SWISSPROT;Acc:Q9Y2H0]	2.387638605	ENSG00000080845
NT5M	5(3)-deoxyribonucleotidase, mitochondrial precursor (EC 3.1.3.-) (5,3-nucleotidase, mitochondrial) (Deoxy-5-nucleotidase 2) (dNT-2). [Source:SWISSPROT;Acc:Q9NPB1]	2.384929874	ENSG00000205309
WBP5	pp21 homolog. [Source:RefSeq;Acc:NM_016303]	2.38477545	ENSG00000185222
HIRIP5	HIRA-interacting protein 5 (CGI-33). [Source:SWISSPROT;Acc:Q9UMS0]	2.38279355	ENSG00000169599
RAB14	Ras-related protein Rab-14. [Source:SWISSPROT;Acc:P35287]	2.381476073	ENSG00000119396
WRNIP1	Werner helicase interacting protein isoform 1; putative helicase RUVBL. [Source:RefSeq;Acc:NM_020135]	2.379935275	ENSG00000124535
APOB	Apolipoprotein B-100 precursor (Apo B-100) [Contains: Apolipoprotein B-48 (Apo B-48)]. [Source:SWISSPROT;Acc:P04114]	2.378953027	ENSG00000084674
C11orf59	C11orf59	2.372619356	ENSG00000149357
WDFY2	WD repeat- and FYVE domain-containing protein 2; WD40 and FYVE domain containing 2. [Source:RefSeq;Acc:NM_052950]	2.362477776	ENSG00000139668
DAP	Death-associated protein. [Source:SPTREMBL;Acc:Q9BUC9]	2.355489173	ENSG00000112977
ENSG00000099974	No description	2.352582452	ENSG00000099974
AMPD2	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L). [Source:SWISSPROT;Acc:Q01433]	2.348707883	ENSG00000116337
FUT8	Alpha-(1,6)-fucosyltransferase (EC 2.4.1.68) (Glycoprotein 6-alpha-L- fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (alpha1-6FucT) (Fucosyltransferase 8). [Source:SWISSPROT;Acc:Q9BYC5]	2.345360107	ENSG00000033170
CDK2AP2	DOC-1 related protein (DOC-1R). [Source:SWISSPROT;Acc:O75956]	2.34520604	ENSG00000167797
BACE2	Beta secretase 2 precursor (EC 3.4.23.45) (Beta-site APP-cleaving enzyme 2) (Aspartyl protease 1) (Asp 1) (ASP1) (Membrane-associated aspartic protease 1) (Memapsin-1) (Down region aspartic protease). [Source:SWISSPROT;Acc:Q9Y5Z0]	2.339561597	ENSG00000182240
INSIG2	insulin induced protein 2; INSIG2 membrane protein. [Source:RefSeq;Acc:NM_016133]	2.334554849	ENSG00000125629
NIT2	Nit protein 2. [Source:RefSeq;Acc:NM_020202]	2.331308394	ENSG00000114021
ELF4	E74-like factor 4 (ets domain transcription factor). [Source:RefSeq;Acc:NM_001421]	2.330666846	ENSG00000102034
HIST1H2BJ	Histone H2B.r (H2B/r) (H2B.1). [Source:SWISSPROT;Acc:P06899]	2.327813264	ENSG00000124635
NT5C3	5-nucleotidase, cytosolic III; uridine 5 monophosphate hydrolase 1; pyrimidine 5-nucleotidase. [Source:RefSeq;Acc:NM_016489]	2.326608385	ENSG00000122643
C6orf166	C6orf166	2.322204171	ENSG00000135334
IKBKE	Inhibitor of nuclear factor kappa-B kinase epsilon subunit	2.316800067	ENSG00000143466
NT5C	5(3)-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5,3-pyrimidine nucleotidase) (Deoxy-5-nucleotidase 1) (dNT-1). [Source:SWISSPROT;Acc:Q8TCD5]	2.313101599	ENSG00000125458
VANGL1	Vang-like protein 1 (Van Gogh-like protein 1) (Strabismus 2) (Loop-tail protein 2 homolog) (LPP2). [Source:SWISSPROT;Acc:Q8TAA9]	2.306940277	ENSG00000173218
NRP1	Neuropilin-1 precursor (Vascular endothelial cell growth factor 165 receptor). [Source:SWISSPROT;Acc:O14786]	2.305955045	ENSG00000099250
CNN2	Calponin H2, smooth muscle (Neutral calponin). [Source:SWISSPROT;Acc:Q99439]	2.298027766	ENSG00000064666
EIF2C1	Eukaryotic translation initiation factor 2C 1 (eIF2C 1) (eIF-2C 1) (Putative RNA-binding protein Q99). [Source:SWISSPROT;Acc:Q9UL18]	2.297300898	ENSG00000092847
SPR	Sepiapterin reductase (EC 1.1.1.153) (SPR). [Source:SWISSPROT;Acc:P35270]	2.293161787	ENSG00000116096
SYT11	Synaptotagmin XI (SytXI). [Source:SWISSPROT;Acc:Q9BT88]	2.287622075	ENSG00000132718
CAMK2G	Calcium/calmodulin-dependent protein kinase type II gamma chain (EC 2.7.1.123) (CaM-kinase II gamma chain) (CaM kinase II gamma subunit) (CaMK-II gamma subunit) (Fragment). [Source:SWISSPROT;Acc:Q13555]	2.281631776	ENSG00000148660
RHO	Rhodopsin (Opsin 2). [Source:SWISSPROT;Acc:P08100]	2.278268519	ENSG00000163914
MTSS1	Metastasis suppressor protein 1 (Missing in metastasis protein) (Metastasis supressor YGL-1). [Source:SWISSPROT;Acc:O43312]	2.275440766	ENSG00000170873
GIT1	ARF GTPase-activating protein GIT1 (G protein-coupled receptor kinase- interactor 1). [Source:SWISSPROT;Acc:Q9Y2X7]	2.274896906	ENSG00000108262
C14orf102	No description	2.274140129	OTTHUMG00000029584
APH1B	Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin- stabilization factor-like)	2.274140129	ENSG00000138613
PTK9L	Toll-like receptor 9 precursor. [Source:SWISSPROT;Acc:Q9NR96]	2.273029183	ENSG00000173366
GRSF1	G-rich sequence factor 1 (GRSF-1). [Source:Uniprot/SWISSPROT;Acc:Q12849]	2.265142465	ENSG00000132463
TRIM8	RING finger protein 27 (Glioblastoma-expressed ring finger protein) (Tripartite motif-containing protein 8). [Source:SWISSPROT;Acc:Q9BZR9]	2.258719414	ENSG00000171206
GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q).	2.255955502	ENSG00000182126
QSCN6	Quiescin Q6 isoform b [Source:RefSeq_peptide;Acc:NP_001004128]	2.255196543	ENSG00000116260
MOBKL2A	MOB-LAK. [Source:RefSeq;Acc:NM_130807]	2.254918292	ENSG00000172081
PLCB2	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta 2 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (PLC-beta-2) (Phospholipase C-beta-2). [Source:SWISSPROT;Acc:Q00722]	2.254421016	ENSG00000137841
GIPC1	RGS19-interacting protein 1 (GAIP C-terminus interacting protein GIPC) (RGS-GAIP interacting protein) (Tax interaction protein 2) (TIP-2). [Source:SWISSPROT;Acc:O14908]	2.250550457	ENSG00000123159
NID1	Nidogen precursor (Entactin). [Source:SWISSPROT;Acc:P14543]	2.249885784	ENSG00000116962
SPINT2	Kunitz-type protease inhibitor 2 precursor (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin). [Source:SWISSPROT;Acc:O43291]	2.247053397	ENSG00000167642
GIT2	ARF GTPase-activating protein GIT2 (G protein-coupled receptor kinase- interactor 2). [Source:SWISSPROT;Acc:Q14161]	2.245215486	ENSG00000139436
DNM1L	dynamin 1-like protein isoform 3; dynamin-like protein. [Source:RefSeq;Acc:NM_005690]	2.240108621	ENSG00000087470
ROBO2	Roundabout homolog 2 precursor	2.239701299	ENSG00000185008
G3B2	Ras-GTPase-activating protein binding protein 2 (GAP SH3-domain binding protein 2) (G3BP-2). [Source:SWISSPROT;Acc:Q9UN86]	2.234685665	ENSG00000138757
TRAPPC6A	Trafficking protein particle complex subunit 6A.	2.227954855	ENSG00000007255
BTN3A3	butyrophilin, subfamily 3, member A3 isoform a; butyrophilin 3. [Source:RefSeq;Acc:NM_006994]	2.227801786	ENSG00000111801
C9orf46	C9orf46	2.222993461	ENSG00000107020
TREML2	Triggering receptor expressed on myeloid cells-like 2	2.222811892	ENSG00000112195
GALK1	Galactokinase (EC 2.7.1.6) (Galactose kinase). [Source:SWISSPROT;Acc:P51570]	2.207363868	ENSG00000108479
ST8SIA2	Alpha-2,8-sialyltransferase 8B (EC 2.4.99.-) (ST8Sia II) (Sialyltransferase X) (STX). [Source:SWISSPROT;Acc:Q92186]	2.204148907	ENSG00000140557
TMEM63A	Transmembrane protein 63A [Source:RefSeq_peptide;Acc:NP_055513]	2.203794129	ENSG00000196187
SLC39A4	solute carrier family 39 (zinc transporter), member 4; acrodermatitis enteropathica, zinc-deficiency type. [Source:RefSeq;Acc:NM_017767]	2.203418115	ENSG00000147804
EMD	Emerin. [Source:SWISSPROT;Acc:P50402]	2.197522644	ENSG00000102119
BID	BH3 interacting domain death agonist (BID). [Source:SWISSPROT;Acc:P55957]	2.196583461	ENSG00000015475
ARL6IP5	cytoskeleton related vitamin A responsive protein; glutamate transporter EEAC1-associated protein; dermal papilla derived protein 11; putative MAPK activating protein PM27. [Source:RefSeq;Acc:NM_006407]	2.193012923	ENSG00000144746
ROBO3	Roundabout homolog 3 precursor (Roundabout-like protein 3)	2.192994272	ENSG00000154134
HIST1H4D	Histone H4. [Source:SWISSPROT;Acc:P02304]	2.192616002	ENSG00000198339
STARD3NL	MLN64 N-terminal domain homolog (STARD3 N-terminal like protein). [Source:SWISSPROT;Acc:O95772]	2.189468607	ENSG00000010270
SERPINB6	Placental thrombin inhibitor (Cytoplasmic antiproteinase) (CAP) (Protease inhibitor 6) (PI-6). [Source:SWISSPROT;Acc:P35237]	2.187746088	ENSG00000124570
MSN	Moesin (Membrane-organizing extension spike protein). [Source:SWISSPROT;Acc:P26038]	2.187559107	ENSG00000147065
PTGER3	Prostaglandin E2 receptor, EP3 subtype (Prostanoid EP3 receptor) (PGE receptor, EP3 subtype). [Source:SWISSPROT;Acc:P43115]	2.186814747	ENSG00000050628
TSC22D3	Glucocorticoid-induced leucine zipper protein (Delta sleep-inducing peptide immunoreactor) (DSIP-immunoreactive peptide) (DIP protein) (hDIP) (TSC-22-like protein) (TSC-22R). [Source:SWISSPROT;Acc:Q99576]	2.185142996	ENSG00000157514
SEPT11	Septin-11	2.17638991	ENSG00000138758
GAS2L1	GAS-2 related protein on chromosome 22 (GAR22 protein). [Source:SWISSPROT;Acc:Q99501]	2.175283377	ENSG00000185340
NM_017967.2	No description	2.173509563	ENSG00000006015
C12orf35	C12orf35	2.160436709	ENSG00000174718
VGLL4	Transcription cofactor vestigial-like protein 4 (Vgl-4). [Source:Uniprot/SWISSPROT;Acc:Q14135]	2.159060679	ENSG00000144560
KCNRG	Ret finger protein 2 (Leukemia associated protein 5) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Putative tumor suppressor RFP2) (Tripartite motif protein 13). [Source:SWISSPROT;Acc:O60858]	2.157954986	ENSG00000198553
ROCK2	Rho-associated, coiled-coil containing protein kinase 2. [Source:RefSeq;Acc:NM_004850]	2.15757181	ENSG00000134318
CMAS	cytidine 5-monophosphate N-acetylneuraminic acid synthetase; CMP-N-acetylneuraminic acid synthase; CMP-Neu5Ac synthetase. [Source:RefSeq;Acc:NM_018686]	2.153548792	ENSG00000111726
ANXA11	Annexin A11 (Annexin XI) (Calcyclin-associated annexin 50) (CAP-50) (56 kDa autoantigen). [Source:SWISSPROT;Acc:P50995]	2.153487369	ENSG00000122359
CYLN2	cytoplasmic linker 2 isoform 1; Williams-Beuren syndrome chromosome region 4. [Source:RefSeq;Acc:NM_003388]	2.151108806	ENSG00000106665
SMYD3	SET and MYND domain containing protein 3 (Zinc finger MYND domain containing protein 1). [Source:SWISSPROT;Acc:Q9H7B4]	2.150285122	ENSG00000185420
PMM2	Phosphomannomutase 2 (EC 5.4.2.8) (PMM 2). [Source:SWISSPROT;Acc:O15305]	2.149709101	ENSG00000140650
C20orf72	Uncharacterized protein C20orf72	2.14457788	ENSG00000125871
OGG1	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (AP lyase)]. [Source:SWISSPROT;Acc:O15527]	2.143440341	ENSG00000114026
CDKL1	Serine/threonine-protein kinase KKIALRE (EC 2.7.1.-) (Cyclin-dependent kinase-like 1). [Source:SWISSPROT;Acc:Q00532]	2.140274495	ENSG00000100490
SYPL1	Pantophysin (Synaptophysin-like protein). [Source:SWISSPROT;Acc:Q16563]	2.136967505	ENSG00000008282
RNF130	ring finger protein 130; goliath protein; g1-related zinc finger protein. [Source:RefSeq;Acc:NM_018434]	2.120990343	ENSG00000113269
CD4	T-cell surface glycoprotein CD4 precursor (T-cell surface antigen T4/Leu-3). [Source:SWISSPROT;Acc:P01730]	2.116939051	ENSG00000010610
SSR1	Translocon-associated protein, alpha subunit precursor (TRAP-alpha) (Signal sequence receptor alpha subunit) (SSR-alpha). [Source:SWISSPROT;Acc:P43307]	2.115790414	ENSG00000124783
HOMER2	HOMER2 and Name: homer homolog 2 (Drosophila) [Homo sapiens], Other Aliases: ACPD, CPD, HOMER-2, Vesl-2	2.109238921	ENSG00000103942
MAGED1	Melanoma-associated antigen D1 (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog) (PRO2292) (PP2250). [Source:SWISSPROT;Acc:Q9Y5V3]	2.103310732	ENSG00000179222
FYN	Proto-oncogene tyrosine-protein kinase FYN (EC 2.7.1.112) (P59-FYN) (SYN) (SLK). [Source:SWISSPROT;Acc:P06241]	2.100217976	ENSG00000010810
VAMP3	Vesicle-associated membrane protein 3 (VAMP-3) (Synaptobrevin 3) (Cellubrevin) (CEB). [Source:SWISSPROT;Acc:Q15836]	2.097124059	ENSG00000049245
ASL	Argininosuccinate lyase (EC 4.3.2.1) (Arginosuccinase) (ASAL). [Source:SWISSPROT;Acc:P04424]	2.096089132	ENSG00000169910
LSS	Lanosterol synthase (EC 5.4.99.7) (Oxidosqualene--lanosterol cyclase) (2,3-epoxysqualene--lanosterol cyclase) (OSC). [Source:SWISSPROT;Acc:P48449]	2.093857649	ENSG00000160285
KIAA1166	Hepatocellular carcinoma-associated antigen 127. [Source:SWISSPROT;Acc:Q9NQZ6]	2.093679739	ENSG00000126970
TM2D2	BBP-like protein 1 isoform b. [Source:RefSeq;Acc:NM_031940]	2.089232164	ENSG00000169490
GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial precursor (EC 1.1.99.5) (GPD-M) (GPDH-M). [Source:SWISSPROT;Acc:P43304]	2.087551039	ENSG00000115159
DENND1C	DENND1C and Name: DENN/MADD domain containing 1C [Homo sapiens]	2.085381166	ENSG00000205744
CCDC106	protein predicted by clone 23882. [Source:RefSeq;Acc:NM_013301]	2.083189855	ENSG00000173581
RARRES3	Retinoic acid receptor responder protein 3 (Tazarotene-induced gene 3 protein) (RAR-responsive protein TIG3) (Retinoid inducible gene 1 protein). [Source:SWISSPROT;Acc:Q9UL19]	2.075545018	ENSG00000133321
RARG	Retinoic acid receptor gamma-1 (RAR-gamma-1). [Source:SWISSPROT;Acc:P13631]	2.075430004	ENSG00000172819
ABI1	abl-interactor 1; spectrin SH3 domain binding protein 1; eps8 binding protein; interactor protein AblBP4; Abl-interactor protein 1 long; nap1 binding protein. [Source:RefSeq;Acc:NM_005470]	2.074884246	ENSG00000136754
HINT2	PKCI-1-related HIT protein. [Source:RefSeq;Acc:NM_032593]	2.074275379	ENSG00000137133
RGS14	Regulator of G-protein signaling 14 (RGS14). [Source:SWISSPROT;Acc:O43566]	2.070799951	ENSG00000169220
C10orf33	Probable oxidoreductase C10orf33	2.068436698	ENSG00000119943
CD99L2	CD99 antigen-like 2 isoform E4; MIC2 like 1. [Source:RefSeq;Acc:NM_134445]	2.067233699	ENSG00000102181
TRAM1	Translocation associated membrane protein 1. [Source:SWISSPROT;Acc:Q15629]	2.061687213	ENSG00000067167
ZNF564	Zinc finger protein 564. [Source:Uniprot/SWISSPROT;Acc:Q8TBZ8]	2.055206575	ENSG00000196484
ELMO2	Engulfment and cell motility protein 2 (CED-12 homolog A) (hCED-12A). [Source:SWISSPROT;Acc:Q96JJ3]	2.04267661	ENSG00000062598
NR1I3	Orphan nuclear receptor NR1I3 (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67). [Source:SWISSPROT;Acc:Q14994]	2.041431633	ENSG00000143257
GPR56	G protein-coupled receptor 56 isoform a; EGF-TM7-like. [Source:RefSeq;Acc:NM_005682]	2.039735054	ENSG00000205336
NP_001032409.1	p53 inducible protein. [Source:RefSeq;Acc:NM_014376]	2.038897613	ENSG00000055163
NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1 (EC 3.6.1.52) (DIPP-1) (Diadenosine 5,5-P1,P6-hexaphosphate hydrolase 1) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 3) (Nudix motif 3	2.03743244	ENSG00000112664
NBEAL2	NBEAL2 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q6P994]	2.035479117	ENSG00000160796
DHCR24	24-dehydrocholesterol reductase precursor (EC 1.3.1.-) (3-beta- hydroxysterol delta-24-reductase) (Seladin-1) (Diminuto/dwarf1 homolog). [Source:SWISSPROT;Acc:Q15392]	2.033088735	ENSG00000116133
KCNIP2	Kv channel interacting protein 2 isoform 1; A-type potassium channel modulatory protein 2; cardiac voltage gated potassium channel modulatory subunit. [Source:RefSeq;Acc:NM_014591]	2.03170231	ENSG00000120049
GGTLA4	Gamma-glutamyltransferase-like protein 6 (Gamma-glutamyltransferase- like activity 4). [Source:SWISSPROT;Acc:Q9BX51]	2.027362497	ENSG00000149435
CREB3L4	cAMP responsive element binding protein 3-like 4; androgen-induced basic leucine zipper. [Source:RefSeq;Acc:NM_130898]	2.027201424	ENSG00000143578
POLM	DNA polymerase mu (EC 2.7.7.7) (Pol Mu). [Source:SWISSPROT;Acc:Q9NP87]	2.02665861	ENSG00000122678
TAPBPL	TAP binding protein related. [Source:RefSeq;Acc:NM_018009]	2.024302334	ENSG00000139192
PROS1	Vitamin K-dependent protein S precursor. [Source:SWISSPROT;Acc:P07225]	2.023811724	ENSG00000184500
NP_776161.2	laeverin. [Source:RefSeq;Acc:NM_173800]	2.021857487	ENSG00000172901
ARNTL	aryl hydrocarbon receptor nuclear translocator-like 2; transcription factor BMAL2. [Source:RefSeq;Acc:NM_020183]	2.018847821	ENSG00000133794
APBA2	Amyloid beta A4 precursor protein-binding family A member 2 (Neuron- specific X11L protein) (Neuronal Munc18-1-interacting protein 2) (Mint-2) (Adapter protein X11beta). [Source:SWISSPROT;Acc:Q99767]	2.013413298	ENSG00000034053
PEPD	Xaa-Pro dipeptidase (EC 3.4.13.9) (X-Pro dipeptidase) (Proline dipeptidase) (Prolidase) (Imidodipeptidase). [Source:SWISSPROT;Acc:P12955]	2.010318787	ENSG00000124299
