UniGene #	Gene	Description	Fold Change (log 2)
Hs.259831	ACTL6B	Actin-like 6B	-1.1307
Hs.501574	ADAM8	A disintegrin and metalloproteinase domain 8	-1.1499
Hs.16743	ADMR	adrenomedullin receptor=G-protein coupled receptor	-1.0111
Hs.2159	AGC1	Aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)	-1.2189
Hs.388004	AHCY	S-adenosylhomocysteine hydrolase	-1.3884
Hs.485365	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	-1.8688
Hs.204041	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	-1.589
Hs.204041	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	-1.2585
Hs.522666	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	-1.3559
Hs.371723	ALDH5A1	Aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	-1.1312
Hs.513490	ALDOA	Aldolase A, fructose-bisphosphate	-1.2541
Hs.155247	ALDOC	Aldolase C, fructose-bisphosphate	-1.4247
Hs.478481	ALG3	Asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	-1.2553
Hs.19121	AP2A2	Adaptor-related protein complex 2, alpha 2 subunit	-1.2527
Hs.199593	AP3B2	Adaptor-related protein complex 3, beta 2 subunit	-1.1324
Hs.546334	AP3S2	Adaptor-related protein complex 3, sigma 2 subunit	-1.0209
Hs.465607	APBA3	Amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)	-1.2681
Hs.534468	APOM	Apolipoprotein M	-1.1696
Hs.28914	APRT	Adenine phosphoribosyltransferase	-1.0265
Hs.183153	ARF4L	ADP-ribosylation factor 4-like	-1.1824
Hs.389277	ARFRP1	ADP-ribosylation factor related protein 1	-1.1088
Hs.159161	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	-1.5593
Hs.436395	ARHN	Rho family GTPase 2	-1.8379
Hs.323342	ARPC4	Actin related protein 2/3 complex, subunit 4, 20kDa	-1.406
Hs.326730	ARVCF	Armadillo repeat gene deletes in velocardiofacial syndrome	-1.1026
Hs.406510	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	-1.2262
Hs.521056	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	-1.1207
Hs.7476	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c	-1.3074
Hs.106876	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 1	-1.2428
Hs.76253	ATXN2	Ataxin 2	-1.8065
Hs.83341	AXL	axl=ufo=receptor tyrosine kinase	-1.052
Hs.433759	BANF1	Barrier to autointegration factor 1	-1.5946
Hs.41691	BATF	SFA-2=B-ATF=bZIP transcriptional factor	-1.0101
Hs.435710	BFSP2	Beaded filament structural protein 2, phakinin	-1.0632
Hs.512679	BGLAP	Bone gamma-carboxyglutamate (gla) protein (osteocalcin)	-1.3389
Hs.193163	BIN1	bin1=myc interacting protein=amphiphysin II=localized to actin cytomatrix=putative tumor suppressor that blocks myc transformation	-1.162
Hs.1578	BIRC5	Survivin=apoptosis inhibitor=effector cell protease EPR-1=interacts with microtubules in G2/M phase and prevents a default apoptotic signal=highest expression in G2/M	-1.2545
Hs.75243	BRD2	Bromodomain containing 2	-1.1739
Hs.7367	BTBD6	BTB (POZ) domain containing 6	-1.3471
Hs.106730	C22orf3	Chromosome 22 open reading frame 3	-1.3017
Hs.485075	C6orf18	Coiled-coil alpha-helical rod protein 1	-1.2534
Hs.7753	CALU	Calumenin	-1.3049
Hs.434875	CAMK1	cam kinase I	-1.0101
Hs.351887	CAMK2B	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	-1.1883
Hs.502842	CAPN1	Calpain 1, (mu/I) large subunit	-1.6214
Hs.515371	CAPNS1	Calpain, small subunit 1	-1.069
Hs.511952	CBX6	Chromobox homolog 6	-1.4773
Hs.495250	CCBL1	Cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)	-1.0891
Hs.310511	CCL25	TECK chemokine	-1.1748
Hs.522274	CCRK	Cell cycle related kinase	-1.1573
Hs.370921	CD151	CD151=platelet-endothelial tetraspan antigen 3	-1.102
Hs.551524	CD2BP2	CD2 antigen (cytoplasmic tail) binding protein 2	-1.1839
Hs.514997	CDC34	Cell division cycle 34	-1.1715
Hs.474797	CDC42EP1	CDC42 effector protein (Rho GTPase binding) 1	-1.0234
Hs.194657	CDH1	E-cadherin	-1.2782
Hs.150423	CDK9	Cyclin-dependent kinase 9 (CDC2-related kinase)	-1.2432
Hs.443976	CEP2	Centrosomal protein 2	-1.2119
Hs.79018	CHAF1A	Chromatin assembly factor 1, subunit A (p150)	-1.3106
Hs.126688	CHDH	Choline dehydrogenase	-1.1955
Hs.516370	CHST10	Carbohydrate sulfotransferase 10	-1.0393
Hs.129634	CINP	Cyclin-dependent kinase 2-interacting protein	-1.291
Hs.470675	CIR	CBF1 interacting corepressor	-1.0694
Hs.212395	CIZ1	CDKN1A interacting zinc finger protein 1	-1.3396
Hs.38738	CLDN15	Claudin 15	-1.004
Hs.296949	CLDN9	Claudin 9	-1.4184
Hs.73986	CLK2	cote1=ORF in glucocerebrosidase locus	-1.0908
Hs.515092	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)	-1.0502
Hs.444441	CLPTM1	Cleft lip and palate associated transmembrane protein 1	-1.0057
Hs.9688	CMRF-35H	leukocyte membrane antigen	-1.7621
Hs.147062	CNGB1	Cyclic nucleotide gated channel beta 1	-1.1195
Hs.37482	COPZ2	Coatomer protein complex, subunit zeta 2	-1.1713
Hs.493202	CPSF1	Cleavage and polyadenylation specific factor 1, 160kDa	-1.1128
Hs.417628	CRHR1	corticotrophin releasing factor receptor	-1.1078
Hs.513044	CSPG4	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	-1.1333
Hs.550471	CTBS	Chitobiase, di-N-acetyl-	-1.1503
Hs.289271	CYC1	Cytochrome c-1	-2.1156
Hs.233308	DAPK3	Death-associated protein kinase 3	-1.4132
Hs.516111	DCTN1	Dynactin 1 (p150, glued homolog, Drosophila)	-1.5812
Hs.517357	DGCR2	DiGeorge syndrome critical region gene 2	-1.0095
Hs.410965	DGCR6L	DiGeorge syndrome critical region gene 6-like	-1.049
Hs.307084	DKFZP434A13 19	Chromosome 16 open reading frame 48	-1.0809
Hs.463036	DNB5	Deleted in neuroblastoma 5	-1.1335
Hs.522413	DNM1	Dynamin 1	-1.4048
Hs.153299	DOM3Z	Dom-3 homolog Z (C. elegans)	-1.1876
Hs.108973	DPM2	Dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	-1.3464
Hs.80552	DPT	Dermatopontin	-1.2393
Hs.78582	DRG2	Developmentally regulated GTP binding protein 2	-1.2768
Hs.372152	DTX1	Deltex homolog 1 (Drosophila)	-1.3006
Hs.515070	EEF2	Eukaryotic translation elongation factor 2	-1.1631
Hs.325650	EHD2	EH-domain containing 2	-1.5252
Hs.433750	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	-1.1633
Hs.534314	EIF5A	Eukaryotic translation initiation factor 5A	-1.4041
Hs.24178	EML2	Echinoderm microtubule associated protein like 2	-1.0035
Hs.517145	ENO1	Enolase 1, (alpha)	-1.2653
Hs.517145	ENO1	Enolase 1, (alpha)	-1.438
Hs.511915	ENO2	Enolase 2 (gamma, neuronal)	-1.0512
Hs.224171	ENO3	Enolase 3 (beta, muscle)	-1.1993
Hs.441145	ENTPD3	Ectonucleoside triphosphate diphosphohydrolase 3	-1.0887
Hs.446352	ERBB2	HER2=neu=c-erb-B-2=tyrosine kinase-type receptor	-1.1568
Hs.435981	ERCC1	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	-1.0147
Hs.491354	EXTL3	Exostoses (multiple)-like 3	-1.0008
Hs.137574	F2RL3	Coagulation factor II (thrombin) receptor-like 3	-1.169
Hs.73875	FAH	Fumarylacetoacetate hydrolase (fumarylacetoacetase)	-1.343
Hs.289108	FAM3A	Family with sequence similarity 3, member A	-1.0155
Hs.185577	FGF12	Fibroblast growth factor 12	-1.0943
Hs.165950	FGFR4	FGFR4=Fibroblast growth factor receptor 4	-1.5902
Hs.1422	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	-1.3753
Hs.7768	FIBP	Fibroblast growth factor (acidic) intracellular binding protein	-1.2334
Hs.524183	FKBP4	FK506 binding protein 4, 59kDa	-1.2524
Hs.513984	FLII	Flightless I homolog (Drosophila)	-1.5817
Hs.283565	FOSL1	FOS-like antigen 1	-1.7152
Hs.132161	FOXK2	Forkhead box K2	-1.1024
Hs.153381	FY	Duffy blood group	-1.3733
Hs.370503	FYB	FYN binding protein (FYB-120/130)	-1.3486
Hs.128231	GAGEB1	P antigen family, member 1 (prostate associated)	-1.0336
Hs.524134	GATA3	GATA binding protein 3	-1.2615
Hs.54609	GCAT	Glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	-1.1633
Hs.532699	GCDH	Glutaryl-Coenzyme A dehydrogenase	-1.2304
Hs.1270	GCK	Glucokinase (hexokinase 4, maturity onset diabetes of the young 2)	-1.1574
Hs.302131	GHRL	Ghrelin precursor	-1.1075
Hs.49427	GMIP	GEM interacting protein	-1.14
Hs.77269	GNAI2	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	-1.107
Hs.155090	GNB5	Guanine nucleotide binding protein (G protein), beta 5	-1.0696
Hs.7953	GOLGA7	Golgi autoantigen, golgin subfamily a, 7	-1.9335
Hs.524418	GPD1	Glycerol-3-phosphate dehydrogenase 1 (soluble)	-1.0161
Hs.514220	GRN	Granulin	-1.3533
Hs.82327	GSS	Glutathione synthetase	-1.4987
Hs.268573	GSTT1	Glutathione S-transferase theta 1	-1.2365
Hs.503749	H2-ALPHA	Alpha-tubulin isotype H2-alpha	-1.0756
Hs.8004	HAPIP	Kalirin, RhoGEF kinase	-1.0584
Hs.388226	HCRTR1	Hypocretin (orexin) receptor 1	-1.1046
Hs.89525	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	-1.0761
Hs.513008	HEXA	Hexosaminidase A (alpha polypeptide)	-1.2294
Hs.514590	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	-1.7206
Hs.411695	HK3	Hexokinase 3 (white cell)	-1.1288
Hs.518805	HMGA1	High mobility group AT-hook 1	-1.521
Hs.155218	HNRPUL1	Heterogeneous nuclear ribonucleoprotein U-like 1	-1.237
Hs.162795	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	-1.6698
Hs.80288	HSPA1L	heat shock 70kD protein-like 1=HSP70-HOM	-1.3174
Hs.53066	HSPBP1	Hsp70-interacting protein	-1.0493
Hs.529475	HSPC111	Hypothetical protein HSPC111	-1.1641
Hs.509736	HSPCB	Heat shock 90kDa protein 1, beta	-1.3044
Hs.410197	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma	-1.0784
Hs.274313	IGFBP6	Insulin-like growth factor binding protein 6	-1.6219
Hs.503048	IGHMBP2	Immunoglobulin mu binding protein 2	-1.0615
Hs.204891	IL11RA	IL-11 receptor alpha chain	-1.1629
Hs.325978	IL18BP	Interleukin 18 binding protein	-1.0683
Hs.5158	ILK	Integrin-linked kinase	-1.3163
Hs.317095	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	-1.3072
Hs.75432	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	-1.0974
Hs.166120	IRF7	Interferon regulatory factor 7	-1.0349
Hs.265829	ITGA3	Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	-1.0719
Hs.534326	ITGB4BP	Integrin beta 4 binding protein	-1.2848
Hs.111577	ITM2C	Integral membrane protein 2C	-1.2208
Hs.432562	ITSN2	Intersectin 2	-1.3683
Hs.275675	KATNB1	Katanin p80 (WD repeat containing) subunit B 1	-1.3474
Hs.303870	KCNC1	Potassium voltage-gated channel, Shaw-related subfamily, member 1	-1.0277
Hs.32505	KCNJ4	Potassium inwardly-rectifying channel, subfamily J, member 4	-1.2467
Hs.516802	KIF1A	Kinesin family member 1A	-1.0868
Hs.435120	KIF1C	Kinesin family member 1C	-1.3427
Hs.150557	KLF9	Kruppel-like factor 9	-1.0277
Hs.25441	KPTN	Kaptin (actin binding protein)	-1.2236
Hs.41696	KRTHA1	Keratin, hair, acidic, 1	-1.0096
Hs.201805	LAMC3	Laminin, gamma 3	-1.141
Hs.374553	LAMR1	Ribosomal protein SA	-1.2478
Hs.498997	LAT	Linker for activation of T cells	-1.0744
Hs.467279	LENG4	Leukocyte receptor cluster (LRC) member 4	-1.4975
Hs.514535	LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein	-1.1787
Hs.2250	LIF	LIF	-1.1963
Hs.67846	LILRB4	LIR-5=PIR homologue	-1.0243
Hs.515042	LMNB2	Lamin B2	-1.1723
Hs.463079	LOC162427	Hypothetical protein LOC162427	-1.1767
Hs.351296	LOC51035	ORF	-1.1351
Hs.513685	LYPLA3	Lysophospholipase 3 (lysosomal phospholipase A2)	-1.181
Hs.140452	M6PRBP1	Mannose-6-phosphate receptor binding protein 1	-1.448
Hs.279881	MAN1B1	Mannosidase, alpha, class 1B, member 1	-1.0584
Hs.514012	MAP2K3	Mitogen-activated protein kinase kinase 3	-1.2132
Hs.234249	MAPK8IP1	Mitogen-activated protein kinase 8 interacting protein 1	-1.0752
Hs.515860	MAPRE3	Microtubule-associated protein, RP/EB family, member 3	-1.1656
Hs.517582	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	-1.8054
Hs.438720	MCM7	cdc47=mcm7=minichromosome maintenance deficient (S. cerevisiae) 7	-1.5194
Hs.517603	MFNG	Manic fringe homolog (Drosophila)	-1.0904
Hs.301394	MGC3101	Hypothetical protein MGC3101	-1.1856
Hs.79026	MLF2	MLF2=myelodysplasia/myeloid leukemia factor 2	-1.1985
Hs.513617	MMP2	Matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	-1.782
Hs.462341	M-RIP	Myosin phosphatase-Rho interacting protein	-1.3767
Hs.109059	MRPL12	Mitochondrial ribosomal protein L12	-1.144
Hs.25723	MTVR1	Mouse Mammary Turmor Virus Receptor homolog 1	-1.1044
Hs.179718	MYBL2	myb-related gene B=B-myb	-1.4438
Hs.463300	MYL4	Myosin, light polypeptide 4, alkali; atrial, embryonic	-1.3248
Hs.370421	MYO7A	Myosin VIIA (Usher syndrome 1B (autosomal recessive, severe))	-1.0407
Hs.7036	NAGK	N-acetylglucosamine kinase	-1.393
Hs.90443	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	-1.034
Hs.7744	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	-1.162
Hs.170131	NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)	-1.1549
Hs.2764	NFKBIL1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1	-1.2431
Hs.30956	NHLH1	Nescient helix loop helix 1	-1.1026
Hs.173878	NIPSNAP1	Nipsnap homolog 1 (C. elegans)	-1.057
Hs.511603	NOS3	Nitric oxide synthase 3 (endothelial cell)	-1.0553
Hs.375439	NOVA2	Neuro-oncological ventral antigen 2	-1.3533
Hs.78518	NPR2	Natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	-1.1693
Hs.432976	NR1H2	Nuclear receptor subfamily 1, group H, member 2	-1.0198
Hs.515876	NRBP	Nuclear receptor binding protein	-1.313
Hs.256549	NUBP2	Nucleotide binding protein 2 (MinD homolog, E. coli)	-1.0271
Hs.263812	NUDC	Nuclear distribution gene C homolog (A. nidulans)	-1.2335
Hs.523739	NXF1	Nuclear RNA export factor 1	-1.3534
Hs.522087	OPRS1	Opioid receptor, sigma 1	-1.1492
Hs.321709	P2RX4	Purinergic receptor P2X, ligand-gated ion channel, 4	-1.1363
Hs.16362	P2RY6	Pyrimidinergic receptor P2Y, G-protein coupled, 6	-1.1119
Hs.524498	PA2G4	Proliferation-associated 2G4, 38kDa	-1.1621
Hs.117176	PABPN1	Poly(A) binding protein, nuclear 1	-1.5754
Hs.433863	PBP	Prostatic binding protein	-1.509
Hs.132794	PCYT1B	Phosphate cytidylyltransferase 1, choline, beta isoform	-1.0657
Hs.551512	PCYT2	Phosphate cytidylyltransferase 2, ethanolamine	-1.3079
Hs.278426	PDAP1	PDGFA associated protein 1	-1.1979
Hs.530871	PDE1B	Phosphodiesterase 1B, calmodulin-dependent	-1.0835
Hs.480311	PDLIM5	PDZ and LIM domain 5	-1.2728
Hs.119316	PET112L	PET112-like (yeast)	-1.0575
Hs.546273	PEX10	Peroxisome biogenesis factor 10	-1.0318
Hs.149983	PEX14	Peroxisomal biogenesis factor 14	-1.026
Hs.464071	PGD	Phosphogluconate dehydrogenase	-1.1831
Hs.465849	PIN1	Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	-1.3367
Hs.257008	PLD3	Phospholipase D3	-1.1834
Hs.434248	PLEC1	Plectin 1, intermediate filament binding protein 500kDa	-1.1287
Hs.329989	PLK1	Polo-like kinase 1 (Drosophila)	-1.1691
Hs.21432	PLXNA3	Plexin A3	-1.0366
Hs.530479	PMF1	Polyamine-modulated factor 1	-1.3381
Hs.30954	PMVK	Phosphomevalonate kinase	-1.1682
Hs.432574	POLR2H	Polymerase (RNA) II (DNA directed) polypeptide H	-1.0371
Hs.436896	POLR3A	Polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	-1.0056
Hs.465506	PPAP2C	Phosphatidic acid phosphatase type 2C	-1.0812
Hs.240457	PPP1CA	Protein phosphatase 1, catalytic subunit, alpha isoform	-1.3949
Hs.432121	PRDX2	Peroxiredoxin 2	-1.1344
Hs.8517	PSCD2	Pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2)	-1.0802
Hs.250758	PSMC3	Proteasome (prosome, macropain) 26S subunit, ATPase, 3	-1.0716
Hs.134688	PSMD13	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	-1.2397
Hs.518464	PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	-1.3139
Hs.146824	PSORS1C2	Psoriasis susceptibility 1 candidate 2	-1.1662
Hs.444776	PTE1	Peroxisomal acyl-CoA thioesterase	-1.4738
Hs.1019	PTHR1	Parathyroid hormone receptor 1	-1.0135
Hs.513484	QPRT	Quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	-1.2174
Hs.77266	QSCN6	BPGF-1=bone-derived growth factor=Q6=quiescin=expression is induced by reversible growth arrest, trypsinization and serum starvation and is blocked by SV40 transformation	-1.321
Hs.77266	QSCN6	BPGF-1=bone-derived growth factor=Q6=quiescin=expression is induced by reversible growth arrest, trypsinization and serum starvation and is blocked by SV40 transformation	-1.5028
Hs.524788	RAB35	RAB35, member RAS oncogene family	-1.0071
Hs.369557	RAB36	RAB36, member RAS oncogene family	-1.1852
Hs.11417	RABAC1	Rab acceptor 1 (prenylated)	-1.625
Hs.523220	RAD54L	RAD54-like (S. cerevisiae)	-1.0249
Hs.183800	RANGAP1	Ran GTPase activating protein 1	-1.2078
Hs.504620	REA	Prohibitin 2	-1.0127
Hs.494875	RGS3	Regulator of G-protein signalling 3	-1.3762
Hs.131871	RGS6	RGS6=regulator of G protein signalling 6	-1.0959
Hs.132327	RGS9	Regulator of G-protein signalling 9	-1.1319
Hs.179735	RHOC	RhoC=GTP-binding protein	-1.4821
Hs.532851	RNASEH2A	Ribonuclease H2, large subunit	-1.2726
Hs.153768	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	-1.5716
Hs.425125	RPL29	Ribosomal protein L29	-1.0716
Hs.406683	RPS15	Ribosomal protein S15	-1.0054
Hs.298248	RREB1	Ras responsive element binding protein 1	-1.2054
Hs.20084	RXRA	Retinoid X receptor, alpha	-1.0665
Hs.433168	S100A3	S100 calcium binding protein A3=S-100E protein	-1.1226
Hs.515500	SAE1	SUMO-1 activating enzyme subunit 1	-1.2388
Hs.23978	SAFB	Scaffold attachment factor B	-1.2413
Hs.502883	SART1	Squamous cell carcinoma antigen recognised by T cells	-1.1995
Hs.280202	SBF1	SET binding factor 1	-1.2753
Hs.200600	SCAMP3	Secretory carrier membrane protein 3	-1.1226
Hs.517008	SCAND1	SCAN domain containing 1	-1.0056
Hs.472558	SDBCAG84	Serologically defined breast cancer antigen 84	-1.4629
Hs.252189	SDC4	Syndecan-4 = amphiglycan = ryudocan core protein	-1.3818
Hs.464184	SEC14L1	SEC14-like 1 (S. cerevisiae)	-1.0362
Hs.519171	SEC6L1	SEC6-like 1 (S. cerevisiae)	-1.2976
Hs.283743	5-Sep	Septin 5	-1.0563
Hs.406423	SF3B2	Splicing factor 3b, subunit 2, 145kDa	-1.0322
Hs.308171	SFRS8	Splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	-1.0676
Hs.512690	SFTPB	Surfactant, pulmonary-associated protein B	-1.3644
Hs.109051	SH3BGRL3	SH3 domain binding glutamic acid-rich protein like 3	-1.2344
Hs.368611	SIAT4B	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	-1.059
Hs.111024	SLC25A1	Solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	-1.3569
Hs.21899	SLC35A2	Solute carrier family 35 (UDP-galactose transporter), member A2	-1.0742
Hs.7854	SLC39A1	Solute carrier family 39 (zinc transporter), member 1	-1.0001
Hs.433984	SLC4A2	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	-1.1127
Hs.197116	SLC7A4	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 4	-1.1073
Hs.22891	SLC7A8	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	-1.1031
Hs.518270	SLCO2A1	Solute carrier organic anion transporter family, member 2A1	-1.0247
Hs.498173	SMPD1	Sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)	-1.0977
Hs.527973	SOCS3	Suppressor of cytokine signaling 3	-1.0602
Hs.194385	STAP2	Signal-transducing adaptor protein-2	-1.198
Hs.77628	STARD3	START domain containing 3	-1.0424
Hs.16134	STK10	STK10=LOK=lymphocyte oriented kinase=STE20-like protein kinase that is expressed predominantly in lymphocytes=serine/threonine kinase 10	-1.0141
Hs.194816	STOML1	Stomatin (EPB72)-like 1	-1.3587
Hs.533771	STUB1	STIP1 homology and U-box containing protein 1	-1.1079
Hs.488683	STX1A	Syntaxin 1A (brain)	-1.202
Hs.83734	STX4A	Syntaxin 4A (placental)	-1.4355
Hs.437056	SUPT5H	Suppressor of Ty 5 homolog (S. cerevisiae)	-1.3442
Hs.522639	SUV39H1	Suppressor of variegation 3-9 homolog 1 (Drosophila)	-1.3447
Hs.225936	SYN1	Synapsin I	-1.0564
Hs.435277	SYNGR3	Synaptogyrin 3	-1.268
Hs.23179	SYT5	Synaptotagmin V	-1.1302
Hs.517168	TAGLN2	Transgelin 2	-1.6065
Hs.291623	TAOK2	TAO kinase 2	-1.3645
Hs.501080	TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	-1.0754
Hs.417948	TCN2	Transcobalamin II; macrocytic anemia	-1.0678
Hs.519672	TCOF1	Treacher Collins-Franceschetti syndrome 1	-1.0088
Hs.35052	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	-1.4853
Hs.33102	TFAP2B	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	-1.0415
Hs.2022	TGM3	Transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)	-1.4374
Hs.435609	TH	Tyrosine hydroxylase	-1.0494
Hs.164226	THBS1	Thrombospondin 1	-1.1641
Hs.515122	TK1	Thymidine kinase 1, soluble	-1.6332
Hs.89643	TKT	Transketolase (Wernicke-Korsakoff syndrome)	-1.1891
Hs.26518	TM4SF7	Transmembrane 4 superfamily member 7	-1.1417
Hs.118118	TM4SF9	Transmembrane 4 superfamily member 9	-1.294
Hs.54673	TNFSF13	Tumor necrosis factor (ligand) superfamily, member 12	-1.1436
Hs.310542	TOMM40	Translocase of outer mitochondrial membrane 40 homolog (yeast)	-1.1852
Hs.83848	TPI1	Triosephosphate isomerase 1	-1.8426
Hs.30345	TRAP1	TNF receptor-associated protein 1	-1.2228
Hs.467408	TRIM28	Tripartite motif-containing 28	-1.3077
Hs.515094	TRIP10	Thyroid hormone receptor interactor 10	-1.2593
Hs.534360	TRIP6	Thyroid hormone receptor interactor 6	-1.189
Hs.523424	TSSC4	Tumor suppressing subtransferable candidate 4	-1.1258
Hs.500724	UBTD1	Ubiquitin domain containing 1	-1.1281
Hs.3759	USP5	Ubiquitin specific protease 5 (isopeptidase T)	-1.3015
Hs.529782	VCP	Valosin-containing protein	-1.1348
Hs.128420	VPS4A	Vacuolar protein sorting 4A (yeast)	-1.4869
Hs.250493	ZNF219	Zinc finger protein 219	-1.204
Hs.515660	ZNF324	Zinc finger protein 324	-1.071
Hs.19720	AP3S2	Adaptor-related protein complex 3, sigma 2 subunit	1.0791
Hs.106730	C22orf3	Chromosome 22 open reading frame 3	1.0404
Hs.31595	CLDN11	Claudin 11 (oligodendrocyte transmembrane protein)	1.0511
Hs.210283	COL5A1	Collagen, type V, alpha 1	1.0026
Hs.443681	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	1.1108
Hs.252549	CTSZ	Cathepsin Z	1.1219
Hs.332197	D2S448	Melanoma associated gene	1.3646
Hs.76530	F2	Coagulation factor II (thrombin)	1.0333
Hs.146447	FBN1	fibrillin 1 (Marfan syndrome)	1.9075
Hs.28346	GCM1	Glial cells missing homolog 1 (Drosophila)	1.1074
Hs.7879	IFRD1	Interferon-related developmental regulator 1	1.1796
Hs.401013	IRF4	Interferon regulatory factor 4	1.0038
Hs.480311	LIM	LIM protein (similar to rat protein kinase C-binding enigma)	1.0774
Hs.513617	MMP2	Matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1.0116
Hs.528670	MMP25	Matrix metalloproteinase-like 1	1.0175
Hs.286226	MYO1C	Myosin IC	1.248
Hs.533948	NMBR	Neuromedin B receptor	1.3648
Hs.8546	NOTCH3	Notch homolog 3 (Drosophila)	1.166
Hs.332706	OPTN	Optineurin	1.1922
Hs.268557	PHLDA3	Pleckstrin homology-like domain, family A, member 3	1.5044
Hs.462585	PIPOX	Pipecolic acid oxidase	1.0591
Hs.172445	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	1.0967
Hs.304792	PROSC	Proline synthetase co-transcribed homolog (bacterial)	1.2214
Hs.370620	REL	c-rel=NF-kB family member frequently amplified in diffuse large cell lymphoma	1.0723
Hs.81964	SEC24C	FLJ44715 gene product	1.0467
Hs.529957	SEC63	SEC63-like (S. cerevisiae)	1.1208
Hs.523718	SFN	14-3-3 sigma=stratifin	1.1053
Hs.502	TAP2	Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	1.0744
Hs.522632	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	1.0635
Hs.533192	TOMM20	Translocase of outer mitochondrial membrane 20 homolog (yeast)	1.007
Hs.194678	WISP3	WNT1 inducible signaling pathway protein 3	1.0137
Hs.250	XDH	Xanthine dehydrogenase	1.0341
Hs.193584	ZNF506	Zinc finger protein 506	1.1111
