Probe Set Id	Gene Title	Gene Symbol	Cluster
201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1	C
206116_s_at	tropomyosin 1 (alpha)	TPM1	C
221564_at	protein arginine methyltransferase 2	PRMT2	C
201194_at	selenoprotein W, 1	SEPW1	C
220044_x_at	cisplatin resistance-associated overexpressed protein	CROP	C
203939_at	5-nucleotidase, ecto (CD73)	NT5E	C
210041_s_at	phosphoglucomutase 3	PGM3	C
204823_at	neuron navigator 3	NAV3	C
204933_s_at	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	TNFRSF11B	C
212062_at	ATPase, Class II, type 9A	ATP9A	C
212154_at	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	C
214328_s_at	heat shock protein 90kDa alpha (cytosolic), class A member 1	HSP90AA1	C
206382_s_at	brain-derived neurotrophic factor	BDNF	C
209749_s_at	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ACE	C
221261_x_at	melanoma antigen family D, 4	MAGED4	C
201573_s_at	eukaryotic translation termination factor 1	ETF1	C
210095_s_at	insulin-like growth factor binding protein 3	IGFBP3	C
212143_s_at	insulin-like growth factor binding protein 3	IGFBP3	C
31846_at	ras homolog gene family, member D	RHOD	C
219175_s_at	solute carrier family 41, member 3	SLC41A3	C
202813_at	Tar (HIV-1) RNA binding protein 1	TARBP1	C
212874_at	Translocase of outer mitochondrial membrane 40 homolog (yeast)	TOMM40	C
215873_x_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	ABCC10	C
213305_s_at	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	PPP2R5C	C
216900_s_at	cholinergic receptor, nicotinic, alpha 4	CHRNA4	C
202718_at	insulin-like growth factor binding protein 2, 36kDa	IGFBP2	C
218240_at	NFKB inhibitor interacting Ras-like 2	NKIRAS2	C
222258_s_at	SH3-domain binding protein 4	SH3BP4	C
201654_s_at	heparan sulfate proteoglycan 2 (perlecan)	HSPG2	C
202014_at	protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	C
212013_at	peroxidasin homolog (Drosophila)	PXDN	C
212012_at	peroxidasin homolog (Drosophila)	PXDN	C
200808_s_at	zyxin	ZYX	C
213135_at	T-cell lymphoma invasion and metastasis 1	TIAM1	C
215706_x_at	zyxin	ZYX	C
204923_at	chromosome X open reading frame 9	CXorf9	C
209390_at	tuberous sclerosis 1	TSC1	C
217750_s_at	ubiquitin-conjugating enzyme E2Z (putative)	UBE2Z	C
201241_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	DDX1	C
219038_at	MORC family CW-type zinc finger 4	MORC4	C
201731_s_at	translocated promoter region (to activated MET oncogene)	TPR	C
216129_at	ATPase, Class II, type 9A	ATP9A	C
218252_at	cytoskeleton associated protein 2	CKAP2	C
213097_s_at	zuotin related factor 1	ZRF1	C
208095_s_at	signal recognition particle 72kDa	SRP72	C
200921_s_at	B-cell translocation gene 1, anti-proliferative	BTG1	C
203752_s_at	jun D proto-oncogene	JUND	C
218768_at	nucleoporin 107kDa	NUP107	C
210211_s_at	heat shock protein 90kDa alpha (cytosolic), class A member 1	HSP90AA1	C
201141_at	glycoprotein (transmembrane) nmb	GPNMB	C
214321_at	nephroblastoma overexpressed gene	NOV	C
217893_s_at	chromosome 1 open reading frame 108	C1orf108	C
217766_s_at	transmembrane protein 50A	TMEM50A	C
203127_s_at	serine palmitoyltransferase, long chain base subunit 2	SPTLC2	C
200066_at	IK cytokine, down-regulator of HLA II	IK	C
217764_s_at	RAB31, member RAS oncogene family	RAB31	C
201434_at	tetratricopeptide repeat domain 1	TTC1	C
205818_at	deleted in bladder cancer 1	DBC1	C
217768_at	chromosome 14 open reading frame 166	C14orf166	C
206812_at	adrenergic, beta-3-, receptor	ADRB3	C
208663_s_at	tetratricopeptide repeat domain 3	TTC3	C
211706_s_at	cell division cycle 2-like 6 (CDK8-like)	CDC2L6	C
217203_at	---	---	C
219047_s_at	zinc finger protein 668	ZNF668	C
211593_s_at	microtubule associated serine/threonine kinase 2	MAST2	C
212757_s_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	CAMK2G	C
204683_at	intercellular adhesion molecule 2	ICAM2	C
201475_x_at	methionine-tRNA synthetase	MARS	C
208417_at	fibroblast growth factor 6	FGF6	C
221029_s_at	wingless-type MMTV integration site family, member 5B	WNT5B	C
213848_at	MRNA; cDNA DKFZp586F2224 (from clone DKFZp586F2224)	---	C
217954_s_at	PHD finger protein 3	PHF3	D
213132_s_at	malonyl-CoA:acyl carrier protein transacylase, mitochondrial	MT	D
200994_at	Importin 7	IPO7	D
212511_at	phosphatidylinositol binding clathrin assembly protein	PICALM	D
202647_s_at	neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	D
214463_x_at	histone 1, H4k /// histone 1, H4j	HIST1H4K	D
205732_s_at	nuclear receptor coactivator 2	NCOA2	D
206953_s_at	latrophilin 2	LPHN2	D
202357_s_at	complement factor B	CFB	D
202066_at	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	PPFIA1	D
204619_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	D
201279_s_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	D
204114_at	nidogen 2 (osteonidogen)	NID2	D
202820_at	aryl hydrocarbon receptor	AHR	D
217803_at	golgi phosphoprotein 3 (coat-protein)	GOLPH3	D
200723_s_at	GPI-anchored membrane protein 1	GPIAP1	D
211372_s_at	interleukin 1 receptor, type II	IL1R2	D
208763_s_at	TSC22 domain family, member 3	TSC22D3	D
200966_x_at	aldolase A, fructose-bisphosphate	ALDOA	D
210142_x_at	flotillin 1	FLOT1	D
202948_at	interleukin 1 receptor, type I	IL1R1	D
203542_s_at	Kruppel-like factor 9	KLF9	D
218160_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	NDUFA8	D
214461_at	lipopolysaccharide binding protein	LBP	D
204620_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	D
221731_x_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	D
208749_x_at	flotillin 1	FLOT1	D
213979_s_at	Full-length cDNA clone CS0DF027YP13 of Fetal brain of Homo sapiens (human)	---	D
201315_x_at	interferon induced transmembrane protein 2 (1-8D)	IFITM2	D
212203_x_at	interferon induced transmembrane protein 3 (1-8U)	IFITM3	D
209420_s_at	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)	SMPD1	D
217786_at	protein arginine methyltransferase 5	PRMT5	D
201155_s_at	mitofusin 2	MFN2	D
205770_at	glutathione reductase	GSR	D
215210_s_at	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	DLST	D
206024_at	4-hydroxyphenylpyruvate dioxygenase	HPD	D
201303_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	DDX48	D
217466_x_at	ribosomal protein S2	RPS2	D
205244_s_at	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	SLC13A3	D
204560_at	FK506 binding protein 5	FKBP5	D
206517_at	cadherin 16, KSP-cadherin	CDH16	D
208748_s_at	flotillin 1	FLOT1	D
202862_at	fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH	D
222212_s_at	LAG1 longevity assurance homolog 2 (S. cerevisiae)	LASS2	D
201380_at	cartilage associated protein	CRTAP	D
208787_at	mitochondrial ribosomal protein L3	MRPL3	D
221268_s_at	sphingosine-1-phosphate phosphatase 1	SGPP1	D
214259_s_at	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	AKR7A2	D
209585_s_at	multiple inositol polyphosphate histidine phosphatase, 1	MINPP1	D
202101_s_at	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	RALB	D
217980_s_at	mitochondrial ribosomal protein L16	MRPL16	D
320_at	peroxisomal biogenesis factor 6	PEX6	D
217911_s_at	BCL2-associated athanogene 3	BAG3	D
218976_at	DnaJ (Hsp40) homolog, subfamily C, member 12	DNAJC12	D
213624_at	sphingomyelin phosphodiesterase, acid-like 3A	SMPDL3A	D
203946_s_at	arginase, type II	ARG2	D
203033_x_at	fumarate hydratase	FH	D
207213_s_at	ubiquitin specific peptidase 2	USP2	D
206963_s_at	N-acetyltransferase 8	NAT8	D
203647_s_at	ferredoxin 1	FDX1	D
214170_x_at	fumarate hydratase	FH	D
217788_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GALNT2	D
211631_x_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	B4GALT1	D
211571_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	D
205645_at	RALBP1 associated Eps domain containing 2	REPS2	D
217906_at	kelch domain containing 2	KLHDC2	D
215646_s_at	chondroitin sulfate proteoglycan 2 (versican)	CSPG2	D
209297_at	intersectin 1 (SH3 domain protein)	ITSN1	D
201427_s_at	selenoprotein P, plasma, 1	SEPP1	D
201601_x_at	interferon induced transmembrane protein 1 (9-27)	IFITM1	D
214022_s_at	interferon induced transmembrane protein 1 (9-27)	IFITM1	D
215001_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	D
218589_at	purinergic receptor P2Y, G-protein coupled, 5	P2RY5	D
201398_s_at	translocation associated membrane protein 1	TRAM1	D
220419_s_at	ubiquitin specific peptidase 25	USP25	D
208451_s_at	complement component 4A	C4A	D
37152_at	peroxisome proliferative activated receptor, delta	PPARD	D
202609_at	epidermal growth factor receptor pathway substrate 8	EPS8	D
204863_s_at	interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	D
207643_s_at	tumor necrosis factor receptor superfamily, member 1A	TNFRSF1A	D
204744_s_at	isoleucine-tRNA synthetase	IARS	D
205066_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 1	ENPP1	D
214724_at	DIX domain containing 1	DIXDC1	D
221950_at	empty spiracles homolog 2 (Drosophila)	EMX2	D
205321_at	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	EIF2S3	D
211752_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	NDUFS7	D
201597_at	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	COX7A2	D
218388_at	6-phosphogluconolactonase	PGLS	D
204084_s_at	ceroid-lipofuscinosis, neuronal 5	CLN5	D
205729_at	oncostatin M receptor	OSMR	D
212833_at	hypothetical protein BC017169	LOC91137	D
210601_at	cadherin 6, type 2, K-cadherin (fetal kidney)	CDH6	D
200946_x_at	glutamate dehydrogenase 1	GLUD1	D
218890_x_at	mitochondrial ribosomal protein L35	MRPL35	D
221305_s_at	UDP glucuronosyltransferase 1 family, polypeptide A8	UGT1A8	D
201563_at	sorbitol dehydrogenase	SORD	D
213273_at	odz, odd Oz/ten-m homolog 4 (Drosophila)	ODZ4	D
201706_s_at	peroxisomal biogenesis factor 19	PEX19	D
204105_s_at	neuronal cell adhesion molecule	NRCAM	D
201942_s_at	carboxypeptidase D	CPD	D
201940_at	carboxypeptidase D	CPD	D
201941_at	carboxypeptidase D	CPD	D
217835_x_at	chromosome 20 open reading frame 24	C20orf24	D
200947_s_at	glutamate dehydrogenase 1	GLUD1	D
204068_at	serine/threonine kinase 3 (STE20 homolog, yeast)	STK3	D
39729_at	peroxiredoxin 2	PRDX2	D
218563_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	NDUFA3	D
202001_s_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	NDUFA6	D
217294_s_at	enolase 1, (alpha)	ENO1	D
217140_s_at	voltage-dependent anion channel 1	VDAC1	D
201732_s_at	chloride channel 3	CLCN3	D
205522_at	homeobox D4	HOXD4	D
201400_at	proteasome (prosome, macropain) subunit, beta type, 3	PSMB3	D
220948_s_at	ATPase, Na+/K+ transporting, alpha 1 polypeptide	ATP1A1	D
221588_x_at	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	D
204290_s_at	aldehyde dehydrogenase 6 family, member A1	ALDH6A1	D
213198_at	activin A receptor, type IB	ACVR1B	D
202343_x_at	cytochrome c oxidase subunit Vb	COX5B	D
200884_at	creatine kinase, brain	CKB	D
217977_at	selenoprotein X, 1	SEPX1	D
201345_s_at	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	UBE2D2	D
204348_s_at	adenylate kinase 3-like 1	AK3L1	D
204326_x_at	metallothionein 1X	MT1X	D
201375_s_at	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	PPP2CB	D
201376_s_at	heterogeneous nuclear ribonucleoprotein F	HNRPF	D
213735_s_at	cytochrome c oxidase subunit Vb	COX5B	D
200639_s_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	D
200080_s_at	H3 histone, family 3A	H3F3A	D
213429_at	CDNA FLJ26539 fis, clone KDN09310	---	D
221245_s_at	frizzled homolog 5	FZD5	D
207981_s_at	estrogen-related receptor gamma	ESRRG	D
201013_s_at	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	PAICS	D
221931_s_at	SEH1-like (S. cerevisiae)	SEH1L	D
205579_at	histamine receptor H1	HRH1	D
202716_at	protein tyrosine phosphatase, non-receptor type 1	PTPN1	D
209905_at	homeobox A9	HOXA9	D
206100_at	carboxypeptidase M	CPM	D
201408_at	protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	D
209443_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	SERPINA5	D
205920_at	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	SLC6A6	D
203854_at	complement factor I	CFI	D
209375_at	xeroderma pigmentosum, complementation group C	XPC	D
207508_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	ATP5G3	D
201949_x_at	capping protein (actin filament) muscle Z-line, beta	CAPZB	D
214651_s_at	homeobox A9	HOXA9	D
200992_at	importin 7	IPO7	D
208910_s_at	complement component 1, q subcomponent binding protein	C1QBP	D
206631_at	prostaglandin E receptor 2 (subtype EP2), 53kDa	PTGER2	D
202427_s_at	brain protein 44	BRP44	D
218597_s_at	zinc finger, CDGSH-type domain 1	ZCD1	D
215726_s_at	cytochrome b5 type A (microsomal)	CYB5A	D
207843_x_at	cytochrome b5 type A (microsomal)	CYB5A	D
201322_at	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP5B	D
217202_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	D
200848_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1	D
208909_at	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	UQCRFS1	D
208868_s_at	GABA(A) receptor-associated protein like 1	GABARAPL1	D
202905_x_at	nibrin	NBN	D
205380_at	PDZ domain containing 1	PDZK1	D
209424_s_at	alpha-methylacyl-CoA racemase	AMACR	D
202784_s_at	nicotinamide nucleotide transhydrogenase	NNT	D
211458_s_at	GABA(A) receptor-associated protein like 1	GABARAPL1	D
201243_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	ATP1B1	D
202237_at	nicotinamide N-methyltransferase	NNMT	D
212665_at	TCDD-inducible poly(ADP-ribose) polymerase	TIPARP	D
202238_s_at	nicotinamide N-methyltransferase	NNMT	D
200043_at	enhancer of rudimentary homolog	ERH	D
203585_at	zinc finger protein 185 (LIM domain)	ZNF185	D
202279_at	chromosome 14 open reading frame 2	C14orf2	D
202290_at	PDGFA associated protein 1	PDAP1	D
201066_at	cytochrome c-1	CYC1	D
202132_at	WW domain containing transcription regulator 1	WWTR1	D
220773_s_at	gephyrin	GPHN	D
201161_s_at	cold shock domain protein A	CSDA	D
210739_x_at	solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4	D
202761_s_at	spectrin repeat containing, nuclear envelope 2	SYNE2	D
210201_x_at	bridging integrator 1	BIN1	D
206119_at	betaine-homocysteine methyltransferase	BHMT	D
214439_x_at	bridging integrator 1	BIN1	D
202931_x_at	bridging integrator 1	BIN1	D
219527_at	MOCO sulphurase C-terminal domain containing 2	MOSC2	D
205711_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	D
208870_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	D
205799_s_at	solute carrier family 3	SLC3A1	D
213366_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ATP5C1	D
200850_s_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1	D
211569_s_at	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC	D
212513_s_at	ubiquitin specific peptidase 33	USP33	D
212741_at	monoamine oxidase A	MAOA	D
203567_s_at	tripartite motif-containing 38	TRIM38	D
201120_s_at	progesterone receptor membrane component 1	PGRMC1	D
200793_s_at	aconitase 2, mitochondrial	ACO2	D
214428_x_at	complement component 4A (Rodgers blood group)	C4A	D
208972_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	ATP5G1	D
207305_s_at	KIAA1012	KIAA1012	D
201348_at	glutathione peroxidase 3 (plasma)	GPX3	D
203908_at	solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4	D
216238_s_at	fibrinogen beta chain	FGB	D
204115_at	guanine nucleotide binding protein (G protein), gamma 11	GNG11	D
201963_at	acyl-CoA synthetase long-chain family member 1	ACSL1	D
207275_s_at	acyl-CoA synthetase long-chain family member 1	ACSL1	D
201432_at	catalase	CAT	D
205921_s_at	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	SLC6A6	D
32625_at	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	NPR1	D
209788_s_at	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	ARTS-1	D
211000_s_at	interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	D
203453_at	sodium channel, nonvoltage-gated 1 alpha	SCNN1A	D
207057_at	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	SLC16A7	D
214069_at	hypothetical protein LOC123876	LOC123876	D
219013_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	GALNT11	D
217874_at	succinate-CoA ligase, GDP-forming, alpha subunit	SUCLG1	D
201966_at	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)	NDUFS2	D
214091_s_at	glutathione peroxidase 3 (plasma)	GPX3	D
204588_s_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	SLC7A7	D
203067_at	pyruvate dehydrogenase complex, component X	PDHX	D
219991_at	solute carrier family 2 (facilitated glucose transporter), member 9	SLC2A9	D
210788_s_at	dehydrogenase/reductase (SDR family) member 7	DHRS7	D
201740_at	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)	NDUFS3	D
215794_x_at	glutamate dehydrogenase 2	GLUD2	D
219027_s_at	myosin IXA	MYO9A	D
202133_at	WW domain containing transcription regulator 1	WWTR1	D
203381_s_at	apolipoprotein E	APOE	D
210251_s_at	RUN and FYVE domain containing 3	RUFY3	D
211025_x_at	cytochrome c oxidase subunit Vb	COX5B	D
213369_at	protocadherin 21	PCDH21	D
202217_at	chromosome 21 open reading frame 33	C21orf33	D
201160_s_at	cold shock domain protein A	CSDA	D
219298_at	enoyl Coenzyme A hydratase domain containing 3	ECHDC3	D
203628_at	insulin-like growth factor 1 receptor	IGF1R	D
213041_s_at	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	ATP5D	D
202581_at	heat shock 70kDa protein 1B	HSPA1B	D
203568_s_at	tripartite motif-containing 38	TRIM38	D
215698_at	Jumonji, AT rich interactive domain 1A (RBBP2-like)	JARID1A	D
210664_s_at	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	TFPI	D
203344_s_at	retinoblastoma binding protein 8	RBBP8	D
203007_x_at	lysophospholipase I	LYPLA1	D
201334_s_at	Rho guanine nucleotide exchange factor (GEF) 12	ARHGEF12	D
217731_s_at	integral membrane protein 2B	ITM2B	D
203566_s_at	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	AGL	D
203689_s_at	fragile X mental retardation 1	FMR1	D
221556_at	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B	D
203663_s_at	cytochrome c oxidase subunit Va	COX5A	D
203329_at	protein tyrosine phosphatase, receptor type, M	PTPRM	D
202985_s_at	BCL2-associated athanogene 5	BAG5	D
211967_at	transmembrane protein 123	TMEM123	D
202194_at	transmembrane emp24 protein transport domain containing 5	TMED5	D
203621_at	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	NDUFB5	D
212459_x_at	succinate-CoA ligase, GDP-forming, beta subunit	SUCLG2	D
217933_s_at	leucine aminopeptidase 3	LAP3	D
213564_x_at	lactate dehydrogenase B	LDHB	D
220952_s_at	pleckstrin homology domain containing, family A member 5	PLEKHA5	D
201204_s_at	Ribosome binding protein 1 homolog 180kDa (dog)	RRBP1	D
200845_s_at	peroxiredoxin 6	PRDX6	D
217963_s_at	nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1	D
217379_at	---	---	D
207507_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	ATP5G3	D
212644_s_at	chromosome 14 open reading frame 32	C14orf32	D
208677_s_at	basigin (Ok blood group)	BSG	D
210846_x_at	tripartite motif-containing 14	TRIM14	D
204130_at	hydroxysteroid (11-beta) dehydrogenase 2	HSD11B2	D
202943_s_at	N-acetylgalactosaminidase, alpha-	NAGA	D
202654_x_at	membrane-associated ring finger (C3HC4) 7	40609	D
207318_s_at	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	CDC2L5	D
212420_at	E74-like factor 1 (ets domain transcription factor)	ELF1	D
218170_at	isochorismatase domain containing 1	ISOC1	D
201521_s_at	nuclear cap binding protein subunit 2, 20kDa	NCBP2	D
219002_at	FAST kinase domains 1	FASTKD1	D
209120_at	nuclear receptor subfamily 2, group F, member 2	NR2F2	D
211755_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	ATP5F1	D
215073_s_at	nuclear receptor subfamily 2, group F, member 2	NR2F2	D
222101_s_at	dachsous 1 (Drosophila)	DCHS1	E
215571_at	Neural cell adhesion molecule 2	NCAM2	E
210712_at	lactate dehydrogenase A-like 6B	LDHAL6B	E
209513_s_at	hydroxysteroid dehydrogenase like 2	HSDL2	E
202200_s_at	SFRS protein kinase 1	SRPK1	E
219293_s_at	GTP-binding protein 9 (putative)	GTPBP9	E
208754_s_at	nucleosome assembly protein 1-like 1	NAP1L1	E
202603_at	Clone MO-30 mRNA sequence	---	E
201294_s_at	WD repeat and SOCS box-containing 1	WSB1	E
202378_s_at	leptin receptor overlapping transcript	LEPROT	E
209790_s_at	caspase 6, apoptosis-related cysteine peptidase	CASP6	E
218613_at	similar to pleckstrin and Sec7 domain containing 3	LOC653754	E
201502_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA	E
209708_at	monooxygenase, DBH-like 1	MOXD1	E
202207_at	ADP-ribosylation factor-like 4C	ARL4C	E
201861_s_at	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	E
211938_at	eukaryotic translation initiation factor 4B	EIF4B	E
218543_s_at	poly (ADP-ribose) polymerase family, member 12	PARP12	E
207339_s_at	lymphotoxin beta (TNF superfamily, member 3)	LTB	E
203695_s_at	deafness, autosomal dominant 5	DFNA5	E
206659_at	hypothetical protein FLJ14082	FLJ14082	E
210517_s_at	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	E
218985_at	solute carrier family 2, (facilitated glucose transporter) member 8	SLC2A8	E
205659_at	histone deacetylase 9	HDAC9	E
219736_at	tripartite motif-containing 36	TRIM36	E
201251_at	pyruvate kinase, muscle	PKM2	E
210213_s_at	integrin beta 4 binding protein	ITGB4BP	E
222048_at	Adrenergic, beta, receptor kinase 2	ADRBK2	E
202206_at	ADP-ribosylation factor-like 4C	ARL4C	E
202510_s_at	tumor necrosis factor, alpha-induced protein 2	TNFAIP2	E
217419_x_at	agrin	AGRIN	E
200960_x_at	clathrin, light polypeptide (Lca)	CLTA	E
210715_s_at	serine peptidase inhibitor, Kunitz type, 2	SPINT2	E
204628_s_at	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	E
209683_at	family with sequence similarity 49, member A	FAM49A	E
210094_s_at	par-3 partitioning defective 3 homolog (C. elegans)	PARD3	E
209104_s_at	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)	NOLA2	E
202607_at	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	NDST1	E
205011_at	loss of heterozygosity, 11, chromosomal region 2, gene A	LOH11CR2A	E
218451_at	CUB domain containing protein 1	CDCP1	E
210018_x_at	mucosa associated lymphoid tissue lymphoma translocation gene 1	MALT1	E
37117_at	Rho GTPase activating protein 8 /// PRR5-ARHGAP8 fusion	ARHGAP8	E
218815_s_at	transmembrane protein 51	TMEM51	E
221527_s_at	par-3 partitioning defective 3 homolog (C. elegans)	PARD3	E
200710_at	acyl-Coenzyme A dehydrogenase, very long chain	ACADVL	E
213497_at	ankyrin repeat and BTB (POZ) domain containing 2	ABTB2	E
219225_at	piggyBac transposable element derived 5	PGBD5	E
201483_s_at	suppressor of Ty 4 homolog 1 (S. cerevisiae)	SUPT4H1	E
205560_at	proprotein convertase subtilisin/kexin type 5	PCSK5	E
87100_at	abhydrolase domain containing 2	ABHD2	E
209499_x_at	tumor necrosis factor (ligand) superfamily, member 13	TNFSF13	E
218510_x_at	hypothetical protein FLJ20152	FLJ20152	E
209558_s_at	huntingtin interacting protein 1 related	HIP1R	E
202886_s_at	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B	E
219369_s_at	OTU domain, ubiquitin aldehyde binding 2	OTUB2	E
204743_at	transgelin 3	TAGLN3	E
204286_s_at	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	E
201717_at	mitochondrial ribosomal protein L49	MRPL49	E
221177_at	melanoma inhibitory activity 2	MIA2	E
212710_at	calmodulin regulated spectrin-associated protein 1	CAMSAP1	E
208952_s_at	La ribonucleoprotein domain family, member 5	LARP5	E
213048_s_at	MRNA from HIV associated non-Hodgkins lymphoma (clone hl1-98)	---	E
202241_at	tribbles homolog 1 (Drosophila)	TRIB1	E
210314_x_at	tumor necrosis factor (ligand) superfamily, member 13	TNFSF13	E
201428_at	claudin 4	CLDN4	E
204470_at	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	E
204285_s_at	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	E
216598_s_at	chemokine (C-C motif) ligand 2	CCL2	E
201650_at	keratin 19	KRT19	E
220189_s_at	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	MGAT4B	E
204777_s_at	mal, T-cell differentiation protein	MAL	E
214614_at	homeobox HB9	HLXB9	E
208779_x_at	discoidin domain receptor family, member 1	DDR1	E
209619_at	CD74 molecule, major histocompatibility complex, class II invariant chain	CD74	E
201471_s_at	sequestosome 1	SQSTM1	E
219169_s_at	transcription factor B1, mitochondrial	TFB1M	E
208885_at	lymphocyte cytosolic protein 1 (L-plastin)	LCP1	E
