GenBank no.	Gene Symbol	Gene name	Fold change	P-value
NM_145239	PRRT2	Homo sapiens proline-rich transmembrane protein 2	2.3	4.44E-03
NM_001013439	FXR1	Homo sapiens fragile X mental retardation, autosomal homolog 1, transcript variant 3	2.3	1.59E-03
NM_002224	ITPR3	Homo sapiens inositol 1,4,5-triphosphate receptor, type 3	2.3	4.10E-05
NM_002417	MKI67	Homo sapiens antigen identified by monoclonal antibody Ki-67	2.3	4.86E-03
NM_152334	TARSL2	Homo sapiens threonyl-tRNA synthetase-like 2	2.3	4.06E-03
NM_014616	ATP11B	Homo sapiens ATPase, Class VI, type 11B	2.3	7.06E-03
NM_000366	TPM1	Homo sapiens tropomyosin 1 (alpha), transcript variant 5	2.3	5.08E-04
NM_032242	PLXNA1	Homo sapiens plexin A1	2.3	3.89E-03
NM_130837	OPA1	Homo sapiens optic atrophy 1, nuclear gene encoding mitochondrial protein, transcript variant 8	2.3	2.97E-03
NM_198552	FAM89A	Homo sapiens family with sequence similarity 89, member A	2.3	1.38E-03
NM_002292	LAMB2	Homo sapiens laminin, beta 2 (laminin S)	2.3	2.44E-03
NM_006049	SNAPC5	Homo sapiens small nuclear RNA activating complex, polypeptide 5, 19kDa	2.3	3.76E-04
NM_172229	KREMEN2	Homo sapiens kringle containing transmembrane protein 2, transcript variant 4	2.3	7.54E-03
NM_024611	NARG2	Homo sapiens NMDA receptor regulated 2, transcript variant	2.3	4.26E-04
NM_014935	PLEKHA6	Homo sapiens pleckstrin homology domain containing, family A member 6	2.3	1.07E-02
NM_000332	ATXN1	Homo sapiens ataxin 1	2.2	3.76E-03
NM_020998	MST1	Homo sapiens macrophage stimulating 1 (hepatocyte growth factor-like)	2.2	3.51E-03
NM_022970	FGFR2	Homo sapiens fibroblast growth factor receptor 2, transcript variant 2	2.2	2.51E-04
NM_018846	KLHL7	Homo sapiens kelch-like 7 (Drosophila), transcript variant 2	2.2	9.91E-04
NM_005252	FOS	Homo sapiens v-fos FBJ murine osteosarcoma viral oncogene homolog	2.2	1.05E-02
NM_016132	MYEF2	Homo sapiens myelin expression factor 2	2.2	1.38E-03
NM_000481	AMT	Homo sapiens aminomethyltransferase	2.2	5.15E-03
NM_015995	KLF13	Homo sapiens Kruppel-like factor 13	2.2	1.66E-04
NM_152384	BBS5	Homo sapiens Bardet-Biedl syndrome 5	2.2	5.93E-03
NM_152286	PNPLA7	Homo sapiens patatin-like phospholipase domain containing 7	2.2	2.60E-03
NM_006618	JARID1B	Homo sapiens jumonji, AT rich interactive domain 1B	2.2	7.95E-04
NM_021627	SENP2	Homo sapiens SUMO1/sentrin/SMT3 specific peptidase 2	2.2	2.76E-03
NM_014820	TOMM70A	Homo sapiens translocase of outer mitochondrial membrane 70  homolog A (S. cerevisiae), nuclear gene encoding mitochondrial protein	2.2	6.23E-03
NM_006991	ZNF197	Homo sapiens zinc finger protein 197, transcript variant 1	2.2	1.60E-03
NM_000996	RPL35A	Homo sapiens ribosomal protein L35a	2.2	4.06E-03
NM_003995	NPR2	Homo sapiens natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	2.2	3.92E-03
NM_013390	TMEM2	Homo sapiens transmembrane protein 2	2.2	8.03E-04
NM_001408	CELSR2	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	2.2	3.52E-03
NM_031953	SNX25	Homo sapiens sorting nexin 25	2.2	5.45E-03
NM_002531	NTSR1	Homo sapiens neurotensin receptor 1 (high affinity)	2.2	7.08E-03
NM_004603	STX1A	Homo sapiens syntaxin 1A (brain)	2.2	2.16E-03
NM_003329	TXN	Homo sapiens thioredoxin	2.2	4.41E-03
NM_078469	BCCIP	Homo sapiens BRCA2 and CDKN1A interacting protein, transcript variant C	2.2	9.77E-05
NM_000121	EPOR	Homo sapiens erythropoietin receptor	2.2	2.80E-03
NM_014937	INPP5F	Homo sapiens inositol polyphosphate-5-phosphatase F, transcript variant 1	2.2	5.24E-03
NM_015895	GMNN	Homo sapiens geminin, DNA replication inhibitor	2.2	5.03E-03
NM_006992	LRRC23	Homo sapiens leucine rich repeat containing 23, transcript variant 2	2.2	4.02E-03
NM_001004051	GPRASP2	Homo sapiens G protein-coupled receptor associated sorting protein , transcript variant 1	2.2	8.86E-03
NM_144707	PROM2	Homo sapiens prominin 2	2.2	2.23E-03
NM_007208	MRPL3	Homo sapiens mitochondrial ribosomal protein L3, nuclear gene encoding mitochondrial protein	2.2	3.30E-04
NM_030811	MRPS26	Homo sapiens mitochondrial ribosomal protein S26, nuclear gene encoding mitochondrial protein	2.2	2.35E-03
NM_015185	ARHGEF9	Homo sapiens Cdc42 guanine nucleotide exchange factor (GEF) 9	2.2	5.11E-03
NM_020899	ZBTB4	Homo sapiens zinc finger and BTB domain containing 4	2.2	2.19E-03
NM_001912	CTSL1	Homo sapiens cathepsin L1, transcript variant 1	2.2	5.99E-03
NM_015392	NPDC1	Homo sapiens neural proliferation, differentiation and control, 1	2.2	4.62E-04
NM_018490	LGR4	Homo sapiens leucine-rich repeat-containing G protein-coupled receptor 4	2.2	5.26E-03
NM_145197	LIPT1	Homo sapiens lipoyltransferase 1, transcript variant 3	2.2	6.48E-03
NM_023922	TAS2R14	Homo sapiens taste receptor, type 2, member 14	2.2	9.11E-03
NM_015310	PSD3	Homo sapiens pleckstrin and Sec7 domain containing 3, transcript variant 1	2.2	5.83E-03
NM_017861	PIGX	Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class X	2.2	7.21E-03
NM_020231	KTELC1	Homo sapiens KTEL (Lys-Tyr-Glu-Leu) containing 1	2.2	3.77E-03
NM_032928	TMEM141	Homo sapiens transmembrane protein 141	2.2	6.84E-04
NM_004396	DDX5	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	2.2	6.73E-03
NM_006810	PDIA5	Homo sapiens protein disulfide isomerase family A, member 5	2.2	9.28E-04
NM_018657	MYNN	Homo sapiens myoneurin	2.2	2.54E-03
NM_012385	NUPR1	Homo sapiens nuclear protein 1, transcript variant 2	2.2	1.17E-03
NM_012241	SIRT5	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae), transcript variant 1	2.2	9.16E-04
NM_018254	RCOR3	Homo sapiens REST corepressor 3	2.2	3.65E-03
NM_016371	HSD17B7	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 7	2.2	8.10E-03
NM_152683	CCDC111	Homo sapiens coiled-coil domain containing 111	2.2	2.31E-04
NM_145261	DNAJC19	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 19	2.2	3.56E-03
NM_003884	PCAF	Homo sapiens p300/CBP-associated factor	2.1	1.45E-03
NM_020802	KIAA1377	Homo sapiens KIAA1377	2.1	3.30E-03
NM_144722	FLJ23577	Homo sapiens KPL2 protein, transcript variant 2	2.1	1.25E-03
NM_022173	TIA1	Homo sapiens TIA1 cytotoxic granule-associated RNA binding protein, transcript variant 2	2.1	1.05E-02
NM_152783	D2HGDH	Homo sapiens D-2-hydroxyglutarate dehydrogenase, nuclear gene encoding mitochondrial protein	2.1	1.40E-03
NM_003262	TLOC1	Homo sapiens translocation protein 1	2.1	4.14E-04
NM_015522	DYNC2LI1	Homo sapiens dynein, cytoplasmic 2, light intermediate chain 1, transcript variant 2	2.1	3.00E-03
NM_001007255	KARCA1	Homo sapiens kelch/ankyrin repeat containing cyclin A1 interacting protein, transcript variant 2	2.1	9.13E-03
NM_024642	GALNT12	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	2.1	2.16E-03
NM_030626	LRRC27	Homo sapiens leucine rich repeat containing 27	2.1	5.17E-03
NM_015938	NMD3	Homo sapiens NMD3 homolog (S. cerevisiae)	2.1	3.73E-03
NM_015884	MBTPS2	Homo sapiens membrane-bound transcription factor peptidase, site 2	2.1	1.20E-03
NM_014866	KIAA0310	Homo sapiens KIAA0310	2.1	8.07E-03
NM_202000	ACSM3	Homo sapiens acyl-CoA synthetase medium-chain family member 3, transcript variant 2	2.1	1.77E-03
NM_004087	DLG1	Homo sapiens discs, large homolog 1 (Drosophila)	2.1	9.08E-03
NM_000195	HPS1	Homo sapiens Hermansky-Pudlak syndrome 1, transcript variant 1	2.1	8.90E-03
NM_001003940	BMF	Homo sapiens Bcl2 modifying factor, transcript variant 1	2.1	5.89E-03
NM_032945	TNFRSF6B	Homo sapiens tumor necrosis factor receptor superfamily, member 6b, decoy, transcript variant M68C	2.1	6.92E-04
NM_018088	FAM90A1	Homo sapiens family with sequence similarity 90, member A1	2.1	2.79E-03
NM_000272	NPHP1	Homo sapiens nephronophthisis 1 (juvenile), transcript variant 1	2.1	4.03E-04
NM_000221	KHK	Homo sapiens ketohexokinase (fructokinase), transcript variant a	2.1	1.36E-03
NM_198949	NUDT1	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 1, transcript variant 2B	2.1	5.39E-04
NM_182627	WDR53	Homo sapiens WD repeat domain 53	2.1	3.21E-03
NM_145649	GCNT2	Homo sapiens glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group), transcript variant 1	2.1	4.66E-03
NM_144994	ANKRD23	Homo sapiens ankyrin repeat domain 23	2.1	2.61E-05
NM_014974	DIP2C	Homo sapiens DIP2 disco-interacting protein 2 homolog C (Drosophila)	2.1	2.98E-03
NM_003098	SNTA1	Homo sapiens syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	2.1	5.83E-03
NM_016374	ARID4B	Homo sapiens AT rich interactive domain 4B (RBP1-like), transcript variant 1	2.1	1.14E-02
NM_004897	MINPP1	Homo sapiens multiple inositol polyphosphate histidine phosphatase, 1	2.1	1.83E-03
NM_024755	SLTM	Homo sapiens SAFB-like, transcription modulator, transcript variant 1	2.1	1.59E-03
NM_002737	PRKCA	Homo sapiens protein kinase C, alpha	2.1	3.73E-04
NM_001012426	FOXP4	Homo sapiens forkhead box P4, transcript variant 1	2.1	1.57E-03
NM_001005861	RYK	Homo sapiens RYK receptor-like tyrosine kinase, transcript variant 1	2.1	5.28E-03
NM_022749	RAI16	Homo sapiens retinoic acid induced 16	2.1	2.12E-03
NM_138371	FAM113B	Homo sapiens family with sequence similarity 113, member B	2.1	4.52E-03
NM_019895	CLDND1	Homo sapiens claudin domain containing 1, transcript variant 2	2.1	6.04E-05
NM_004727	SLC24A1	Homo sapiens solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	2.1	1.85E-03
NM_002607	PDGFA	Homo sapiens platelet-derived growth factor alpha polypeptide, transcript variant 1	2.1	9.06E-04
NM_152739	HOXA9	Homo sapiens homeobox A9	2.1	1.02E-02
NM_052857	CCDC16	Homo sapiens coiled-coil domain containing 16	2.1	3.37E-03
NM_147162	IL11RA	Homo sapiens interleukin 11 receptor, alpha, transcript variant 2	2.1	1.55E-03
NM_022494	ZDHHC6	Homo sapiens zinc finger, DHHC-type containing 6	2.1	3.23E-03
NM_006524	ZNF138	Homo sapiens zinc finger protein 138	2.1	2.91E-03
NM_020357	PCNP	Homo sapiens PEST proteolytic signal containing nuclear protein	2.1	4.92E-04
NM_018385	LSG1	Homo sapiens large subunit GTPase 1 homolog (S. cerevisiae)	2.1	9.05E-05
NM_016725	FOLR1	Homo sapiens folate receptor 1 (adult), transcript variant 1	2.1	6.81E-03
NM_032205	PHF20L1	Homo sapiens PHD finger protein 20-like 1, transcript variant 2	2.1	9.05E-04
NM_001677	ATP1B1	Homo sapiens ATPase, Na+/K+ transporting, beta 1 polypeptide, transcript variant 1	2.1	3.23E-03
NM_006017	PROM1	Homo sapiens prominin 1	2.1	3.02E-04
NM_032322	RNF135	Homo sapiens ring finger protein 135, transcript variant 1	2.1	2.08E-03
NM_024938	PCNXL2	Homo sapiens pecanex-like 2 (Drosophila), transcript variant 2	2.1	1.11E-02
NM_005935	AFF1	Homo sapiens AF4/FMR2 family, member 1	2.1	1.11E-02
NM_024996	GFM1	Homo sapiens G elongation factor, mitochondrial 1, nuclear gene encoding mitochondrial protein	2.1	1.01E-02
NM_182492	LRP5L	Homo sapiens low density lipoprotein receptor-related protein 5-like	2.1	8.21E-03
NM_152305	KTELC1	Homo sapiens KTEL (Lys-Tyr-Glu-Leu) containing 1	2.1	3.29E-03
NM_001003408	ABLIM1	Homo sapiens actin binding LIM protein 1, transcript variant 3	2.1	6.05E-03
NM_003940	USP13	Homo sapiens ubiquitin specific peptidase 13 (isopeptidase T-3)	2.1	9.33E-03
NM_014877	HELZ	Homo sapiens helicase with zinc finger	2.1	2.06E-03
NM_000725	CACNB3	Homo sapiens calcium channel, voltage-dependent, beta 3 subunit	2.1	1.16E-02
NM_023039	ANKRA2	Homo sapiens ankyrin repeat, family A (RFXANK-like), 2	2.1	2.32E-03
NM_032107	L3MBTL	Homo sapiens l(3)mbt-like (Drosophila), transcript variant II	2.1	5.22E-04
NM_004726	REPS2	Homo sapiens RALBP1 associated Eps domain containing 2, transcript variant 1	2.1	9.21E-04
NM_016337	EVL	Homo sapiens Enah/Vasp-like	2.1	9.19E-03
NM_024863	TCEAL4	Homo sapiens transcription elongation factor A (SII)-like 4, transcript variant 1	2.1	4.16E-03
NM_002719	PPP2R5C	Homo sapiens protein phosphatase 2, regulatory subunit B, gamma isoform, transcript variant 1	2.1	5.45E-04
NM_025146	NAT13	Homo sapiens N-acetyltransferase 13	2.1	1.10E-03
NM_002153	HSD17B2	Homo sapiens hydroxysteroid (17-beta) dehydrogenase 2	2.1	4.80E-03
NM_001081550	THOC2	Homo sapiens THO complex 2, transcript variant 1	2.1	2.65E-03
NM_020738	KIDINS220	Homo sapiens kinase D-interacting substance of 220 kDa	2.1	7.01E-04
NM_005324	H3F3B	Homo sapiens H3 histone, family 3B (H3.3B)	2.1	9.08E-06
NM_006885	ATBF1	Homo sapiens AT-binding transcription factor 1	2.1	7.49E-04
NM_015446	AHCTF1	Homo sapiens AT hook containing transcription factor 1	2.1	9.03E-03
NM_024549	TECT1	Homo sapiens tectonic 1, transcript variant 3	2.1	7.96E-04
NM_152237	GAS2L1	Homo sapiens growth arrest-specific 2 like 1, transcript variant 3	2.0	3.39E-03
NM_000097	CPOX	Homo sapiens coproporphyrinogen oxidase	2.0	4.44E-03
NM_002107	H3F3A	Homo sapiens H3 histone, family 3A	2.0	1.04E-02
NM_002393	MDM4	Homo sapiens Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	2.0	9.99E-04
NM_002882	RANBP1	Homo sapiens RAN binding protein 1	2.0	4.04E-03
NM_207334	FAM43B	Homo sapiens family with sequence similarity 43, member B	2.0	5.84E-05
NM_018281	ECHDC2	Homo sapiens enoyl Coenzyme A hydratase domain containing 2	2.0	3.65E-03
NM_025245	PBX4	Homo sapiens pre-B-cell leukemia homeobox 4	2.0	2.97E-03
NM_014812	CEP170	Homo sapiens centrosomal protein 170kDa, transcript variant alpha	2.0	3.19E-03
NM_004741	NOLC1	Homo sapiens nucleolar and coiled-body phosphoprotein 1	2.0	2.00E-03
NM_182641	BPTF	Homo sapiens bromodomain PHD finger transcription factor, transcript variant 1	2.0	9.30E-04
NM_005513	GTF2E1	Homo sapiens general transcription factor IIE, polypeptide 1 (alpha subunit, 56kD)	2.0	1.69E-03
NM_005694	COX17	Homo sapiens COX17 cytochrome c oxidase assembly homolog (S. cerevisiae), nuclear gene encoding mitochondrial protein	2.0	5.75E-03
NM_015089	PARC	Homo sapiens p53-associated parkin-like cytoplasmic protein	2.0	2.15E-03
NM_001415	EIF2S3	Homo sapiens eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	2.0	1.77E-03
NM_019024	HEATR5B	Homo sapiens HEAT repeat containing 5B	2.0	3.64E-06
NM_145809	LOC220594	Homo sapiens TL132 protein	2.0	1.10E-03
NM_004161	RAB1A	Homo sapiens RAB1A, member RAS oncogene family	2.0	1.44E-04
NM_002497	NEK2	Homo sapiens NIMA (never in mitosis gene a)-related kinase 2	2.0	1.69E-03
NM_032682	FOXP1	Homo sapiens forkhead box P1, transcript variant 1	2.0	7.65E-03
NM_152586	USP54	Homo sapiens ubiquitin specific peptidase 54	2.0	2.66E-05
NM_014602	PIK3R4	Homo sapiens phosphoinositide-3-kinase, regulatory subunit 4, p150	2.0	2.67E-03
NM_001023567	GOLGA8B	Homo sapiens golgi autoantigen, golgin subfamily a, 8B	2.0	4.36E-03
NM_024947	PHC3	Homo sapiens polyhomeotic homolog 3 (Drosophila)	2.0	1.65E-05
NM_018361	AGPAT5	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	2.0	3.46E-03
NM_024074	TMEM38A	Homo sapiens transmembrane protein 38A	2.0	1.04E-02
NM_000610	CD44	Homo sapiens CD44 molecule (Indian blood group), transcript variant 1	2.0	3.02E-03
NM_001040455	SIDT2	Homo sapiens SID1 transmembrane family, member 2	2.0	2.38E-03
NM_013994	DDR1	Homo sapiens discoidin domain receptor family, member 1, transcript variant 3	2.0	2.30E-04
NM_016423	ZNF219	Homo sapiens zinc finger protein 219	2.0	3.22E-04
NM_000305	PON2	Homo sapiens paraoxonase 2, transcript variant 1	2.0	4.25E-03
NM_002901	RCN1	Homo sapiens reticulocalbin 1, EF-hand calcium binding domain	2.0	9.57E-03
NM_032932	RAB11FIP4	Homo sapiens RAB11 family interacting protein 4 (class II)	2.0	1.75E-03
NM_018993	RIN2	Homo sapiens Ras and Rab interactor 2	2.0	3.83E-05
NM_177528	SULT1A2	Homo sapiens sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2, transcript variant 2	2.0	2.30E-04
NM_024638	QTRTD1	Homo sapiens queuine tRNA-ribosyltransferase domain containing 1	2.0	4.07E-04
NM_021830	PEO1	Homo sapiens progressive external ophthalmoplegia 1	2.0	1.98E-03
NM_020800	IFT80	Homo sapiens intraflagellar transport 80 homolog (Chlamydomonas)	2.0	2.12E-03
NM_000489	ATRX	Homo sapiens alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae), transcript variant 1	2.0	8.95E-03
NM_004332	BPHL	Homo sapiens biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	2.0	6.25E-04
