Gene symbol	Parametric p-value	FDR	Geometric mean of intensities (class empty/class miR-26a )	Probe set	Description
GABARAPL1	0.0038616	0.078267	0.7525583	208868_s_at	GABA(A) receptor-associated protein like 1
	0.0038649	0.078267	0.7421852	244267_at
GJA7	0.003867	0.078267	1.3374821	228776_at	gap junction protein, alpha 7, 45kDa (connexin 45)
HIVEP2	0.003882	0.0784363	0.7512507	212641_at	human immunodeficiency virus type I enhancer binding protein 2
GMNN	0.0038918	0.0785001	1.3320183	218350_s_at	geminin, DNA replication inhibitor
SLC1A4	0.003902	0.0785718	1.4298493	209610_s_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
PTPRS	0.0039195	0.0787899	1.3977573	226571_s_at	protein tyrosine phosphatase, receptor type, S
FLJ22814	0.0039585	0.0790728	1.3449442	220674_at	hypothetical protein FLJ22814
CBS	0.0039618	0.0790728	1.4043515	212816_s_at	cystathionine-beta-synthase
S100PBP	0.0039655	0.0790728	1.3768773	218370_s_at	S100P binding protein
NIPSNAP3B	0.0039662	0.0790728	0.740321	223764_x_at	nipsnap homolog 3B (C. elegans)
TMEM65	0.0039726	0.0790728	1.345701	241342_at	transmembrane protein 65
DCAL1	0.0039747	0.0790728	0.7339834	244413_at	dendritic cell-associated lectin-1
EID1	0.0039804	0.0790728	0.7117546	208670_s_at	EP300 interacting inhibitor of differentiation 1
LOC401152	0.0040044	0.0792769	0.6760429	224602_at	HCV F-transactivated protein 1
	0.0040108	0.0792769	0.7414018	232346_at	CDNA FLJ13580 fis, clone PLACE1008851
C16orf74	0.0040116	0.0792769	0.7570646	242509_at	Chromosome 16 open reading frame 74
KIAA1704	0.0040175	0.0792769	1.3225862	229891_x_at	KIAA1704
STS-1	0.0040301	0.079393	1.3567739	228359_at	Cbl-interacting protein Sts-1
DEDD	0.0040387	0.07943	0.681521	202480_s_at	death effector domain containing
THAP2	0.0040482	0.0794846	0.7051764	230380_at	THAP domain containing, apoptosis associated protein 2
URG4	0.0040632	0.0795075	0.6682974	244046_at	Up-regulated gene 4
TCF12	0.0040645	0.0795075	0.7251979	238735_at	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
MGC13098	0.0040707	0.0795075	0.7573303	224517_at	hypothetical protein MGC13098 /// hypothetical protein MGC13098
NFAT5	0.0040781	0.0795075	0.6720984	215092_s_at	nuclear factor of activated T-cells 5, tonicity-responsive
FAM98A	0.004083	0.0795075	0.667685	241832_at	family with sequence similarity 98, member A
EPSTI1	0.0041072	0.0795925	0.7503422	239979_at	Epithelial stromal interaction 1 (breast)
ISG15	0.0041073	0.0795925	0.6524777	205483_s_at	ISG15 ubiquitin-like modifier
KIAA1833	0.0041139	0.0795925	1.3253362	230361_at	hypothetical protein KIAA1833
CHAF1B	0.0041143	0.0795925	1.3436522	204775_at	chromatin assembly factor 1, subunit B (p60)
MAML2	0.0041444	0.0799968	0.7270295	234645_at	Mastermind-like 2 (Drosophila)
RNF19	0.00415	0.0799968	0.723949	230599_at	Ring finger protein 19
GPR180	0.0041555	0.0799968	1.4069698	1566257_at	G protein-coupled receptor 180
FLJ20245	0.0041888	0.0803343	0.7149281	219620_x_at	hypothetical protein FLJ20245
SP110	0.004198	0.0803343	0.7202054	223980_s_at	SP110 nuclear body protein
SACS	0.0042004	0.0803343	1.4215616	213262_at	spastic ataxia of Charlevoix-Saguenay (sacsin)
FCRL5	0.0042116	0.0803343	0.7104033	231647_s_at	Fc receptor-like 5
SENP7	0.0042119	0.0803343	0.6333314	220735_s_at	SUMO1/sentrin specific peptidase 7
FER	0.0042276	0.0803343	0.758631	206412_at	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)
CREBL2	0.0042279	0.0803343	1.4237664	201988_s_at	cAMP responsive element binding protein-like 2
C1orf93	0.0042329	0.0803343	1.3270672	231835_at	chromosome 1 open reading frame 93
ITPR2	0.0042342	0.0803343	0.759319	240458_at	Inositol 1,4,5-triphosphate receptor, type 2
	0.0042506	0.0805162	0.7414037	229810_at	Transcribed locus
KIAA1033	0.0042942	0.0812119	0.7554456	212795_at	KIAA1033
LY86	0.0043091	0.0813635	0.7499818	205859_at	lymphocyte antigen 86
FAM7A2	0.0043201	0.0814411	1.4556	1558750_a_at	Family with sequence similarity 7, member A2
FLJ31306	0.0043424	0.081508	0.6759497	225724_at	hypothetical protein FLJ31306
RNF125	0.0043456	0.081508	1.3680043	235199_at	ring finger protein 125
TRPM4	0.0043516	0.081508	0.7176453	219360_s_at	transient receptor potential cation channel, subfamily M, member 4
USP48	0.0043575	0.081508	1.3272133	229812_at	ubiquitin specific peptidase 48
LPIN1	0.0043769	0.081508	0.7560578	212272_at	lipin 1
LOC646208	0.0043835	0.081508	1.4067056	229640_x_at	Hypothetical LOC646208
MTHFD2L	0.0043859	0.081508	1.4649147	220346_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
LOC146909	0.0043875	0.081508	1.4294015	222039_at	hypothetical protein LOC146909
FRYL	0.0043894	0.081508	0.7162706	1563687_a_at	FRY-like
TXNIP	0.0043983	0.081508	0.7542998	201010_s_at	thioredoxin interacting protein
COMMD8	0.0043995	0.081508	1.479198	218351_at	COMM domain containing 8
NBPF1 /// NBPF10	0.0044078	0.081534	0.7483248	215434_x_at	neuroblastoma breakpoint family, member 1 /// neuroblastoma breakpoint family, member 10
CPEB4	0.0044155	0.0815488	0.6793986	242384_at	Cytoplasmic polyadenylation element binding protein 4
MCART6	0.0044281	0.0816539	0.6679213	229531_at	Mitochondrial carrier triple repeat 6
ABAT	0.0044827	0.0822668	0.7543738	209460_at	4-aminobutyrate aminotransferase
DPYSL2	0.004489	0.0822668	1.3645648	200762_at	dihydropyrimidinase-like 2
PMAIP1	0.0044949	0.0822668	1.3581927	204286_s_at	phorbol-12-myristate-13-acetate-induced protein 1
SLFN5	0.0044959	0.0822668	0.6840053	243999_at	schlafen family member 5
DEPDC6	0.004501	0.0822668	0.7611775	218858_at	DEP domain containing 6
	0.0045031	0.0822668	0.7328487	230294_at
HSPA14	0.004528	0.0825941	1.3318283	226887_at	heat shock 70kDa protein 14
C8orf70	0.0045455	0.0826982	0.683836	236215_at	Chromosome 8 open reading frame 70
NECAP1	0.0045477	0.0826982	0.7597328	209300_s_at	NECAP endocytosis associated 1
C6orf162	0.0045625	0.0828399	0.760799	236178_at	chromosome 6 open reading frame 162
GCC1	0.0045905	0.0832204	1.3869468	218912_at	GRIP and coiled-coil domain containing 1
HIST1H2BD	0.0046113	0.0833491	0.7400681	209911_x_at	histone cluster 1, H2bd
SCFD1	0.0046117	0.0833491	0.7629614	241775_at	Sec1 family domain containing 1
HIST1H2BG	0.0046362	0.0836512	0.7370453	215779_s_at	histone cluster 1, H2bg
MBNL2	0.0046458	0.0836512	0.76207	236699_at	Muscleblind-like 2 (Drosophila)
ADCY7	0.0046515	0.0836512	0.7225086	203741_s_at	adenylate cyclase 7
NDUFA5	0.0046588	0.0836512	0.754257	215850_s_at	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa
TAS2R14	0.0046638	0.0836512	0.7249537	1570384_at	Taste receptor, type 2, member 14
PMCH	0.0046823	0.0837289	1.3766551	206942_s_at	pro-melanin-concentrating hormone
RFC3	0.0046823	0.0837289	1.3299239	204128_s_at	replication factor C (activator 1) 3, 38kDa
OSBPL11	0.0047025	0.0839631	1.4843049	218304_s_at	oxysterol binding protein-like 11
BAGE4 /// BAGE2	0.0047287	0.0843035	0.7172649	1555408_at	B melanoma antigen family, member 4 /// B melanoma antigen family, member 2
FAM72A /// LOC653820 /// LOC729533	0.00474	0.0843777	1.3101633	225834_at	family with sequence similarity 72, member A /// similar to family with sequence similarity 72, member A /// similar to family with sequence similarity 72, member A
C5orf35	0.0047552	0.084521	0.7589547	238465_at	chromosome 5 open reading frame 35
PBXIP1	0.0047767	0.0847413	0.7105394	212259_s_at	pre-B-cell leukemia transcription factor interacting protein 1
FNDC3B	0.0047862	0.0847413	0.7622788	218618_s_at	fibronectin type III domain containing 3B
CTNNAL1	0.0047891	0.0847413	1.3078394	202468_s_at	catenin (cadherin-associated protein), alpha-like 1
LARP5	0.004814	0.0850545	1.3424261	208954_s_at	La ribonucleoprotein domain family, member 5
RIPK1	0.0048402	0.0852316	0.7104598	226551_at	receptor (TNFRSF)-interacting serine-threonine kinase 1
	0.0048425	0.0852316	0.757138	239135_at	Transcribed locus
SSX2IP	0.0048515	0.0852316	1.3936227	210871_x_at	synovial sarcoma, X breakpoint 2 interacting protein
	0.004864	0.0852316	1.425548	230312_at	Transcribed locus
MPP2	0.0048676	0.0852316	1.3168086	207984_s_at	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)
RFK	0.0048714	0.0852316	1.3728305	203224_at	riboflavin kinase
PRPF38A	0.0048745	0.0852316	1.3223521	223230_at	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A
TNRC6B	0.0049212	0.0858655	0.7319422	240174_at	Trinucleotide repeat containing 6B
MYL5	0.0049403	0.0858655	0.7528796	205145_s_at	myosin, light chain 5, regulatory
ZNF236	0.0049464	0.0858655	2.1269828	222227_at	zinc finger protein 236
CNOT4	0.0049498	0.0858655	0.7491363	210204_s_at	CCR4-NOT transcription complex, subunit 4
PRDX2	0.0049589	0.0858655	1.3347382	201006_at	peroxiredoxin 2
RND1	0.0049602	0.0858655	0.7660199	210056_at	Rho family GTPase 1
STX16	0.0049616	0.0858655	0.6521985	221638_s_at	syntaxin 16
RLF	0.0049708	0.0858989	1.3106436	204243_at	rearranged L-myc fusion
LOC152485 /// TPM3	0.0049946	0.086093	0.7648896	243618_s_at	Hypothetical protein LOC152485 /// Tropomyosin 3
WASL	0.0049966	0.086093	0.6408871	205809_s_at	Wiskott-Aldrich syndrome-like
CYCS	0.0050171	0.0863204	0.7352282	244546_at	cytochrome c, somatic
KIAA1794	0.0050723	0.0871433	1.3137115	213007_at	KIAA1794
LOC54103	0.0050851	0.0872093	0.6604411	222150_s_at	hypothetical protein LOC54103
PTGS1	0.0050909	0.0872093	0.7482504	238669_at	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
ZMAT1	0.0051027	0.087285	0.674703	226344_at	zinc finger, matrin type 1
STAT1	0.0051236	0.0875158	0.6473451	AFFX-HUMISGF3A/M97935_MB_at	signal transducer and activator of transcription 1, 91kDa
MTUS1	0.0051402	0.0876179	0.6996939	212095_s_at	mitochondrial tumor suppressor 1
R3HDM2	0.0051444	0.0876179	0.7650026	235701_at	R3H domain containing 2
ZBTB4	0.0051544	0.0876225	0.6584521	225629_s_at	zinc finger and BTB domain containing 4
SUV420H1	0.0051595	0.0876225	0.7417956	1565975_at	Suppressor of variegation 4-20 homolog 1 (Drosophila)
MLL3	0.005171	0.0876919	0.7597159	1557158_s_at	myeloid/lymphoid or mixed-lineage leukemia 3
NUFIP1	0.005204	0.0879324	1.311712	205136_s_at	nuclear fragile X mental retardation protein interacting protein 1
ZDHHC3	0.0052043	0.0879324	1.313543	236507_at	Zinc finger, DHHC-type containing 3
TCF12	0.0052076	0.0879324	0.7036621	215611_at	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
SCARB2	0.0052241	0.0879324	0.7273624	201646_at	scavenger receptor class B, member 2
STX3	0.0052281	0.0879324	0.6510465	216985_s_at	syntaxin 3
MGC72104	0.0052344	0.0879324	1.3179399	228247_at	Similar to FRG1 protein (FSHD region gene 1 protein)
KPNA4	0.00524	0.0879324	1.3265366	225267_at	karyopherin alpha 4 (importin alpha 3)
HHLA3	0.0052447	0.0879324	0.7552951	220387_s_at	HERV-H LTR-associating 3
SAAL1	0.0052687	0.0880289	1.3014879	225614_at	serum amyloid A-like 1
C15orf42	0.0052705	0.0880289	1.4215828	230021_at	chromosome 15 open reading frame 42
CRIPT	0.0052728	0.0880289	0.7494464	218643_s_at	cysteine-rich PDZ-binding protein
MAP2K5	0.0052994	0.0881775	1.3222562	211370_s_at	mitogen-activated protein kinase kinase 5
TSPAN3	0.005304	0.0881775	0.7368782	200972_at	tetraspanin 3
Multiple Gene Symbols	0.0053057	0.0881775	0.7340081	214693_x_at
SPBC24	0.005316	0.0881775	1.3216448	235572_at	spindle pole body component 24 homolog (S. cerevisiae)
C1orf135	0.005319	0.0881775	1.3821638	220011_at	chromosome 1 open reading frame 135
C10orf32	0.0053341	0.088304	0.6971347	225334_at	chromosome 10 open reading frame 32
RSPRY1	0.0053421	0.0883128	1.3254333	225770_at	ring finger and SPRY domain containing 1
TLR4	0.0053694	0.0886401	0.7501138	232068_s_at	toll-like receptor 4
SLC24A1	0.0054019	0.0890522	0.7546662	206081_at	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
ITGAV	0.0054167	0.0891719	0.7171532	241769_at	Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)
PRKACB	0.0054341	0.0893339	0.7305938	202742_s_at	protein kinase, cAMP-dependent, catalytic, beta
WDHD1	0.0054683	0.0897304	1.2989868	204728_s_at	WD repeat and HMG-box DNA binding protein 1
SPIN2A /// SPIN2B	0.0054734	0.0897304	0.7379612	211704_s_at	spindlin family, member 2A /// spindlin family, member 2A /// spindlin family, member 2B /// spindlin family, member 2B
SLC7A5	0.0054843	0.0897845	1.3376141	201195_s_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
SESN1	0.0054999	0.0899154	0.7690198	218346_s_at	sestrin 1
WTAP	0.0055193	0.090018	0.7646437	237663_at	Wilms tumor 1 associated protein
SLC26A11	0.0055291	0.090018	0.7697807	226679_at	solute carrier family 26, member 11
	0.0055451	0.090018	0.7157593	1568941_a_at
C17orf57 /// PPIH	0.00555	0.090018	1.3488526	236142_at	Chromosome 17 open reading frame 57 /// Peptidylprolyl isomerase H (cyclophilin H)
IFI44	0.005553	0.090018	0.5151655	214453_s_at	interferon-induced protein 44
	0.0055532	0.090018	0.6976988	241443_at
GPR133	0.005564	0.090018	0.7403111	232267_at	G protein-coupled receptor 133
NFYB	0.0055671	0.090018	1.3547758	244704_at	nuclear transcription factor Y, beta
FNBP1	0.0055941	0.090331	0.7639361	230389_at	Formin binding protein 1
	0.0056149	0.0905431	0.6657261	244346_at	Transcribed locus
CCDC90A	0.0056261	0.0906001	1.384673	227451_s_at	Coiled-coil domain containing 90A
SLAMF7	0.0056858	0.0914187	0.7365235	222838_at	SLAM family member 7
RNASEH2B	0.0056924	0.0914187	1.3224988	229210_at	ribonuclease H2, subunit B
ESD	0.0057165	0.0914309	1.2989631	228162_at	Esterase D/formylglutathione hydrolase
LOC391356	0.0057173	0.0914309	0.7595401	226243_at	similar to CG14903-PA
LOC388335	0.0057238	0.0914309	1.3396994	217693_x_at	Similar to RIKEN cDNA A730055C05 gene
ZNF513	0.0057241	0.0914309	0.7355677	225753_at	zinc finger protein 513
	0.005747	0.0916728	1.3549756	236994_at	CDNA FLJ30658 fis, clone DFNES2000432
CCNG2	0.0057623	0.0917191	0.6421495	211559_s_at	cyclin G2
TRIM22	0.0057731	0.0917191	0.7347555	213293_s_at	tripartite motif-containing 22
TRIO	0.0057757	0.0917191	0.762726	209012_at	triple functional domain (PTPRF interacting)
C1orf53	0.0057857	0.0917191	0.7690082	1558507_at	chromosome 1 open reading frame 53
DCC1	0.0057887	0.0917191	1.3318879	219000_s_at	defective in sister chromatid cohesion homolog 1 (S. cerevisiae)
IL6ST	0.0058114	0.0919555	0.7352434	211000_s_at	interleukin 6 signal transducer (gp130, oncostatin M receptor)
CASP7	0.0058344	0.0921614	0.759869	207181_s_at	caspase 7, apoptosis-related cysteine peptidase
MYCBP	0.0058462	0.0921614	1.2970875	203361_s_at	c-myc binding protein
	0.005849	0.0921614	1.4329221	229572_at	Transcribed locus
AGPAT4	0.0058623	0.0921614	0.7157475	219693_at	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)
CEP152	0.0058634	0.0921614	1.3566135	238535_at	centrosomal protein 152kDa
FAM125A	0.0058919	0.0923526	0.7387866	1556643_at	Family with sequence similarity 125, member A
DNASE1	0.0058939	0.0923526	0.7683611	240144_at	deoxyribonuclease I
MBNL2	0.005899	0.0923526	0.713789	232138_at	Muscleblind-like 2 (Drosophila)
	0.0059195	0.0925364	0.7053013	239245_at	Transcribed locus
UBE2H	0.0059264	0.0925364	0.7398658	239721_at	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
PTPRE	0.0059473	0.0927146	0.7712707	221840_at	protein tyrosine phosphatase, receptor type, E
FNDC3B	0.0059535	0.0927146	0.7661024	222693_at	fibronectin type III domain containing 3B
MFHAS1	0.0059743	0.0928328	1.3074288	225478_at	Malignant fibrous histiocytoma amplified sequence 1
	0.0059768	0.0928328	0.7230998	229754_at	CDNA clone IMAGE:4862812
	0.0060146	0.0930304	1.3001687	236090_at	Transcribed locus
USP1	0.0060166	0.0930304	1.3002591	202412_s_at	ubiquitin specific peptidase 1
TNKS	0.0060195	0.0930304	0.7557695	233152_x_at	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
SLAIN2	0.006021	0.0930304	0.7012736	233874_at	SLAIN motif family, member 2
	0.0060311	0.0930648	1.302866	239113_at
RFC2	0.0060471	0.0931841	1.2963	1053_at	replication factor C (activator 1) 2, 40kDa
C22orf5	0.0060546	0.0931841	1.2944031	202027_at	chromosome 22 open reading frame 5
LGALS8	0.0060644	0.0932135	1.3122508	208934_s_at	lectin, galactoside-binding, soluble, 8 (galectin 8)
CD59	0.0060868	0.0933305	0.7333762	200984_s_at	CD59 molecule, complement regulatory protein
	0.0060935	0.0933305	0.7398449	229297_at	Full-length cDNA clone CS0CAP006YP08 of Thymus of Homo sapiens (human)
LRP8	0.0060957	0.0933305	1.515841	1566903_at	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
CEACAM1	0.0061522	0.0937497	0.754383	211889_x_at	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
C15orf37	0.006155	0.0937497	0.7324412	1556588_at	chromosome 15 open reading frame 37
DNAJC9	0.0061605	0.0937497	1.308108	213088_s_at	DnaJ (Hsp40) homolog, subfamily C, member 9
BNIP1	0.006162	0.0937497	1.326191	37226_at	BCL2/adenovirus E1B 19kDa interacting protein 1
RFC2	0.0061726	0.0937497	1.2965214	203696_s_at	replication factor C (activator 1) 2, 40kDa
TMEM106A /// LOC728772	0.0061748	0.0937497	0.7727958	1552303_a_at	transmembrane protein 106A /// similar to transmembrane protein 106A
ECT2	0.0061786	0.0937497	1.3026324	219787_s_at	epithelial cell transforming sequence 2 oncogene
BIRC5	0.0062383	0.0945342	1.5175256	1555826_at	Baculoviral IAP repeat-containing 5 (survivin)
	0.0062629	0.0947855	1.3895066	237301_at	Transcribed locus
FLJ14668	0.0062742	0.0948351	1.4103085	215947_s_at	hypothetical protein FLJ14668
EXOC4	0.0062837	0.0948574	0.7183988	1557772_at	Exocyst complex component 4
FCER1G	0.0063051	0.0950539	0.6722057	1554899_s_at	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
PSAP	0.0063128	0.0950539	0.7508328	200866_s_at	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
TCF12	0.0063218	0.0950683	0.7456647	235925_at	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
C18orf54	0.0063324	0.0951067	1.409505	229442_at	chromosome 18 open reading frame 54
WWC3	0.0063432	0.0951098	0.6832162	225273_at	WWC family member 3
KIAA1244	0.0063487	0.0951098	0.7514949	227479_at	KIAA1244
MKLN1	0.006369	0.0951443	0.7466851	235067_at	muskelin 1, intracellular mediator containing kelch motifs
SIDT1	0.0063736	0.0951443	0.7424741	219734_at	SID1 transmembrane family, member 1
ALDH5A1	0.0063799	0.0951443	1.473798	203608_at	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)
CKLF	0.0063832	0.0951443	1.3314356	223451_s_at	chemokine-like factor
SQSTM1	0.0063944	0.0951912	0.7227581	244804_at	Sequestosome 1
SFRS11	0.0064081	0.0952751	0.7356583	237746_at	Splicing factor, arginine/serine-rich 11
TSPAN31	0.0064472	0.0954347	0.7437845	203227_s_at	tetraspanin 31
ZNF420	0.0064495	0.0954347	0.7741428	238937_at	zinc finger protein 420
ANKRD13C	0.0064622	0.0954347	0.743825	1556361_s_at	ankyrin repeat domain 13C
ARHGEF2	0.0064665	0.0954347	0.706351	1554783_s_at	rho/rac guanine nucleotide exchange factor (GEF) 2
	0.0064758	0.0954347	1.2963407	227041_at	CDNA FLJ31513 fis, clone NT2RI1000127
LOC727820	0.0064808	0.0954347	0.7741598	227383_at	hypothetical protein LOC727820
FLJ25778	0.0064816	0.0954347	0.7681723	238350_at	hypothetical protein FLJ25778
SGOL2	0.0064878	0.0954347	1.2922944	235425_at	shugoshin-like 2 (S. pombe)
RAPGEF2	0.0064915	0.0954347	0.7697734	238176_at	Rap guanine nucleotide exchange factor (GEF) 2
PGAP1	0.0064998	0.0954381	0.6803631	241801_at	GPI deacylase
RBL2	0.0065344	0.0958271	0.7450194	212332_at	retinoblastoma-like 2 (p130)
KIAA1841	0.0065434	0.0958401	1.3533105	243539_at	KIAA1841
MBNL2	0.0066197	0.0968377	0.7604275	232978_at	Muscleblind-like 2 (Drosophila)
RAPGEF2	0.0066331	0.0969138	0.7634753	203096_s_at	Rap guanine nucleotide exchange factor (GEF) 2
RICTOR	0.0066445	0.096924	0.6765471	1552734_at	rapamycin-insensitive companion of mTOR
ATF7IP	0.0066541	0.096924	0.7444815	216198_at	activating transcription factor 7 interacting protein
CPT1B	0.0066584	0.096924	0.7743742	241841_at	Carnitine palmitoyltransferase 1B (muscle)
	0.0066851	0.0971321	0.7043426	232259_s_at	Homo sapiens, clone IMAGE:4402152
OPN3	0.0066925	0.0971321	1.341185	219032_x_at	opsin 3 (encephalopsin, panopsin)
CENPK	0.0067003	0.0971321	1.3924709	222848_at	centromere protein K
LOC63920	0.0067168	0.0971321	0.7503528	220770_s_at	transposon-derived Buster3 transposase-like
SP100	0.0067181	0.0971321	0.7680722	237426_at	SP100 nuclear antigen
TMEM48	0.006722	0.0971321	1.3244645	234672_s_at	transmembrane protein 48
KLHL2	0.0067575	0.0975258	1.4007207	219157_at	kelch-like 2, Mayven (Drosophila)
CYSLTR1	0.0067962	0.0978915	0.7731019	230866_at	cysteinyl leukotriene receptor 1
C1orf85	0.0067994	0.0978915	0.7334631	1558693_s_at	chromosome 1 open reading frame 85
KIAA0280	0.0068174	0.0980312	0.7574711	36612_at	KIAA0280
LOC728769	0.0068458	0.0982595	0.7152421	238039_at	hypothetical protein LOC728769
CDR2	0.0068499	0.0982595	1.2943063	209501_at	cerebellar degeneration-related protein 2, 62kDa
PRPS2	0.0068949	0.0987851	1.4383731	230352_at	Phosphoribosyl pyrophosphate synthetase 2
CCDC49	0.0069081	0.0988012	1.332199	222706_at	coiled-coil domain containing 49
ACYP1	0.0069165	0.0988012	1.3161649	205260_s_at	acylphosphatase 1, erythrocyte (common) type
WDR37	0.0069211	0.0988012	0.7697372	211383_s_at	WD repeat domain 37
LRP10	0.0069449	0.0990214	0.7682718	231861_at	low density lipoprotein receptor-related protein 10
CD37	0.0070516	0.1004216	0.714571	204192_at	CD37 molecule
ACSS1	0.0071165	0.1011363	1.3991676	234484_s_at	acyl-CoA synthetase short-chain family member 1
DNAJB4	0.0071189	0.1011363	0.763509	203810_at	DnaJ (Hsp40) homolog, subfamily B, member 4
INTS4	0.0071967	0.1020177	1.3427275	1553670_at	integrator complex subunit 4
TIMM17A	0.0071982	0.1020177	1.4028048	215171_s_at	translocase of inner mitochondrial membrane 17 homolog A (yeast)
	0.0072115	0.1020837	0.7597816	235211_at	Transcribed locus
CYBA	0.0072239	0.102137	0.676747	203028_s_at	cytochrome b-245, alpha polypeptide
EBP	0.0072728	0.1026196	1.2976778	202735_at	emopamil binding protein (sterol isomerase)
FEN1	0.0072754	0.1026196	1.3467496	204768_s_at	flap structure-specific endonuclease 1
KIAA1212	0.0072865	0.1026537	0.7553197	219387_at	KIAA1212
SUV39H2	0.0073029	0.1027622	1.3786582	219262_at	suppressor of variegation 3-9 homolog 2 (Drosophila)
ZNF782	0.0073201	0.1028789	0.7281354	235290_at	Zinc finger protein 782
	0.0073361	0.1028789	1.3044879	226137_at	MRNA; cDNA DKFZp566M0947 (from clone DKFZp566M0947)
EVL	0.0073373	0.1028789	1.35167	244375_at	Enah/Vasp-like
PPA2	0.0073509	0.1028926	0.7484639	228366_at	pyrophosphatase (inorganic) 2
EVI2A	0.0073686	0.1028926	0.7550689	204774_at	ecotropic viral integration site 2A
CCAR1	0.0073688	0.1028926	0.6170726	239014_at	Cell division cycle and apoptosis regulator 1
SMAD5	0.0073731	0.1028926	0.7576959	205187_at	SMAD family member 5
DNASE1	0.0073888	0.1029734	0.7453742	241854_at	deoxyribonuclease I
WDR33	0.0074043	0.1029734	1.292804	229141_at	WD repeat domain 33
LOC286167	0.0074095	0.1029734	0.687137	225033_at	hypothetical protein LOC286167
FGD4	0.0074174	0.1029734	0.7446262	227948_at	FYVE, RhoGEF and PH domain containing 4
C9orf45	0.0074506	0.1029734	1.3031217	221422_s_at	chromosome 9 open reading frame 45 /// chromosome 9 open reading frame 45
RSPRY1	0.0074544	0.1029734	1.3046509	225773_at	ring finger and SPRY domain containing 1
ATAD2B	0.007458	0.1029734	1.2858687	213387_at	ATPase family, AAA domain containing 2B
ZNF573	0.0074644	0.1029734	0.7787354	235304_at	Zinc finger protein 573
TMEM107	0.0074666	0.1029734	1.3008857	224496_s_at	transmembrane protein 107 /// transmembrane protein 107
PGLS	0.0074767	0.1029734	0.760037	218388_at	6-phosphogluconolactonase
HSF2BP	0.0075167	0.1029734	1.355153	207020_at	heat shock transcription factor 2 binding protein
SRGAP2	0.0075331	0.1029734	0.7292797	1556202_at	SLIT-ROBO Rho GTPase activating protein 2
C5orf13	0.0075618	0.1029734	0.7720194	230424_at	chromosome 5 open reading frame 13
UGCGL2	0.0075927	0.1029734	0.7710151	1558466_at	UDP-glucose ceramide glucosyltransferase-like 2
ZNF532	0.0075973	0.1029734	0.7249891	220617_s_at	zinc finger protein 532
TMED6	0.0076003	0.1029734	1.296935	236430_at	transmembrane emp24 protein transport domain containing 6
	0.007607	0.1029734	0.6979267	239252_at
DDX3X	0.0076078	0.1029734	0.6912779	201211_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked
FAM81A	0.0076102	0.1029734	1.3223973	227756_at	Family with sequence similarity 81, member A
SDF2L1	0.0076167	0.1029734	1.2934581	218681_s_at	stromal cell-derived factor 2-like 1
ZNF718	0.0076203	0.1029734	1.3752221	1553269_at	zinc finger protein 718
LOC728923	0.0076236	0.1029734	0.7631847	235174_s_at	Hypothetical protein LOC728923
TRIM38	0.0076313	0.1029734	0.7546085	203567_s_at	tripartite motif-containing 38
TOPBP1	0.0076347	0.1029734	1.323507	202633_at	topoisomerase (DNA) II binding protein 1
TTC3	0.0076383	0.1029734	0.756754	208664_s_at	tetratricopeptide repeat domain 3
MYLIP	0.0076508	0.1029734	0.7532457	228097_at	myosin regulatory light chain interacting protein
DDX17	0.0076531	0.1029734	0.7754768	230180_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
FAM92A1	0.0076547	0.1029734	0.7275046	244014_x_at	Family with sequence similarity 92, member A1
RHOU	0.0076572	0.1029734	1.3854859	223168_at	ras homolog gene family, member U
EAF1	0.0076611	0.1029734	1.3480693	226952_at	ELL associated factor 1
	0.0076641	0.1029734	1.2887962	227545_at	Transcribed locus
JUB	0.007667	0.1029734	1.3416462	225806_at	jub, ajuba homolog (Xenopus laevis)
IGF2R	0.0076785	0.1029734	0.7339068	201393_s_at	insulin-like growth factor 2 receptor
