ID	P.Value	FC	Gene Symbol	Gene Name
221236_s_at	2.16E-04	0.3570	STMN4	STATHMIN-LIKE 4
205915_x_at	4.53E-04	0.3580	GRIN1	GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL D-ASPARTATE 1
208359_s_at	5.93E-05	0.3583	KCNJ4	POTASSIUM INWARDLY-RECTIFYING CHANNEL, SUBFAMILY J, MEMBER 4
203911_at	8.98E-05	0.3585	RAP1GA1	RAP1, GTPASE ACTIVATING PROTEIN 1
205414_s_at	5.87E-04	0.3595	KIAA0672	KIAA0672 GENE PRODUCT
202540_s_at	3.32E-04	0.3597	HMGCR	3-HYDROXY-3-METHYLGLUTARYL-COENZYME A REDUCTASE
205721_at	1.95E-06	0.3597	GFRA2	GDNF FAMILY RECEPTOR ALPHA 2
219425_at	5.66E-05	0.3598	SULT4A1	SULFOTRANSFERASE FAMILY 4A, MEMBER 1
215021_s_at	9.22E-04	0.3600	NRXN3	NEUREXIN 3
209685_s_at	2.33E-05	0.3605	PRKCB1	PROTEIN KINASE C, BETA 1
206850_at	1.33E-04	0.3610	RRP22	RAS-RELATED ON CHROMOSOME 22
219671_at	8.37E-05	0.3613	HPCAL4	HIPPOCALCIN LIKE 4
202016_at	2.33E-05	0.3620	MEST	MESODERM SPECIFIC TRANSCRIPT HOMOLOG (MOUSE)
219389_at	2.93E-04	0.3643	SUSD4	SUSHI DOMAIN CONTAINING 4
202178_at	1.13E-04	0.3645	PRKCZ	PROTEIN KINASE C, ZETA
213452_at	2.58E-05	0.3660	ZNF184	ZINC FINGER PROTEIN 184 (KRUPPEL-LIKE)
207026_s_at	7.76E-04	0.3667	ATP2B3	ATPASE, CA++ TRANSPORTING, PLASMA MEMBRANE 3
218953_s_at	3.99E-04	0.3668	MGC3265	HYPOTHETICAL PROTEIN MGC3265
206196_s_at	3.56E-05	0.3676	RPIP8	RAP2 INTERACTING PROTEIN 8
209597_s_at	6.70E-04	0.3680	PNMA2	PARANEOPLASTIC ANTIGEN MA2
219301_s_at	3.91E-04	0.3700	CNTNAP2	CONTACTIN ASSOCIATED PROTEIN-LIKE 2
212699_at	2.69E-05	0.3700	SCAMP5	SECRETORY CARRIER MEMBRANE PROTEIN 5
203909_at	5.04E-05	0.3717	SLC9A6	SOLUTE CARRIER FAMILY 9 (SODIUM/HYDROGEN EXCHANGER), MEMBER 6
213307_at	5.18E-05	0.3720	SHANK2	SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS 2
205874_at	1.75E-04	0.3733	ITPKA	INOSITOL 1,4,5-TRISPHOSPHATE 3-KINASE A
214735_at	1.65E-04	0.3734	PIP3-E	PHOSPHOINOSITIDE-BINDING PROTEIN PIP3-E
221810_at	1.63E-05	0.3741	RAB15	RAB15, MEMBER RAS ONOCOGENE FAMILY
206489_s_at	4.31E-04	0.3749	DLGAP1	DISCS, LARGE (DROSOPHILA) HOMOLOG-ASSOCIATED PROTEIN 1
213172_at	6.99E-04	0.3752	TTC9	TETRATRICOPEPTIDE REPEAT DOMAIN 9
212252_at	2.20E-04	0.3761	CAMKK2	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 2, BETA
215052_at	1.97E-05	0.3773	FRMPD4	FERM AND PDZ DOMAIN CONTAINING 4
221865_at	9.85E-04	0.3784	C9ORF91	CHROMOSOME 9 OPEN READING FRAME 91
207789_s_at	3.01E-05	0.3787	DPP6	DIPEPTIDYL-PEPTIDASE 6
214157_at	8.48E-04	0.3802	GNAS	GNAS COMPLEX LOCUS
206084_at	4.83E-04	0.3804	PTPRR	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, R
209557_s_at	5.18E-04	0.3804	NCDN	NEUROCHONDRIN
205591_at	5.21E-05	0.3804	OLFM1	OLFACTOMEDIN 1
219894_at	8.35E-05	0.3819	MAGEL2	MAGE-LIKE 2
218824_at	8.87E-04	0.3820	FLJ10781	HYPOTHETICAL PROTEIN FLJ10781
216073_at	9.24E-04	0.3825	LOC390616	SIMILAR TO RIKEN CDNA B230218L05 GENE
206281_at	4.71E-04	0.3847	ADCYAP1	ADENYLATE CYCLASE ACTIVATING POLYPEPTIDE 1 (PITUITARY)
219528_s_at	2.03E-05	0.3849	BCL11B	B-CELL CLL/LYMPHOMA 11B (ZINC FINGER PROTEIN)
221792_at	2.02E-04	0.3850	RAB6B	RAB6B, MEMBER RAS ONCOGENE FAMILY
212448_at	1.74E-05	0.3852	NEDD4L	NEURAL PRECURSOR CELL EXPRESSED, DEVELOPMENTALLY DOWN-REGULATED 4-LIKE
218888_s_at	7.89E-04	0.3853	NETO2	HYPOTHETICAL PROTEIN FLJ10430
204237_at	2.59E-04	0.3856	GULP1	GULP, ENGULFMENT ADAPTOR PTB DOMAIN CONTAINING 1
203861_s_at	4.67E-05	0.3883	ACTN2	ACTININ, ALPHA 2
218324_s_at	2.96E-05	0.3890	SPATS2	SPERMATOGENESIS ASSOCIATED, SERINE-RICH 2
220334_at	1.53E-05	0.3893	RGS17	REGULATOR OF G-PROTEIN SIGNALLING 17
209186_at	2.17E-04	0.3896	ATP2A2	ATPASE, CA++ TRANSPORTING, CARDIAC MUSCLE, SLOW TWITCH 2
204729_s_at	7.51E-04	0.3899	STX1A	SYNTAXIN 1A (BRAIN)
212555_at	6.73E-04	0.3914	PRKAR1B	PROTEIN KINASE, CAMP-DEPENDENT, REGULATORY, TYPE I, BETA
212446_s_at	6.26E-04	0.3916	LASS6	LAG1 LONGEVITY ASSURANCE HOMOLOG 6 (S. CEREVISIAE)
212215_at	3.31E-04	0.3916	PREPL	PROLYL ENDOPEPTIDASE-LIKE
202754_at	5.86E-05	0.3923	R3HDM1	R3H DOMAIN CONTAINING 1
217930_s_at	6.21E-04	0.3923	TOLLIP	TOLL INTERACTING PROTEIN
206857_s_at	9.29E-05	0.3927	FKBP1B	FK506 BINDING PROTEIN 1B, 12.6 KDA
212701_at	6.28E-05	0.3927	TLN2	TALIN 2
212801_at	9.19E-05	0.3931	CIT	CITRON (RHO-INTERACTING, SERINE/THREONINE KINASE 21)
208906_at	2.75E-04	0.3936	BSCL2/HNRP UL2	BERNARDINELLI-SEIP CONGENITAL LIPODYSTROPHY 2 (SEIPIN), HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U-LIKE 2
214607_at	2.80E-05	0.3941	PAK3	P21 (CDKN1A)-ACTIVATED KINASE 3
219400_at	7.59E-04	0.3946	CNTNAP1	CONTACTIN ASSOCIATED PROTEIN 1
204591_at	5.33E-04	0.3947	CHL1	CELL ADHESION MOLECULE WITH HOMOLOGY TO L1CAM (CLOSE HOMOLOG OF L1)
205294_at	5.11E-06	0.3962	BAIAP2	BAI1-ASSOCIATED PROTEIN 2
213484_at	4.49E-04	0.3966	NA	,CONSENSUS INCLUDES GB:AI097640 /FEA=EST /DB_XREF=GI:3445898 /DB_XREF=
210347_s_at	3.53E-04	0.3975	BCL11A	B-CELL CLL/LYMPHOMA 11A (ZINC FINGER PROTEIN)
213793_s_at	2.02E-04	0.3978	HOMER1	HOMER HOMOLOG 1 (DROSOPHILA)
213009_s_at	1.89E-04	0.3980	TRIM37	TRIPARTITE MOTIF-CONTAINING 37
219365_s_at	5.18E-04	0.3984	CAMKV	CAM KINASE-LIKE VESICLE-ASSOCIATED
219549_s_at	4.79E-04	0.3994	RTN3	RETICULON 3
215543_s_at	4.45E-04	0.4001	LARGE	LIKE-GLYCOSYLTRANSFERASE
220235_s_at	8.63E-05	0.4004	C1ORF103	CHROMOSOME 1 OPEN READING FRAME 103
206404_at	9.04E-04	0.4006	FGF9	FIBROBLAST GROWTH FACTOR 9 (GLIA-ACTIVATING FACTOR)
221493_at	2.57E-04	0.4006	TSPYL1	TSPY-LIKE 1
213386_at	9.38E-04	0.4007	C9ORF125	CHROMOSOME 9 OPEN READING FRAME 125
212508_at	1.30E-04	0.4008	MOAP1	MODULATOR OF APOPTOSIS 1
206976_s_at	3.56E-04	0.4013	HSPH1	HEAT SHOCK 105KDA/110KDA PROTEIN 1
218751_s_at	7.75E-06	0.4018	FBXW7	F-BOX AND WD-40 DOMAIN PROTEIN 7 (ARCHIPELAGO HOMOLOG, DROSOPHILA)
218434_s_at	2.97E-04	0.4037	AACS	ACETOACETYL-COA SYNTHETASE
202439_s_at	1.89E-04	0.4041	IDS	IDURONATE 2-SULFATASE (HUNTER SYNDROME)
200734_s_at	1.49E-04	0.4048	ARF3	ADP-RIBOSYLATION FACTOR 3
213108_at	3.40E-04	0.4049	CAMK2A	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II ALPHA
204375_at	4.49E-05	0.4059	CLSTN3	CALSYNTENIN 3
63305_at	5.57E-04	0.4064	PKNOX2	PBX/KNOTTED 1 HOMEOBOX 2
207693_at	4.88E-05	0.4064	CACNB4	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, BETA 4 SUBUNIT
218725_at	3.90E-05	0.4081	SLC25A22	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER: GLUTAMATE), MEMBER 22
208051_s_at	3.96E-04	0.4084	PAIP1	POLY(A) BINDING PROTEIN INTERACTING PROTEIN 1
209635_at	8.97E-05	0.4094	AP1S1	ADAPTOR-RELATED PROTEIN COMPLEX 1, SIGMA 1 SUBUNIT
215149_at	2.02E-04	0.4113	NA	,CONSENSUS INCLUDES GB:AF052109.1 /DEF=HOMO SAPIENS CLONE 23927 MRNA S
214436_at	4.85E-05	0.4119	FBXL2	F-BOX AND LEUCINE-RICH REPEAT PROTEIN 2
206014_at	1.45E-04	0.4121	ACTL6B	ACTIN-LIKE 6B
202432_at	8.11E-04	0.4125	PPP3CB	PROTEIN PHOSPHATASE 3 (FORMERLY 2B), CATALYTIC SUBUNIT, BETA ISOFORM (...
206322_at	6.63E-04	0.4157	SYN3	SYNAPSIN III
208308_s_at	2.59E-04	0.4158	GPI	GLUCOSE PHOSPHATE ISOMERASE
212928_at	1.16E-04	0.4158	TSPYL4	TSPY-LIKE 4
218952_at	5.71E-04	0.4159	PCSK1N	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 1 INHIBITOR
215716_s_at	1.07E-04	0.4164	ATP2B1	ATPASE, CA++ TRANSPORTING, PLASMA MEMBRANE 1
202192_s_at	2.26E-04	0.4166	GAS7	GROWTH ARREST-SPECIFIC 7
201050_at	4.26E-04	0.4183	PLD3	PHOSPHOLIPASE D FAMILY, MEMBER 3
209064_x_at	6.99E-04	0.4183	PAIP1	POLY(A) BINDING PROTEIN INTERACTING PROTEIN 1
221931_s_at	3.98E-04	0.4184	SEH1L	SEH1-LIKE (S. CEREVISIAE)
203431_s_at	8.69E-04	0.4185	RICS	RHO GTPASE-ACTIVATING PROTEIN
205122_at	7.04E-04	0.4189	TMEFF1	TRANSMEMBRANE PROTEIN WITH EGF-LIKE AND TWO FOLLISTATIN-LIKE DOMAINS 1
204684_at	3.68E-04	0.4195	NPTX1	NEURONAL PENTRAXIN I
213234_at	6.46E-04	0.4196	KIAA1467	KIAA1467
203224_at	8.60E-05	0.4196	RFK	RIBOFLAVIN KINASE
221901_at	3.42E-05	0.4199	KIAA1644	KIAA1644 PROTEIN
208032_s_at	3.96E-04	0.4213	GRIA3	GLUTAMATE RECEPTOR, IONOTROPHIC, AMPA 3
203485_at	8.85E-05	0.4214	RTN1	RETICULON 1
209956_s_at	8.29E-04	0.4227	CAMK2B	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II BETA
205462_s_at	7.98E-04	0.4244	HPCAL1	HIPPOCALCIN-LIKE 1
216967_at	6.28E-04	0.4245	GAP43	GROWTH ASSOCIATED PROTEIN 43
203402_at	7.10E-04	0.4246	KCNAB2	POTASSIUM VOLTAGE-GATED CHANNEL, SHAKER-RELATED SUBFAMILY, BETA MEMBER...
219688_at	5.01E-04	0.4252	BBS7	BARDET-BIEDL SYNDROME 7
203680_at	2.71E-05	0.4257	PRKAR2B	PROTEIN KINASE, CAMP-DEPENDENT, REGULATORY, TYPE II, BETA
221482_s_at	8.92E-05	0.4260	ARPP-19	CYCLIC AMP PHOSPHOPROTEIN, 19 KD
203618_at	3.06E-04	0.4262	FAIM2	FAS APOPTOTIC INHIBITORY MOLECULE 2
218786_at	3.42E-06	0.4262	NT5DC3	5-NUCLEOTIDASE DOMAIN CONTAINING 3
204584_at	5.28E-04	0.4267	L1CAM	L1 CELL ADHESION MOLECULE
210380_s_at	1.31E-04	0.4272	CACNA1G	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, ALPHA 1G SUBUNIT
207869_s_at	8.94E-04	0.4277	CACNA1G	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, ALPHA 1G SUBUNIT
219277_s_at	9.28E-04	0.4282	OGDHL	OXOGLUTARATE DEHYDROGENASE-LIKE
212213_x_at	3.85E-04	0.4289	OPA1	OPTIC ATROPHY 1 (AUTOSOMAL DOMINANT)
219225_at	8.66E-05	0.4290	PGBD5	PIGGYBAC TRANSPOSABLE ELEMENT DERIVED 5
205738_s_at	4.25E-04	0.4291	FABP3	FATTY ACID BINDING PROTEIN 3, MUSCLE AND HEART (MAMMARY-DERIVED GROWTH...
206114_at	6.11E-04	0.4291	EPHA4	EPH RECEPTOR A4
203738_at	5.32E-04	0.4294	FLJ11193	HYPOTHETICAL PROTEIN FLJ11193
205293_x_at	1.35E-04	0.4309	BAIAP2	BAI1-ASSOCIATED PROTEIN 2
201556_s_at	4.76E-04	0.4309	VAMP2	VESICLE-ASSOCIATED MEMBRANE PROTEIN 2 (SYNAPTOBREVIN 2)
214023_x_at	1.31E-04	0.4316	TUBB2B	TUBULIN, BETA 2B
220462_at	1.15E-05	0.4326	TAIP-2	TGF-BETA INDUCED APOTOSIS PROTEIN 2
218935_at	5.14E-04	0.4327	EHD3	EH-DOMAIN CONTAINING 3
210675_s_at	3.53E-04	0.4327	PTPRR	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, R
215172_at	9.43E-04	0.4330	RP11-142I17.1/PTP N20A	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 20B
218613_at	2.66E-04	0.4335	PSD3	PLECKSTRIN AND SEC7 DOMAIN CONTAINING 3
213045_at	2.22E-05	0.4338	MAST3	MICROTUBULE ASSOCIATED SERINE/THREONINE KINASE 3
203389_at	6.81E-04	0.4339	KIF3C	KINESIN FAMILY MEMBER 3C
205590_at	8.73E-05	0.4340	RASGRP1	RAS GUANYL RELEASING PROTEIN 1 (CALCIUM AND DAG-REGULATED)
206339_at	5.98E-04	0.4346	CART	COCAINE-AND AMPHETAMINE-REGULATED TRANSCRIPT
212233_at	1.45E-04	0.4354	MAP1B	MICROTUBULE-ASSOCIATED PROTEIN 1B
212552_at	7.71E-05	0.4362	HPCAL1	HIPPOCALCIN-LIKE 1
211056_s_at	2.95E-04	0.4370	SRD5A1	STEROID-5-ALPHA-REDUCTASE, ALPHA POLYPEPTIDE 1 (3-OXO-5 ALPHA-STEROID ...
208977_x_at	5.44E-05	0.4377	TUBB2C	TUBULIN, BETA 2C
214997_at	5.90E-04	0.4400	GOLGA1	GOLGI AUTOANTIGEN, GOLGIN SUBFAMILY A, 1
218546_at	1.62E-04	0.4408	C1ORF115	CHROMOSOME 1 OPEN READING FRAME 115
210078_s_at	8.24E-04	0.4424	KCNAB1	POTASSIUM VOLTAGE-GATED CHANNEL, SHAKER-RELATED SUBFAMILY, BETA MEMBER...
206215_at	3.18E-05	0.4435	OPCML	OPIOID BINDING PROTEIN/CELL ADHESION MOLECULE-LIKE
203769_s_at	8.45E-04	0.4445	STS	STEROID SULFATASE (MICROSOMAL), ARYLSULFATASE C, ISOZYME S
218501_at	3.64E-04	0.4449	ARHGEF3	RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 3
203855_at	3.31E-04	0.4450	WDR47	WD REPEAT DOMAIN 47
217992_s_at	8.85E-04	0.4463	EFHD2	EF-HAND DOMAIN FAMILY, MEMBER D2
204287_at	2.24E-05	0.4468	SYNGR1	SYNAPTOGYRIN 1
218259_at	5.63E-05	0.4484	MKL2	MKL/MYOCARDIN-LIKE 2
213609_s_at	6.13E-04	0.4487	SEZ6L	SEIZURE RELATED GENE 6 (MOUSE)-LIKE
219338_s_at	3.87E-04	0.4491	LRRC49	LEUCINE RICH REPEAT CONTAINING 49
204966_at	8.35E-04	0.4509	BAI2	BRAIN-SPECIFIC ANGIOGENESIS INHIBITOR 2
212372_at	1.11E-04	0.4511	MYH10	MYOSIN, HEAVY POLYPEPTIDE 10, NON-MUSCLE
203745_at	8.53E-04	0.4515	HCCS	HOLOCYTOCHROME C SYNTHASE (CYTOCHROME C HEME-LYASE)
213333_at	3.47E-04	0.4537	MDH2	MALATE DEHYDROGENASE 2, NAD (MITOCHONDRIAL)
40472_at	8.87E-04	0.4545	AGPAT7	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 7 (LYSOPHOSPHATIDIC ACID ...
214822_at	5.60E-04	0.4549	FAM5B	FAMILY WITH SEQUENCE SIMILARITY 5, MEMBER B
209794_at	2.81E-04	0.4586	SRGAP3	SLIT-ROBO RHO GTPASE ACTIVATING PROTEIN 3
210404_x_at	7.20E-04	0.4593	CAMK2B	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II BETA
213676_at	9.83E-04	0.4593	RP11-444E17.5/AA RSL	ALANYL-TRNA SYNTHETASE LIKE
206906_at	4.39E-06	0.4599	ICAM5	INTERCELLULAR ADHESION MOLECULE 5, TELENCEPHALIN
213726_x_at	9.14E-05	0.4606	TUBB2C	TUBULIN, BETA 2C
221933_at	2.49E-04	0.4608	NLGN4X	NEUROLIGIN 4, X-LINKED
202191_s_at	1.23E-04	0.4609	GAS7	GROWTH ARREST-SPECIFIC 7
219637_at	4.19E-04	0.4619	ARMC9	HYPOTHETICAL PROTEIN FLJ23510
218657_at	1.70E-04	0.4625	RAPGEFL1	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF)-LIKE 1
203111_s_at	5.09E-04	0.4627	PTK2B	PTK2B PROTEIN TYROSINE KINASE 2 BETA
214306_at	5.65E-04	0.4628	OPA1	OPTIC ATROPHY 1 (AUTOSOMAL DOMINANT)
214655_at	1.94E-04	0.4640	GPR6	G PROTEIN-COUPLED RECEPTOR 6
212611_at	7.31E-04	0.4643	DTX4	DELTEX 4 HOMOLOG (DROSOPHILA)
209205_s_at	9.13E-04	0.4647	LMO4	LIM DOMAIN ONLY 4
204505_s_at	5.81E-04	0.4657	EPB49	ERYTHROCYTE MEMBRANE PROTEIN BAND 4.9 (DEMATIN)
202279_at	6.65E-04	0.4657	C14ORF2	CHROMOSOME 14 OPEN READING FRAME 2
203864_s_at	3.04E-04	0.4662	ACTN2	ACTININ, ALPHA 2
202457_s_at	7.10E-05	0.4663	PPP3CA	PROTEIN PHOSPHATASE 3 (FORMERLY 2B), CATALYTIC SUBUNIT, ALPHA ISOFORM ...
47560_at	4.75E-04	0.4679	LPHN1	LATROPHILIN 1
211006_s_at	1.92E-05	0.4683	KCNB1	POTASSIUM VOLTAGE-GATED CHANNEL, SHAB-RELATED SUBFAMILY, MEMBER 1
204604_at	6.38E-04	0.4687	PFTK1	PFTAIRE PROTEIN KINASE 1
206342_x_at	1.19E-04	0.4701	IDS	IDURONATE 2-SULFATASE (HUNTER SYNDROME)
201972_at	3.11E-04	0.4709	ATP6V1A	ATPASE, H+ TRANSPORTING, LYSOSOMAL 70KDA, V1 SUBUNIT A
209281_s_at	3.04E-04	0.4713	ATP2B1	ATPASE, CA++ TRANSPORTING, PLASMA MEMBRANE 1
213242_x_at	2.30E-04	0.4721	KIAA0284	KIAA0284
212727_at	2.92E-04	0.4723	DLG3	DISCS, LARGE HOMOLOG 3 (NEUROENDOCRINE-DLG, DROSOPHILA)
212383_at	9.27E-06	0.4728	ATP6V0A1	ATPASE, H+ TRANSPORTING, LYSOSOMAL V0 SUBUNIT A1
201557_at	3.15E-04	0.4731	VAMP2	VESICLE-ASSOCIATED MEMBRANE PROTEIN 2 (SYNAPTOBREVIN 2)
219668_at	1.45E-04	0.4734	GDAP1L1	GANGLIOSIDE-INDUCED DIFFERENTIATION-ASSOCIATED PROTEIN 1-LIKE 1
216184_s_at	3.43E-04	0.4745	RIMS1	REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS 1
219005_at	5.50E-04	0.4752	C19ORF4	CHROMOSOME 19 OPEN READING FRAME 4
212646_at	7.96E-04	0.4755	RAFTLIN	RAFT-LINKING PROTEIN
205807_s_at	6.58E-05	0.4758	TUFT1	TUFTELIN 1
212880_at	1.51E-04	0.4763	WDR7	WD REPEAT DOMAIN 7
215423_at	2.90E-04	0.4767	NA	,CONSENSUS INCLUDES GB:U52827.1 /DEF=HOMO SAPIENS CRI-DU-CHAT REGION M
209871_s_at	4.06E-04	0.4768	APBA2	AMYLOID BETA (A4) PRECURSOR PROTEIN-BINDING, FAMILY A, MEMBER 2 (X11-L...
213186_at	8.28E-04	0.4769	DZIP3	ZINC FINGER DAZ INTERACTING PROTEIN 3
201082_s_at	9.20E-04	0.4771	DCTN1	DYNACTIN 1 (P150, GLUED HOMOLOG, DROSOPHILA)
213055_at	5.90E-05	0.4775	CD47	CD47 ANTIGEN (RH-RELATED ANTIGEN, INTEGRIN-ASSOCIATED SIGNAL TRANSDUCE...
219170_at	2.77E-04	0.4778	FSD1	FIBRONECTIN TYPE III AND SPRY DOMAIN CONTAINING 1
202254_at	9.31E-05	0.4807	SIPA1L1	SIGNAL-INDUCED PROLIFERATION-ASSOCIATED 1 LIKE 1
213421_x_at	2.48E-04	0.4812	PRSS3	PROTEASE, SERINE, 3 (MESOTRYPSIN)
217841_s_at	2.84E-04	0.4835	PPME1	PROTEIN PHOSPHATASE METHYLESTERASE 1
206888_s_at	2.94E-04	0.4844	ARHGDIG	RHO GDP DISSOCIATION INHIBITOR (GDI) GAMMA
213834_at	3.75E-04	0.4846	IQSEC3	IQ MOTIF AND SEC7 DOMAIN 3
204735_at	1.71E-04	0.4854	PDE4A	PHOSPHODIESTERASE 4A, CAMP-SPECIFIC (PHOSPHODIESTERASE E2 DUNCE HOMOLO...
209914_s_at	6.09E-04	0.4857	NRXN1	NEUREXIN 1
212703_at	2.25E-04	0.4858	TLN2	TALIN 2
213276_at	7.06E-05	0.4866	CAMK2B	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II BETA
218597_s_at	2.38E-04	0.4867	C10ORF70	CHROMOSOME 10 OPEN READING FRAME 70
215321_at	3.10E-04	0.4871	RPIB9	RAP2-BINDING PROTEIN 9
213832_at	8.50E-04	0.4876	NA	,CONSENSUS INCLUDES GB:AA530995 /FEA=EST /DB_XREF=GI:2273701 /DB_XREF=
212736_at	4.44E-04	0.4882	C16ORF45	CHROMOSOME 16 OPEN READING FRAME 45
218539_at	2.04E-04	0.4892	FBXO34	F-BOX PROTEIN 34
205722_s_at	2.10E-04	0.4894	GFRA2	GDNF FAMILY RECEPTOR ALPHA 2
214668_at	1.61E-04	0.4899	C13ORF1	CHROMOSOME 13 OPEN READING FRAME 1
212223_at	4.28E-04	0.4910	IDS	IDURONATE 2-SULFATASE (HUNTER SYNDROME)
207753_at	4.32E-04	0.4911	ZNF304	ZINC FINGER PROTEIN 304
201561_s_at	3.94E-05	0.4937	CLSTN1	CALSYNTENIN 1
219288_at	3.45E-04	0.4943	C3ORF14	CHROMOSOME 3 OPEN READING FRAME 14
208732_at	4.06E-04	0.4947	RAB2	RAB2, MEMBER RAS ONCOGENE FAMILY
204763_s_at	9.48E-05	0.4955	GNAO1	GUANINE NUCLEOTIDE BINDING PROTEIN (G PROTEIN), ALPHA ACTIVATING ACTIV...
218906_x_at	2.34E-04	0.4969	KLC2	KINESIN LIGHT CHAIN 2
209793_at	7.30E-04	0.4977	GRIA1	GLUTAMATE RECEPTOR, IONOTROPIC, AMPA 1
207227_x_at	3.87E-04	0.4988	RFPL2	RET FINGER PROTEIN-LIKE 2
201433_s_at	9.78E-04	0.4990	PTDSS1	PHOSPHATIDYLSERINE SYNTHASE 1
217897_at	4.62E-04	0.4990	FXYD6	FXYD DOMAIN CONTAINING ION TRANSPORT REGULATOR 6
214848_at	2.02E-04	0.4994	YWHAZ	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN...
207556_s_at	6.49E-04	0.4997	DGKZ	DIACYLGLYCEROL KINASE, ZETA 104KDA
