Probeset ID	Gene symbol	Description	FC (log2ratio)	Function
219658_at	PTCD2	pentatricopeptide repeat domain 2	-1.12	others
220943_s_at		NA	-1.12	others
222013_x_at	FAM86A	NA	-1.12	others
218491_s_at	THYN1	thymocyte nuclear protein 1 isoform 1	-1.11	others
222039_at	Q86Y91_HUMAN	NA	-1.11	others
205224_at	SURF2	Surfeit locus protein 2 (Surf-2).	-1.1	others
211071_s_at	MLLT11	Protein AF1q.	-1.1	others
216521_s_at	BRCC3	C6.1A protein.	-1.1	others
216952_s_at	LMNB2	Lamin B2.	-1.1	others
41858_at		FGF receptor activating protein 1	-1.1	others
214717_at	Q9NT46_HUMAN	NA	-1.1	others
208107_s_at		exonuclease NEF-sp	-1.09	others
214252_s_at	CLN5	Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5).	-1.09	others
214713_at	YLPM1	YLP motif containing protein 1 (Nuclear protein ZAP3) (ZAP113).	-1.09	others
219596_at	THAP10	THAP domain-containing protein 10.	-1.09	others
221543_s_at	SPFH2	SPFH domain protein 2 precursor.	-1.09	others
205238_at		NA	-1.09	others
218726_at		NA	-1.09	others
204218_at	HS020_HUMAN	Protein HSPC020.	-1.08	others
210285_x_at	Q9BZS4_HUMAN	PNAS-132.	-1.08	others
218477_at	TMEM14A	Transmembrane protein 14A.	-1.08	others
219885_at		NA	-1.08	others
204244_s_at	DBF4	activator of S phase kinase	-1.07	others
208906_at	HNRPUL2	Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein).	-1.07	others
214765_s_at	ASAHL	N-acylethanolamine-hydrolyzing acid amidase precursor	-1.07	others
218069_at		NA	-1.07	others
219785_s_at	Q9H693_HUMAN	NA	-1.07	others
210830_s_at	PON2	Serum paraoxonase/arylesterase 2 (Serum aryldialkylphosphatase 2) (Aromatic esterase 2)	-1.06	others
212910_at	THAP11	THAP domain-containing protein 11.	-1.06	others
219648_at		whn-dependent transcript 2	-1.06	others
219806_s_at	FN5_HUMAN	Protein FN5.	-1.06	others
205519_at	WDR76	WD repeat domain 76	-1.05	others
206650_at	IQCC	IQ motif containing C	-1.05	others
218078_s_at	ZDHHC3	Palmitoyltransferase ZDHHC3 (Zinc finger DHHC domain- containing protein 3)	-1.05	others
219203_at	CN122_HUMAN	UPF0172 protein C14orf122.	-1.05	others
201120_s_at	PGRMC1	Membrane associated progesterone receptor component 1 (mPR).	-1.04	others
209796_s_at	TMEM4	MIR-interacting saposin-like protein precursor (Transmembrane protein 4)	-1.04	others
218024_at	BRP44L	Brain protein 44-like protein.	-1.04	others
219345_at	BOLA1	BolA-like protein 1.	-1.04	others
204565_at	THEM2	Thioesterase superfamily member 2.	-1.03	others
205439_at	GSTT2	Glutathione S-transferase theta 2	-1.03	others
208885_at	LCP1	L-plastin (Lymphocyte cytosolic protein 1) (LCP-1) (LC64P).	-1.03	others
220647_s_at	CHCHD8	coiled-coil-helix-coiled-coil-helix domain containing 8	-1.03	others
218300_at		NA	-1.03	others
220176_at	NUBPL	NA	-1.03	others
221951_at	TMEM80	NA	-1.03	others
201032_at	BLCAP	Bladder cancer-associated protein (Bladder cancer 10 kDa protein)	-1.02	others
215983_s_at	UBXD6	UBX domain-containing protein 6 (Rep-8 protein)	-1.02	others
218493_at	CP033_HUMAN	U11/U12 snRNP 25 kDa protein (Minus-99 protein).	-1.02	others
55093_at	CHGUT_HUMAN	Chondroitin sulfate glucuronyltransferase (N- acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase)	-1.02	others
203054_s_at	TCTA	T-cell leukemia translocation-associated gene protein.	-1.01	others
213861_s_at		NA	-1.01	others
209891_at	SPBC25	spindle pole body component 25	-1	others
218418_s_at	Q9UFS0_HUMAN	NA	-1	others
219166_at	CN104_HUMAN	NA	-1	others
220840_s_at		NA	-1	others
