Refseq	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_014462	27257	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.56750726	1.0218237	NA
NM_032881	84967	LSM10	LSM10, U7 small nuclear RNA associated	2.7454422	5.7639809	NA
NM_021177	57819	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.20138369	3.3991674	NA
NM_012321	25804	LSM4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.23234804	1.4567723	NA
NM_012322	23658	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.63469525	7.6537443	NA
NM_007080	11157	LSM6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.85455464	9.8653909	NA
NM_016199	51690	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	3.27810773	1.219488	NA
NM_032356	84316	LSMD1	LSM domain containing 1	1.80344426	5.3706176	NA
NM_015925	51599	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_205835	51599	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_205834	51599	LSR	lipolysis stimulated lipoprotein receptor	0.40957751	3.753678	-2.441540308
NM_181657	1241	LTB4R	leukotriene B4 receptor	0.35642204	1.7079054	-2.805662635
NM_000428	4053	LTBP2	latent transforming growth factor beta binding protein 2	1.6795917	9.0782945	NA
NM_002349	4065	LY75	lymphocyte antigen 75	3.36343389	0.637618	NA
NM_001002257	253558	LYCAT	lysocardiolipin acyltransferase	0.42386232	6.8159167	-2.359256657
NM_182551	253558	LYCAT	lysocardiolipin acyltransferase	0.42386232	6.8159167	-2.359256657
NM_007260	11313	LYPLA2	lysophospholipase II	2.30589086	1.9982331	NA
NM_212551	388695	LYSMD1	LysM, putative peptidoglycan-binding, domain containing 1	1.93463169	8.27025	NA
NM_006767	8216	LZTR1	leucine-zipper-like transcription regulator 1	2.06929192	8.1979458	NA
NM_012090	23499	MACF1	microtubule-actin crosslinking factor 1	0.47388481	8.593663	-2.11021746
NM_033044	23499	MACF1	microtubule-actin crosslinking factor 1	0.47388481	8.593663	-2.11021746
NM_006341	10459	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	1.91889621	7.6537443	NA
NM_032272	84232	MAF1	MAF1 homolog (S. cerevisiae)	1.92270364	5.7639809	NA
NM_005461	9935	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.28990776	3.6724243	-3.449373001
NM_016069	51025	Magmas	mitochondria-associated protein involved in granulocyte-macrophage colony-stimulating factor signal transduction	1.88415109	5.3706176	NA
NM_015274	23324	MAN2B2	mannosidase, alpha, class 2B, member 2	0.4118114	3.3991674	-2.42829606
NM_001003897	63905	MANBAL	mannosidase, beta A, lysosomal-like	1.97945539	5.0573729	NA
NM_022077	63905	MANBAL	mannosidase, beta A, lysosomal-like	1.97945539	5.0573729	NA
NM_152496	149175	MANEAL	mannosidase, endo-alpha-like	0.37166361	2.9727196	-2.690605088
NM_005909	4131	MAP1B	microtubule-associated protein 1B	0.11187471	1.7079054	-8.938570656
NM_032010	4131	MAP1B	microtubule-associated protein 1B	0.11187471	1.7079054	-8.938570656
NM_002374	4133	MAP2	microtubule-associated protein 2	3.6081015	0.637618	NA
NM_031845	4133	MAP2	microtubule-associated protein 2	3.6081015	0.637618	NA
NM_031847	4133	MAP2	microtubule-associated protein 2	3.6081015	0.637618	NA
NM_031846	4133	MAP2	microtubule-associated protein 2	3.6081015	0.637618	NA
NM_002755	5604	MAP2K1	mitogen-activated protein kinase kinase 1	1.84951196	8.0395314	NA
NM_030662	5605	MAP2K2	mitogen-activated protein kinase kinase 2	2.23190817	2.0161834	NA
NM_145110	5606	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724243	NA
NM_145109	5606	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724243	NA
NM_002756	5606	MAP2K3	mitogen-activated protein kinase kinase 3	2.11911984	3.6724243	NA
NM_003010	6416	MAP2K4	mitogen-activated protein kinase kinase 4	1.55905425	8.7274414	NA
NM_005204	1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	0.12040709	1.7079054	-8.305158774
NM_033141	4293	MAP3K9	mitogen-activated protein kinase kinase kinase 9	2.35924423	1.219488	NA
NM_014017	28956	MAPBPIP	mitogen-activated protein-binding protein-interacting protein	2.411655	1.219488	NA
NM_001006619	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004	2.1038158	NA
NM_001006617	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004	2.1038158	NA
NM_001006621	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.87918696	3.9508566	NA
NM_024117	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.9444004	2.1038158	NA
NM_001006620	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	1.87918696	3.9508566	NA
NM_001006618	79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	2.89365465	1.219488	NA
NM_004635	7867	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	1.95951351	4.9341886	NA
NM_023009	65108	MARCKSL1	MARCKS-like 1	3.74932036	1.9393426	NA
NM_031417	57787	MARK4	MAP/microtubule affinity-regulating kinase 4	2.33202635	2.1038158	NA
NM_144724	153562	MARVELD2	MARVEL domain containing 2	0.56393688	9.4283268	-1.773248098
NM_020690	404734	MASK-BP3	MASK-4E-BP3 alternate reading frame gene	0.48329675	8.27025	-2.069122128
NM_032844	84930	MASTL	microtubule associated serine/threonine kinase-like	0.23805672	3.9508566	-4.200679569
NM_030583	4147	MATN2	matrilin 2	3.69767168	0	NA
NM_002380	4147	MATN2	matrilin 2	3.69767168	0	NA
NM_018834	9782	MATR3	matrin 3	0.41971401	1.7079054	-2.382574744
NM_199189	9782	MATR3	matrin 3	0.56669095	8.27025	-1.764630263
NM_003926	53615	MBD3	methyl-CpG binding domain protein 3	1.87594088	3.9508566	NA
NM_052897	114785	MBD6	methyl-CpG binding domain protein 6	1.59315854	8.7274414	NA
NM_006500	4162	MCAM	melanoma cell adhesion molecule	1.46035917	8.593663	NA
NM_020166	56922	MCCC1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	0.35826557	5.5989565	-2.791225515
NM_018843	55972	MCFP	mitochondrial carrier family protein	1.95672642	8.7274414	NA
NM_020533	57192	MCOLN1	mucolipin 1	1.76162989	7.6537443	NA
NM_018298	55283	MCOLN3	mucolipin 3	0.48854283	4.3199052	-2.046903441
NM_001012300	10445	MCRS1	microspherule protein 1	1.84317005	6.5999626	NA
NM_006337	10445	MCRS1	microspherule protein 1	1.84317005	6.5999626	NA
NM_014060	28985	MCTS1	malignant T cell amplified sequence 1	1.94910983	2.0161834	NA
NM_005586	4188	MDFI	MyoD family inhibitor	1.5570148	8.0395314	NA
NM_005918	4191	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	1.47878046	9.4283268	NA
NM_017440	56890	MDM1	Mdm4, transformed 3T3 cell double minute 1, p53 binding protein (mouse)	0.42635731	5.5989565	-2.34545058
NM_018467	55850	MDS032	uncharacterized hematopoietic stem/progenitor cells protein MDS032	2.3575098	2.3206861	NA
NM_014623	4201	MEA1	male-enhanced antigen 1	2.62397799	1.219488	NA
NM_001024732	51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	1.88722294	8.593663	NA
NM_016011	51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	1.88722294	8.593663	NA
NM_001001683	400569	MED11	mediator of RNA polymerase II transcription, subunit 11 homolog (S. cerevisiae)	2.13937022	3.6724243	NA
NM_025205	80306	MED28	mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)	1.54626463	8.0395314	NA
NM_001001653	112950	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.38502111	2.4738185	NA
NM_001001651	112950	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.34192623	1.9982331	NA
NM_052877	112950	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.34192623	1.9982331	NA
NM_201542	112950	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.37491404	2.0161834	NA
NM_001001654	112950	MED8	mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)	2.38502111	2.4738185	NA
NM_022566	59274	MESDC1	mesoderm development candidate 1	1.77381504	5.5989565	NA
NM_177524	4232	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	NA
NM_002402	4232	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	NA
NM_177525	4232	MEST	mesoderm specific transcript homolog (mouse)	1.98915577	1.5613079	NA
NM_152396	131965	METTL6	methyltransferase like 6	1.70286877	7.6537443	NA
NM_002403	4237	MFAP2	microfibrillar-associated protein 2	0.14271447	8.8660141	-7.006997959
NM_017459	4237	MFAP2	microfibrillar-associated protein 2	0.14271447	8.8660141	-7.006997959
NM_003480	8076	MFAP5	microfibrillar associated protein 5	5.48086777	0	NA
NM_033316	4241	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	3.11050065	0.637618	NA
NM_030818	81576	MGC10471	hypothetical protein MGC10471	1.60565569	6.5999626	NA
NM_032325	84285	MGC11102	hypothetical protein MGC11102	1.97856804	4.6110465	NA
NM_080656	91368	MGC13017	similar to RIKEN cDNA A430101B06 gene	1.70152595	8.7274414	NA
NM_032366	84326	MGC13114	hypothetical protein MGC13114	2.44896678	2.4738185	NA
NM_199250	84798	MGC13170	multidrug resistance-related protein	2.28796649	3.753678	NA
NM_199249	84798	MGC13170	multidrug resistance-related protein	2.28796649	3.753678	NA
NM_016499	51259	MGC13379	HSPC244	2.42341503	3.9508566	NA
NM_053045	94107	MGC14327	hypothetical protein MGC14327	1.72604332	3.9508566	NA
NM_138418	84331	MGC15416	hypothetical protein MGC15416	1.88478176	9.8653909	NA
NM_032921	85007	MGC15875	hypothetical protein LOC85007, isoform 2	1.82400534	3.2351467	NA
NM_153373	85007	MGC15875	hypothetical protein LOC85007, isoform 2	1.82400534	3.2351467	NA
NM_145039	92806	MGC16385	hypothetical protein MGC16385	2.48451879	1.9982331	NA
NM_206967	404550	MGC17624	MGC17624 protein	2.32682019	8.1979458	NA
NM_080665	112812	MGC19604	similar to RIKEN cDNA B230118G17 gene	2.05667606	1.219488	NA
NM_052861	92070	MGC21675	hypothetical protein MGC21675	2.00785818	2.4738185	NA
NM_145030	221908	MGC22793	hypothetical protein MGC22793	2.05999063	2.9727196	NA
NM_174909	153339	MGC23909	hypothetical protein MGC23909	2.87271883	2.5903232	NA
NM_032331	84291	MGC2408	hypothetical protein MGC2408	2.05652953	9.6306887	NA
NM_001001410	115939	MGC24381	hypothetical protein MGC24381	1.83964581	3.753678	NA
NM_023939	65996	MGC2752	hypothetical protein MGC2752	2.02793989	3.753678	NA
NM_174923	203260	MGC31967	hypothetical protein MGC31967	3.25897436	0.637618	NA
NM_024313	79159	MGC3731	hypothetical protein MGC3731	2.20468472	3.2351467	NA
NM_173822	285172	MGC39518	hypothetical protein MGC39518	0.48665893	5.5989565	-2.054827187
NM_024308	79154	MGC4172	short-chain dehydrogenase/reductase	2.52138128	1.9982331	NA
NM_133375	115752	MGC4562	hypothetical protein MGC4562	0.35226211	3.3991674	-2.838795237
NM_024033	78996	MGC5242	hypothetical protein MGC5242	1.98598746	6.3497914	NA
NM_012215	10724	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0.39819197	1.9393426	-2.511351497
NM_007283	11343	MGLL	monoglyceride lipase	2.11372377	2.4738185	NA
NM_001003794	11343	MGLL	monoglyceride lipase	2.11372377	2.4738185	NA
NM_002412	4255	MGMT	O-6-methylguanine-DNA methyltransferase	0.32579857	3.9508566	-3.069381182
NM_006533	8190	MIA	melanoma inhibitory activity	2.09430562	2.6012277	NA
NM_000247	4276	MICA	MHC class I polypeptide-related sequence A	1.57522969	9.4283268	NA
NM_021242	58526	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	1.88555128	3.9508566	NA
NM_020679	57409	MIF4GD	MIF4G domain containing	1.80326127	6.5999626	NA
NM_004897	9562	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1	0.38545913	4.9341886	-2.594308766
NM_005932	4285	MIPEP	mitochondrial intermediate peptidase	0.52526948	9.6306887	-1.903784701
NM_198971	25988	MIZF	MBD2-interacting zinc finger	2.31811008	3.6724243	NA
NM_015517	25988	MIZF	MBD2-interacting zinc finger	2.31811008	3.6724243	NA
NM_018848	8195	MKKS	McKusick-Kaufman syndrome	1.89327949	7.6537443	NA
NM_170784	8195	MKKS	McKusick-Kaufman syndrome	1.89327949	7.6537443	NA
NM_003684	8569	MKNK1	MAP kinase interacting serine/threonine kinase 1	1.96443125	3.3991674	NA
NM_005439	8079	MLF2	myeloid leukemia factor 2	2.60329772	2.5903232	NA
NM_152649	197259	MLKL	mixed lineage kinase domain-like	0.23048575	2.5903232	-4.338663019
NM_032228	84188	MLSTD2	male sterility domain containing 2	0.50064969	6.3497914	-1.997404612
NM_198205	6945	MLX	MAX-like protein X	1.69652268	8.593663	NA
NM_198204	6945	MLX	MAX-like protein X	1.69652268	8.593663	NA
NM_170607	6945	MLX	MAX-like protein X	1.69652268	8.593663	NA
NM_007289	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_007288	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_000902	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_007287	4311	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	0.22348452	1.7079054	-4.474582848
NM_004995	4323	MMP14	matrix metallopeptidase 14 (membrane-inserted)	2.16821158	0.637618	NA
NM_176806	4338	MOCS2	molybdenum cofactor synthesis 2	2.06670899	2.5903232	NA
NM_004531	4338	MOCS2	molybdenum cofactor synthesis 2	2.06670899	2.5903232	NA
NM_183418	4338	MOCS2	molybdenum cofactor synthesis 2	2.06670899	2.5903232	NA
NM_014940	22879	MON1B	MON1 homolog B (yeast)	1.75038944	9.0782945	NA
NM_032332	84292	MORG1	mitogen-activated protein kinase organizer 1	2.48237267	1.4706181	NA
NM_001015054	4350	MPG	N-methylpurine-DNA glycosylase	1.89081656	5.5989565	NA
NM_002434	4350	MPG	N-methylpurine-DNA glycosylase	1.89081656	5.5989565	NA
NM_001015052	4350	MPG	N-methylpurine-DNA glycosylase	1.89081656	5.5989565	NA
NM_002435	4351	MPI	mannose phosphate isomerase	2.0420832	7.6537443	NA
NM_021126	4357	MPST	mercaptopyruvate sulfurtransferase	1.65797004	9.0782945	NA
NM_001013436	4357	MPST	mercaptopyruvate sulfurtransferase	1.65797004	9.0782945	NA
NM_001013440	4357	MPST	mercaptopyruvate sulfurtransferase	1.65797004	9.0782945	NA
NM_002437	4358	MPV17	MpV17 transgene, murine homolog, glomerulosclerosis	2.47135806	0.637618	NA
NM_006471	10627	MRCL3	myosin regulatory light chain MRCL3	1.66930748	5.9122677	NA
NM_170739	65003	MRPL11	mitochondrial ribosomal protein L11	3.68951877	0.637618	NA
NM_016050	65003	MRPL11	mitochondrial ribosomal protein L11	3.48554527	0.637618	NA
NM_170738	65003	MRPL11	mitochondrial ribosomal protein L11	3.48554527	0.637618	NA
NM_002949	6182	MRPL12	mitochondrial ribosomal protein L12	2.14661806	3.9508566	NA
NM_032111	64928	MRPL14	mitochondrial ribosomal protein L14	1.99271633	3.797649	NA
NM_014161	29074	MRPL18	mitochondrial ribosomal protein L18	1.84406451	2.3697766	NA
NM_015950	51069	MRPL2	mitochondrial ribosomal protein L2	2.1755884	5.9122677	NA
NM_181515	219927	MRPL21	mitochondrial ribosomal protein L21	2.69646626	0.637618	NA
NM_181514	219927	MRPL21	mitochondrial ribosomal protein L21	2.69646626	0.637618	NA
NM_021134	6150	MRPL23	mitochondrial ribosomal protein L23	1.89515137	4.3199052	NA
NM_145729	79590	MRPL24	mitochondrial ribosomal protein L24	2.66510869	0.8855806	NA
NM_024540	79590	MRPL24	mitochondrial ribosomal protein L24	2.66510869	0.8855806	NA
NM_148570	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566	NA
NM_016504	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566	NA
NM_148571	51264	MRPL27	mitochondrial ribosomal protein L27	2.15077516	3.9508566	NA
NM_006428	10573	MRPL28	mitochondrial ribosomal protein L28	1.94199539	3.2351467	NA
NM_145212	51263	MRPL30	mitochondrial ribosomal protein L30	1.63730533	8.1979458	NA
NM_023937	64981	MRPL34	mitochondrial ribosomal protein L34	2.02412263	7.2505573	NA
NM_016491	51253	MRPL37	mitochondrial ribosomal protein L37	2.64631997	0.637618	NA
NM_015956	51073	MRPL4	mitochondrial ribosomal protein L4	1.98753231	3.3991674	NA
NM_146388	51073	MRPL4	mitochondrial ribosomal protein L4	1.74039801	5.3706176	NA
NM_146387	51073	MRPL4	mitochondrial ribosomal protein L4	1.98753231	3.3991674	NA
NM_032477	64975	MRPL41	mitochondrial ribosomal protein L41	2.31489036	2.1038158	NA
NM_176792	84545	MRPL43	mitochondrial ribosomal protein L43	1.75083877	8.0395314	NA
NM_176794	84545	MRPL43	mitochondrial ribosomal protein L43	1.61640576	7.6537443	NA
NM_176793	84545	MRPL43	mitochondrial ribosomal protein L43	1.61640576	7.6537443	NA
NM_032112	84545	MRPL43	mitochondrial ribosomal protein L43	1.5827593	9.8653909	NA
NM_016497	51258	MRPL51	mitochondrial ribosomal protein L51	2.25506599	2.4738185	NA
NM_181305	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237	NA
NM_181307	122704	MRPL52	mitochondrial ribosomal protein L52	2.4433584	0.8855806	NA
NM_178336	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237	NA
NM_180982	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237	NA
NM_181306	122704	MRPL52	mitochondrial ribosomal protein L52	2.38476625	1.0218237	NA
NM_181304	122704	MRPL52	mitochondrial ribosomal protein L52	2.44211147	0.637618	NA
NM_053050	116540	MRPL53	mitochondrial ribosomal protein L53	1.9528462	3.6724243	NA
NM_172251	116541	MRPL54	mitochondrial ribosomal protein L54	2.78791896	0.637618	NA
NM_181465	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181463	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181462	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181464	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181456	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181454	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181441	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_181455	128308	MRPL55	mitochondrial ribosomal protein L55	1.9911166	3.9508566	NA
NM_022839	64963	MRPS11	mitochondrial ribosomal protein S11	1.88585243	3.9508566	NA
NM_176805	64963	MRPS11	mitochondrial ribosomal protein S11	1.88585243	3.9508566	NA
NM_033363	6183	MRPS12	mitochondrial ribosomal protein S12	3.04559283	0.637618	NA
NM_033362	6183	MRPS12	mitochondrial ribosomal protein S12	3.48835931	0.637618	NA
NM_022100	63931	MRPS14	mitochondrial ribosomal protein S14	2.13899458	5.7639809	NA
NM_031280	64960	MRPS15	mitochondrial ribosomal protein S15	1.8144247	4.3199052	NA
NM_016065	51021	MRPS16	mitochondrial ribosomal protein S16	2.78133991	0.637618	NA
NM_015969	51373	MRPS17	mitochondrial ribosomal protein S17	1.80787943	8.593663	NA
NM_018135	55168	MRPS18A	mitochondrial ribosomal protein S18A	1.88312677	4.6110465	NA
NM_016034	51116	MRPS2	mitochondrial ribosomal protein S2	1.5262183	8.7274414	NA
NM_031901	54460	MRPS21	mitochondrial ribosomal protein S21	1.92001738	4.6110465	NA
NM_018997	54460	MRPS21	mitochondrial ribosomal protein S21	1.90353072	4.9341886	NA
NM_016070	51649	MRPS23	mitochondrial ribosomal protein S23	1.54302047	9.4283268	NA
NM_032014	64951	MRPS24	mitochondrial ribosomal protein S24	1.65109339	6.5999626	NA
NM_030811	64949	MRPS26	mitochondrial ribosomal protein S26	1.98308796	3.2351467	NA
NM_016071	51650	MRPS33	mitochondrial ribosomal protein S33	2.07128729	2.0161834	NA
NM_053035	51650	MRPS33	mitochondrial ribosomal protein S33	2.07128729	2.0161834	NA
NM_023936	65993	MRPS34	mitochondrial ribosomal protein S34	1.9393702	6.3497914	NA
NM_015971	51081	MRPS7	mitochondrial ribosomal protein S7	2.2622182	2.1038158	NA
NM_138777	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465	NA
NM_199177	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465	NA
NM_199176	92399	MRRF	mitochondrial ribosome recycling factor	2.0356999	4.6110465	NA
NM_000251	4436	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	0.34819641	2.4912595	-2.871942304
NM_000179	2956	MSH6	mutS homolog 6 (E. coli)	0.42549887	5.9122677	-2.350182505
NM_198080	253827	MSRB3	methionine sulfoxide reductase B3	2.06899176	1.219488	NA
NM_032947	85027	MST150	MSTP150	2.34344014	3.2351467	NA
NM_002447	4486	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	0.4644856	8.7274414	-2.152919272
NM_018116	55154	MSTO1	misato homolog 1 (Drosophila)	1.94152654	3.3991674	NA
NM_014507	27349	MT	malonyl-CoA:acyl carrier protein transacylase, mitochondrial	1.8769161	2.4738185	NA
NM_173467	27349	MT	malonyl-CoA:acyl carrier protein transacylase, mitochondrial	1.8769161	2.4738185	NA
NM_005952	4501	MT1X	metallothionein 1X	2.31412642	5.7639809	NA
NM_014341	23787	MTCH1	mitochondrial carrier homolog 1 (C. elegans)	1.72156105	8.8660141	NA
NM_014637	9650	MTFR1	mitochondrial fission regulator 1	1.74684456	8.7274414	NA
NM_138384	92170	MTG1	mitochondrial GTPase 1 homolog (S. cerevisiae)	1.62169238	6.5999626	NA
NM_006636	10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	1.7757259	8.0395314	NA
NM_006441	10588	MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	1.53858907	8.7274414	NA
NM_006554	10651	MTX2	metaxin 2	1.89396074	5.0573729	NA
NM_001006635	10651	MTX2	metaxin 2	1.89396074	5.0573729	NA
NM_012222	4595	MUTYH	mutY homolog (E. coli)	1.76290786	8.1979458	NA
NM_001008528	439921	MXRA7	matrix-remodelling associated 7	1.78581332	8.593663	NA
NM_015057	23077	MYCBP2	MYC binding protein 2	0.22011043	2.3206861	-4.543174079
NM_005964	4628	MYH10	myosin, heavy polypeptide 10, non-muscle	0.26382687	1.7079054	-3.790364492
NM_002477	4636	MYL5	myosin, light polypeptide 5, regulatory	2.59032964	0.8369687	NA
NM_079423	4637	MYL6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle	2.37899761	1.219488	NA
NM_021019	4637	MYL6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle	2.37899761	1.219488	NA
NM_002475	140465	MYL6B	myosin, light polypeptide 6B, alkali, smooth muscle and non-muscle	2.13116937	6.5999626	NA
NM_004999	4646	MYO6	myosin VI	0.39068442	2.4912595	-2.559610644
NM_032188	84148	MYST1	MYST histone acetyltransferase 1	1.85717499	5.7639809	NA
NM_023018	65220	NADK	NAD kinase	1.79191414	9.6306887	NA
NM_018946	54187	NANS	N-acetylneuraminic acid synthase (sialic acid synthase)	2.22293472	2.4738185	NA
NM_012336	26502	NARF	nuclear prelamin A recognition factor	1.82341021	8.8660141	NA
NM_024678	79731	NARS2	asparaginyl-tRNA synthetase 2 (mitochondrial)(putative)	1.80929779	8.27025	NA
NM_016100	51126	NAT5	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	1.72912938	8.1979458	NA
NM_181527	51126	NAT5	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	1.72912938	8.1979458	NA
NM_012191	24142	NAT6	N-acetyltransferase 6	3.0209615	0.637618	NA
NM_003581	8440	NCK2	NCK adaptor protein 2	1.85840738	6.3497914	NA
NM_001004722	8440	NCK2	NCK adaptor protein 2	1.85840738	6.3497914	NA
NM_001004720	8440	NCK2	NCK adaptor protein 2	1.85840738	6.3497914	NA
NM_184231	51517	NCKIPSD	NCK interacting protein with SH3 domain	1.97882146	9.6306887	NA
NM_016453	51517	NCKIPSD	NCK interacting protein with SH3 domain	1.97882146	9.6306887	NA
NM_003743	8648	NCOA1	nuclear receptor coactivator 1	0.31765963	1.7079054	-3.148023562
NM_147223	8648	NCOA1	nuclear receptor coactivator 1	0.31196878	1.7079054	-3.205448956
NM_147233	8648	NCOA1	nuclear receptor coactivator 1	0.31765963	1.7079054	-3.148023562
NM_014071	23054	NCOA6	nuclear receptor coactivator 6	0.3679117	1.7079054	-2.718043487
NM_181782	135112	NCOA7	nuclear receptor coactivator 7	0.46226294	5.9122677	-2.163270973
NM_006311	9611	NCOR1	nuclear receptor co-repressor 1	0.4728698	6.8159167	-2.114747019
NM_004541	4694	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	1.97939888	5.3706176	NA
NM_175614	126328	NDUFA11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa	2.78807674	0.637618	NA
NM_015965	51079	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	2.8699216	1.0218237	NA
NM_002488	4695	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	2.10095733	2.9727196	NA
NM_004542	4696	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	2.52213265	1.5613079	NA
NM_002490	4700	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	1.82104236	3.797649	NA
NM_005001	4701	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	2.63899974	0.8855806	NA
NM_014222	4702	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	1.83479835	7.6537443	NA
NM_016013	51103	NDUFAF1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	1.56088004	9.8653909	NA
NM_004545	4707	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	1.82894549	7.2505573	NA
NM_004548	4716	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa	2.1362335	2.3206861	NA
NM_004546	4708	NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa	1.66490821	8.1979458	NA
NM_004146	4713	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	1.77608721	8.593663	NA
NM_004553	4726	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	1.9847466	3.797649	NA
