Probe set	Symbol	Name	Fold-difference
219109_at	SPAG16	sperm associated antigen 16	0.4001348
228973_at	DLG2	discs, large homolog 2, chapsyn-110 (Drosophila)	0.3998269
225391_at	LOC93622	hypothetical protein BC006130	0.3996221
230662_at	LOC644942 /// LOC649694	similar to ring finger protein 187 /// similar to ring finger protein 187	0.3995141
218844_at	FLJ20920	hypothetical protein FLJ20920	0.3994366
228557_at	L3MBTL4	L(3)mbt-like 4 (Drosophila)	0.3992985
228457_at	---	CDNA clone IMAGE:5263177	0.3992349
205741_s_at	DTNA	dystrobrevin, alpha	0.3990177
241402_at	TSEN54	tRNA splicing endonuclease 54 homolog (S. cerevisiae)	0.3988818
223239_at	C14orf129	chromosome 14 open reading frame 129	0.3983788
226697_at	LOC92689	hypothetical protein BC001096	0.3982258
227426_at	---	Transcribed locus	0.3981894
226580_at	BRMS1L	breast cancer metastasis-suppressor 1-like	0.398
209800_at	KRT16	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	0.397756
229512_at	---	CDNA FLJ43676 fis, clone SYNOV4009129	0.3976384
213526_s_at	F25965	protein F25965	0.3975052
243874_at	LPP	LIM domain containing preferred translocation partner in lipoma	0.3971936
209146_at	SC4MOL	sterol-C4-methyl oxidase-like	0.3964799
228067_at	MGC42367	similar to 2010300C02Rik protein	0.3964515
60474_at	C20orf42	chromosome 20 open reading frame 42	0.3963877
230159_at	---	---	0.39623
244692_at	FLJ39501	cytochrome P450, family 2, subfamily E, polypeptide 2 homolog	0.3962071
212205_at	H2AFV	H2A histone family, member V	0.3961436
218776_s_at	TMEM62	transmembrane protein 62	0.3959515
238376_at	DEXI	Dexamethasone-induced transcript	0.3959263
241154_x_at	MTSS1	Metastasis suppressor 1	0.3958921
201855_s_at	ASCIZ	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein	0.3957026
236562_at	ZNF439	zinc finger protein 439	0.3950712
1553721_at	RNF152	ring finger protein 152	0.3948742
230197_s_at	---	Transcribed locus, strongly similar to NP_060610.1 hypothetical protein FLJ10565 [Homo sapiens]	0.3947993
218170_at	ISOC1	isochorismatase domain containing 1	0.3945775
225807_at	JUB	jub, ajuba homolog (Xenopus laevis)	0.3945725
225679_at	NAT12	N-acetyltransferase 12	0.3944588
1557571_at	VPS13D	Vacuolar protein sorting 13 homolog D (S. cerevisiae)	0.3943678
223594_at	TMEM117	transmembrane protein 117	0.3938692
225301_s_at	MYO5B	myosin VB	0.3937981
213906_at	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	0.3935083
222271_at	---	---	0.3932878
223274_at	---	---	0.3932749
227728_at	---	CDNA FLJ42306 fis, clone TRACH2001646	0.3930667
1555497_a_at	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	0.392898
204976_s_at	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	0.3923701
219126_at	PHF10	PHD finger protein 10	0.3921471
213400_s_at	TBL1X	transducin (beta)-like 1X-linked	0.3921331
218705_s_at	SNX24	sorting nexing 24	0.3918615
244321_at	PGAP1	GPI deacylase	0.3918351
1552696_at	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	0.3918096
207996_s_at	C18orf1	chromosome 18 open reading frame 1	0.3915555
211208_s_at	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	0.3915462
219313_at	GRAMD1C	GRAM domain containing 1C	0.3912344
1557452_at	SSBP2	Single-stranded DNA binding protein 2	0.3910298
202789_at	PLCG1 /// CPNE9	phospholipase C, gamma 1 /// copine family member IX	0.3907889
218547_at	DHDDS	dehydrodolichyl diphosphate synthase	0.3906271
212911_at	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16	0.3906108
215041_s_at	DOCK9	dedicator of cytokinesis 9	0.3903633
205765_at	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	0.3901524
217730_at	TMBIM1	transmembrane BAX inhibitor motif containing 1	0.3901017
222810_s_at	RASAL2	RAS protein activator like 2	0.3894851
219117_s_at	FKBP11	FK506 binding protein 11, 19 kDa	0.3893891
237043_at	---	Transcribed locus	0.3891993
235618_at	ZNF507	zinc finger protein 507	0.3889464
227109_at	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1	0.3887919
204669_s_at	RNF24	ring finger protein 24	0.3884742
226602_s_at	BCR /// FLJ42953 /// LOC644165 /// LOC653617	breakpoint cluster region /// FLJ42953 protein /// similar to breakpoint cluster region isoform 1 /// similar to breakpoint cluster region isoform 1	0.3883151
229616_s_at	GRAMD2	GRAM domain containing 2	0.3876576
236578_at	---	---	0.3876347
230427_s_at	BAG5	BCL2-associated athanogene 5	0.3876038
1557389_at	SH3PXD2A	SH3 and PX domains 2A	0.3875942
219278_at	MAP3K6	mitogen-activated protein kinase kinase kinase 6	0.3875853
1569076_a_at	FLJ16287	FLJ16287 protein	0.3875829
202053_s_at	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	0.387389
239272_at	MMP28	matrix metallopeptidase 28	0.3863568
207315_at	CD226	CD226 molecule	0.3860396
236350_at	---	Transcribed locus	0.385968
213766_x_at	ITPK1	Inositol 1,3,4-triphosphate 5/6 kinase	0.3858325
213215_at	---	CDNA clone IMAGE:4157286	0.3857499
225352_at	TLOC1	translocation protein 1	0.3855916
227955_s_at	---	CDNA: FLJ22256 fis, clone HRC02860	0.3854454
238096_at	LOC284023	hypothetical protein LOC284023	0.3849149
201760_s_at	WSB2	WD repeat and SOCS box-containing 2	0.3847476
242323_at	CASP6	Caspase 6, apoptosis-related cysteine peptidase	0.3844893
235657_at	---	Transcribed locus	0.384443
228948_at	EPHA4	EPH receptor A4	0.3842503
227451_s_at	C6orf79	Chromosome 6 open reading frame 79	0.3839265
202036_s_at	SFRP1	secreted frizzled-related protein 1	0.3839251
213005_s_at	ANKRD15	ankyrin repeat domain 15	0.3838911
1553213_a_at	KRT78	keratin 78	0.3836124
225652_at	FARP2	FERM, RhoGEF and pleckstrin domain protein 2	0.3834481
209254_at	KIAA0265	KIAA0265 protein	0.3833144
1553172_at	ZNF777	zinc finger protein 777	0.3823558
206004_at	TGM3	transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)	0.382239
229657_at	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)	0.3818059
203208_s_at	MTFR1	mitochondrial fission regulator 1	0.3811245
227415_at	LOC283508	hypothetical protein LOC283508	0.3811134
221779_at	MICAL-L1	MICAL-like 1	0.3806339
202962_at	KIF13B	kinesin family member 13B	0.3806211
230660_at	SERTAD4	SERTA domain containing 4	0.380588
225473_at	C20orf117	chromosome 20 open reading frame 117	0.3801247
212981_s_at	KIAA0738	KIAA0738 gene product	0.3797141
228084_at	CASP6	Caspase 6, apoptosis-related cysteine peptidase	0.3795996
218796_at	C20orf42	chromosome 20 open reading frame 42	0.3795763
219936_s_at	GPR87	G protein-coupled receptor 87	0.3794739
237249_at	KCNQ1	Potassium voltage-gated channel, KQT-like subfamily, member 1	0.3790885
229551_x_at	ZNF367	zinc finger protein 367	0.378895
209019_s_at	PINK1	PTEN induced putative kinase 1	0.378788
226137_at	---	MRNA; cDNA DKFZp566M0947 (from clone DKFZp566M0947)	0.3782817
218127_at	NFYB	nuclear transcription factor Y, beta	0.378061
1559991_s_at	---	---	0.3774675
210958_s_at	MAST4	microtubule associated serine/threonine kinase family member 4	0.3772809
225629_s_at	ZBTB4	zinc finger and BTB domain containing 4	0.3771696
228585_at	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	0.3766756
239650_at	NAP5	Nck-associated protein 5	0.3766647
230792_at	AMDD	amidase domain containing	0.3764288
224523_s_at	C3orf26	chromosome 3 open reading frame 26 /// chromosome 3 open reading frame 26	0.3755036
232977_x_at	MYH14	myosin, heavy polypeptide 14	0.3755015
224616_at	DYNC1LI2	dynein, cytoplasmic 1, light intermediate chain 2	0.3754776
231969_at	STOX2	storkhead box 2	0.3753261
222664_at	KCTD15	potassium channel tetramerisation domain containing 15	0.3752774
210706_s_at	RNF24	ring finger protein 24	0.3752705
203188_at	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	0.3752211
206125_s_at	KLK8	kallikrein 8 (neuropsin/ovasin)	0.3751227
208940_at	SEPHS1	Selenophosphate synthetase 1	0.3750862
1563467_at	PDGFC	Platelet derived growth factor C	0.3750693
207275_s_at	ACSL1	acyl-CoA synthetase long-chain family member 1	0.375043
1553672_at	ENAH	enabled homolog (Drosophila)	0.3748473
212109_at	C16orf34	chromosome 16 open reading frame 34	0.3748364
219232_s_at	EGLN3	egl nine homolog 3 (C. elegans)	0.3745339
207124_s_at	GNB5	guanine nucleotide binding protein (G protein), beta 5	0.3740799
202330_s_at	UNG	uracil-DNA glycosylase	0.3738763
225387_at	TSPAN5	tetraspanin 5	0.3737682
229126_at	TMEM19	transmembrane protein 19	0.3737605
213206_at	GOSR2	golgi SNAP receptor complex member 2	0.37376
203639_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	0.3735595
218373_at	FTS	fused toes homolog (mouse)	0.373335
224995_at	SPIRE1	spire homolog 1 (Drosophila)	0.3731762
204225_at	HDAC4	histone deacetylase 4	0.3725334
229399_at	C10orf118	chromosome 10 open reading frame 118	0.3724337
238699_s_at	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	0.3723294
223044_at	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	0.3722292
201963_at	ACSL1	acyl-CoA synthetase long-chain family member 1	0.3719797
203797_at	VSNL1	visinin-like 1	0.3719738
215393_s_at	COBLL1	COBL-like 1	0.3719618
34726_at	CACNB3	calcium channel, voltage-dependent, beta 3 subunit	0.3719111
210868_s_at	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	0.3718611
219930_at	KLF8	Kruppel-like factor 8	0.3717753
203450_at	PGEA1	PKD2 interactor, golgi and endoplasmic reticulum associated 1	0.371039
206421_s_at	SERPINB7	serpin peptidase inhibitor, clade B (ovalbumin), member 7	0.3710289
208703_s_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.3709988
227701_at	C10orf118	chromosome 10 open reading frame 118	0.3709914
235942_at	LOC401629 /// LOC401630	LOC401629 /// LOC401630	0.3709763
229134_at	VANGL1	vang-like 1 (van gogh, Drosophila)	0.3709079
205724_at	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	0.3708906
204680_s_at	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	0.3706482
1555716_a_at	CXADR	coxsackie virus and adenovirus receptor	0.3705033
208704_x_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.3704181
221870_at	EHD2	EH-domain containing 2	0.3702327
204796_at	EML1	echinoderm microtubule associated protein like 1	0.3700967
213469_at	PGAP1	GPI deacylase	0.3697391
215103_at	CYP2C18	cytochrome P450, family 2, subfamily C, polypeptide 18	0.3692148
223063_at	C1orf198	chromosome 1 open reading frame 198	0.3691566
243111_at	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	0.3691039
227804_at	TLCD1	TLC domain containing 1	0.3688354
227408_s_at	SNX25	sorting nexin 25	0.368786
229699_at	---	CDNA FLJ45384 fis, clone BRHIP3021987	0.3686009
209129_at	TRIP6	thyroid hormone receptor interactor 6	0.368144
202219_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	0.3681
1560739_a_at	UBE3C	Ubiquitin protein ligase E3C	0.3679686
204082_at	PBX3	pre-B-cell leukemia transcription factor 3	0.3678706
238043_at	ARID1B	AT rich interactive domain 1B (SWI1-like)	0.3677078
207112_s_at	GAB1	GRB2-associated binding protein 1	0.3675223
216074_x_at	WWC1	WW, C2 and coiled-coil domain containing 1	0.3673453
1569465_at	---	Homo sapiens, Similar to hypothetical protein DKFZp566M1046, clone IMAGE:3921921, mRNA	0.367256
220272_at	BNC2	basonuclin 2	0.367009
205774_at	F12	coagulation factor XII (Hageman factor)	0.3666472
218756_s_at	MGC4172	short-chain dehydrogenase/reductase	0.366602
213924_at	MPPE1	Metallophosphoesterase 1	0.366585
1569241_a_at	ZNF93	Zinc finger protein 93	0.3664296
213375_s_at	CG018	hypothetical gene CG018	0.3656678
223340_at	SPG3A	spastic paraplegia 3A (autosomal dominant)	0.3656393
226649_at	PANK1	pantothenate kinase 1	0.3655802
238063_at	TMEM154	transmembrane protein 154	0.3654201
1562208_a_at	SLC41A2	Solute carrier family 41, member 2	0.364798
226327_at	ZNF507	zinc finger protein 507	0.3645998
232654_s_at	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6	0.3645873
227824_at	PRKCB1	Protein kinase C, beta 1	0.364349
225840_at	TEF	thyrotrophic embryonic factor	0.3642615
229720_at	BAG1	BCL2-associated athanogene	0.3642117
209681_at	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	0.3641719
213680_at	KRT6B	keratin 6B	0.3640672
236797_at	SDC4	Syndecan 4 (amphiglycan, ryudocan)	0.3640624
235955_at	MARVELD2	MARVEL domain containing 2	0.3639645
1553072_at	BNIPL	BCL2/adenovirus E1B 19kD interacting protein like	0.3639351
212367_at	FEM1B	fem-1 homolog b (C. elegans)	0.363705
235852_at	STON2	Stonin 2	0.3635785
218128_at	NFYB	nuclear transcription factor Y, beta	0.3635157
204547_at	RAB40B	RAB40B, member RAS oncogene family	0.3634137
213552_at	GLCE	UDP-glucuronic acid epimerase	0.3633627
206253_at	DLG2	discs, large homolog 2, chapsyn-110 (Drosophila)	0.3633331
224881_at	VKORC1L1	vitamin K epoxide reductase complex, subunit 1-like 1	0.3632265
228378_at	C12orf29	chromosome 12 open reading frame 29	0.3627682
239370_at	---	---	0.3625077
239725_at	PGAP1	GPI deacylase	0.3620698
221750_at	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	0.3619859
220602_s_at	FLJ22795 /// LOC388152 /// LOC388161 /// LOC642423 /// LOC643707 /// LOC653091 /// LOC653291 /// LOC653344 /// LOC653357 /// LOC653359	hypothetical protein FLJ22795 /// hypothetical protein FLJ90297 /// LOC388161 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to LOC388161 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130	0.3618831
233492_s_at	OR2A4 /// OR2A7	olfactory receptor, family 2, subfamily A, member 4 /// olfactory receptor, family 2, subfamily A, member 7	0.3613313
233202_at	CNTNAP3	contactin associated protein-like 3	0.3609577
242057_at	---	Transcribed locus	0.3608143
206857_s_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa	0.3607721
225429_at	---	---	0.3606428
1552685_a_at	GRHL1	grainyhead-like 1 (Drosophila)	0.3602286
220780_at	PLA2G3	phospholipase A2, group III	0.3601208
204762_s_at	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	0.3600572
212642_s_at	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	0.3592846
220945_x_at	MANSC1	MANSC domain containing 1	0.3592584
227029_at	C14orf24	chromosome 14 open reading frame 24	0.3590632
228937_at	C13orf31	chromosome 13 open reading frame 31	0.3587916
217966_s_at	C1orf24	chromosome 1 open reading frame 24	0.3585444
213156_at	---	Homo sapiens, clone IMAGE:4214654, mRNA	0.3580834
219496_at	ANKRD57	ankyrin repeat domain 57	0.3567621
222603_at	KIAA1815	KIAA1815	0.3563965
219999_at	MAN2A2	mannosidase, alpha, class 2A, member 2	0.3561805
214720_x_at	39335	septin 10	0.3556882
223327_x_at	LOC388152 /// LOC388161 /// LOC642423 /// LOC643317 /// LOC643707 /// LOC653091 /// LOC653291 /// LOC653344 /// LOC653357 /// LOC653359	hypothetical protein FLJ90297 /// LOC388161 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to LOC388161 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protein GM130	0.355403
242021_at	---	---	0.3553003
239262_at	PRSS23	Protease, serine, 23	0.3552935
212343_at	YIPF6	Yip1 domain family, member 6	0.355104
220403_s_at	P53AIP1 /// LOC648585	p53-regulated apoptosis-inducing protein 1 /// similar to p53-regulated apoptosis-inducing protein 1	0.3548711
202458_at	PRSS23	protease, serine, 23	0.354719
226231_at	PAWR	PRKC, apoptosis, WT1, regulator	0.354718
214168_s_at	TJP1	tight junction protein 1 (zona occludens 1)	0.3546761
203717_at	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	0.3543649
1559776_at	---	CDNA FLJ36989 fis, clone BRACE2006753	0.3541396
202540_s_at	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	0.3540011
208248_x_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.3539732
240432_x_at	---	Transcribed locus	0.3537848
226225_at	MCC	mutated in colorectal cancers	0.3536181
201579_at	FAT	FAT tumor suppressor homolog 1 (Drosophila)	0.3534686
233030_at	PNPLA3	patatin-like phospholipase domain containing 3	0.3531241
223194_s_at	C6orf85	chromosome 6 open reading frame 85	0.3530227
201417_at	SOX4	SRY (sex determining region Y)-box 4	0.3529948
1555420_a_at	KLF7	Kruppel-like factor 7 (ubiquitous)	0.3526306
229064_s_at	---	---	0.3525674
239017_at	LOC389634	Hypothetical LOC389634	0.352547
217795_s_at	TMEM43	transmembrane protein 43	0.3525393
206409_at	TIAM1	T-cell lymphoma invasion and metastasis 1	0.3524087
238855_at	AHNAK	AHNAK nucleoprotein (desmoyokin)	0.3523202
204334_at	KLF7	Kruppel-like factor 7 (ubiquitous)	0.3519127
226216_at	---	CDNA: FLJ21874 fis, clone HEP02488	0.3518276
212830_at	MEGF9	multiple EGF-like-domains 9	0.3515712
235219_at	LOC116349	hypothetical protein BC014011	0.3515305
213478_at	KIAA1026	kazrin	0.3515033
209558_s_at	HIP1R	huntingtin interacting protein 1 related	0.3513414
221245_s_at	FZD5	frizzled homolog 5 (Drosophila) /// frizzled homolog 5 (Drosophila)	0.3511874
209289_at	NFIB	nuclear factor I/B	0.3509892
243894_at	SLC41A2	solute carrier family 41, member 2	0.3507815
204668_at	RNF24	ring finger protein 24	0.3506705
226752_at	TMEM157	transmembrane protein 157	0.3506434
206482_at	PTK6	PTK6 protein tyrosine kinase 6	0.3502785
228090_at	NMNAT3	nicotinamide nucleotide adenylyltransferase 3	0.3498976
231867_at	ODZ2	odz, odd Oz/ten-m homolog 2 (Drosophila)	0.349352
235142_at	ZBTB8	zinc finger and BTB domain containing 8	0.3491889
205325_at	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	0.3491195
222354_at	---	---	0.348979
213533_at	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	0.348843
218198_at	DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32	0.3487382
229689_s_at	DLG5	Discs, large homolog 5 (Drosophila)	0.3482991
228432_at	RAB3IP	RAB3A interacting protein (rabin3)	0.3480446
224445_s_at	ZFYVE21	zinc finger, FYVE domain containing 21 /// zinc finger, FYVE domain containing 21	0.3480132
207279_s_at	NEBL	nebulette	0.3479367
238417_at	PGM2L1	phosphoglucomutase 2-like 1	0.3478977
1559881_s_at	ZNF12	zinc finger protein 12	0.3474244
242553_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	0.3473432
229377_at	GRTP1	Growth hormone regulated TBC protein 1	0.3472631
200637_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	0.3470289
232568_at	MGC24103	hypothetical protein MGC24103	0.3469349
209242_at	PEG3	paternally expressed 3	0.3468343
212510_at	GPD1L	glycerol-3-phosphate dehydrogenase 1-like	0.3465929
222639_s_at	FLJ22662	hypothetical protein FLJ22662	0.3465446
1557938_s_at	PTRF	polymerase I and transcript release factor	0.3464783
200931_s_at	VCL	vinculin	0.3464559
241397_at	EHF	Ets homologous factor	0.3463752
201841_s_at	HSPB1 /// MEIS3	heat shock 27kDa protein 1 /// Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)	0.3461508
226822_at	STOX2	storkhead box 2	0.3458064
235843_at	DGKG	Diacylglycerol kinase, gamma 90kDa	0.3455082
211913_s_at	MERTK	c-mer proto-oncogene tyrosine kinase /// c-mer proto-oncogene tyrosine kinase	0.345215
219838_at	TTC23	tetratricopeptide repeat domain 23	0.3448862
210058_at	MAPK13	mitogen-activated protein kinase 13	0.3446395
222890_at	CCDC113	coiled-coil domain containing 113	0.3444946
233599_at	C9orf3	Chromosome 9 open reading frame 3	0.3444589
217154_s_at	EDN3	endothelin 3	0.3441047
204893_s_at	ZFYVE9	zinc finger, FYVE domain containing 9	0.3438301
212710_at	CAMSAP1	calmodulin regulated spectrin-associated protein 1	0.3438176
209925_at	OCLN /// LOC647859 /// LOC653400	occludin /// similar to Occludin /// similar to Occludin	0.3433909
200952_s_at	CCND2	cyclin D2	0.3433389
201250_s_at	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	0.3432185
1553956_at	ALS2CR4	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4	0.3430025
1553722_s_at	RNF152	ring finger protein 152	0.3427844
234331_s_at	---	---	0.3427781
227626_at	PAQR8	progestin and adipoQ receptor family member VIII	0.3424051
218843_at	FNDC4	fibronectin type III domain containing 4	0.3423238
226121_at	DHRS13	dehydrogenase/reductase (SDR family) member 13	0.3422315
237439_at	USP43	ubiquitin specific peptidase 43	0.3419826
202566_s_at	SVIL	supervillin	0.3417706
231849_at	KRT80	keratin 80	0.3417657
227041_at	---	CDNA FLJ31513 fis, clone NT2RI1000127	0.3415801
203997_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	0.3415764
232116_at	GRHL3	grainyhead-like 3 (Drosophila)	0.3413323
1556123_a_at	---	Homo sapiens, clone IMAGE:4863312, mRNA	0.3410493
209485_s_at	OSBPL1A	oxysterol binding protein-like 1A	0.3406921
230454_at	ICA1L	islet cell autoantigen 1,69kDa-like	0.3406021
212712_at	CAMSAP1	calmodulin regulated spectrin-associated protein 1	0.3403288
225509_at	LOC56757	hypothetical protein LOC56757	0.3401272
205768_s_at	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	0.3399536
228975_at	SP6	Sp6 transcription factor	0.3396729
224871_at	FAM79A	family with sequence similarity 79, member A	0.3395792
202756_s_at	GPC1	glypican 1	0.3393757
213198_at	ACVR1B	activin A receptor, type IB	0.3393688
204964_s_at	SSPN	sarcospan (Kras oncogene-associated gene)	0.3391487
226265_at	QSER1	Glutamine and serine rich 1	0.3391295
218259_at	MKL2	MKL/myocardin-like 2	0.3389814
52255_s_at	COL5A3	collagen, type V, alpha 3	0.3382892
226343_at	---	Transcribed locus, strongly similar to NP_932064.1 dipeptidyl peptidase 8 isoform 3; dipeptidyl peptidase VIII [Homo sapiens]	0.3381853
226075_at	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	0.3380906
205379_at	CBR3	carbonyl reductase 3	0.3378831
220643_s_at	FAIM	Fas apoptotic inhibitory molecule	0.3378465
203987_at	FZD6	frizzled homolog 6 (Drosophila)	0.3375546
225514_at	---	---	0.3373492
204518_s_at	PPIC	peptidylprolyl isomerase C (cyclophilin C)	0.3371003
1554489_a_at	CEP70	centrosomal protein 70kDa	0.3365155
232481_s_at	SLITRK6	SLIT and NTRK-like family, member 6	0.3364757
209474_s_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	0.3364045
224698_at	FAM62B	family with sequence similarity 62 (C2 domain containing) member B	0.3364021
233265_at	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	0.3362155
203016_s_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	0.3361875
230323_s_at	TMEM45B	transmembrane protein 45B	0.3361627
234290_x_at	MYH14	myosin, heavy polypeptide 14	0.3356866
225540_at	MAP2	microtubule-associated protein 2	0.3352401
237107_at	PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator	0.3349287
215177_s_at	ITGA6	integrin, alpha 6	0.3347739
228080_at	LAYN	layilin	0.3346532
222760_at	ZNF703	zinc finger protein 703	0.3346053
226450_at	---	MRNA full length insert cDNA clone EUROIMAGE 926491	0.3344364
229850_at	---	Full length insert cDNA clone YX81F03	0.3343834
239761_at	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	0.33413
226959_at	---	---	0.3341159
225081_s_at	CDCA7L	cell division cycle associated 7-like	0.3339392
212533_at	WEE1	WEE1 homolog (S. pombe)	0.3337756
210694_s_at	---	---	0.3335439
204962_s_at	CENPA	centromere protein A	0.3330654
227713_at	KATNAL1	katanin p60 subunit A-like 1	0.3325101
214051_at	MGC39900	hypothetical protein MGC39900	0.332274
204162_at	KNTC2	kinetochore associated 2	0.332065
231243_s_at	BHLHB3	basic helix-loop-helix domain containing, class B, 3	0.3318282
222913_at	KLF3	Kruppel-like factor 3 (basic)	0.3313521
216092_s_at	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	0.3311833
220124_at	GAN	giant axonal neuropathy (gigaxonin)	0.3309275
235179_at	ZNF641	zinc finger protein 641	0.3307584
220161_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	0.3306554
228361_at	E2F2	E2F transcription factor 2	0.3303535
231118_at	ANKRD35	ankyrin repeat domain 35	0.3298019
212573_at	ENDOD1	endonuclease domain containing 1	0.329571
205528_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	0.3293136
203474_at	IQGAP2	IQ motif containing GTPase activating protein 2	0.3292872
222339_x_at	NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	0.3290635
225308_s_at	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	0.3279259
212764_at	---	---	0.3275738
219749_at	SH2D4A	SH2 domain containing 4A	0.3274162
219090_at	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	0.3273213
39249_at	AQP3	aquaporin 3 (Gill blood group)	0.3270596
212325_at	DKFZP686A01247	hypothetical protein	0.3266787
226382_at	LOC283070	hypothetical protein LOC283070	0.3266481
65472_at	LOC388969	Hypothetical LOC388969	0.3265522
201869_s_at	TBL1X	transducin (beta)-like 1X-linked	0.3262103
205822_s_at	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	0.3256984
203888_at	THBD	thrombomodulin	0.3255605
1564426_x_at	LOC389634	hypothetical LOC389634	0.3253836
225346_at	MTERFD3	MTERF domain containing 3	0.3246462
235299_at	---	Transcribed locus	0.3246462
203476_at	TPBG	trophoblast glycoprotein	0.3243362
212115_at	C16orf34	chromosome 16 open reading frame 34	0.3237816
222433_at	ENAH	enabled homolog (Drosophila)	0.3237567
216042_at	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	0.3237469
227112_at	TMCC1	transmembrane and coiled-coil domain family 1	0.3235226
209318_x_at	PLAGL1	pleiomorphic adenoma gene-like 1	0.3229712
1561161_at	SCMH1	Sex comb on midleg homolog 1 (Drosophila)	0.3227602
225962_at	ZNRF1	zinc and ring finger 1	0.3226367
227224_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	0.3224214
